Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,2,0.05,0.982,0.994,0.991,0.345,0.344,0.138,0.288,0.641,0.435,0.336
RandomForest,3,0.05,0.984,0.996,0.992,0.343,0.362,0.15,0.26,0.628,0.539,0.335
RandomForest,3,0.1,0.98,0.991,0.99,0.326,0.32,0.123,0.302,0.647,0.368,0.316
ExtraTrees,3,0.05,0.981,0.992,0.99,0.317,0.311,0.117,0.28,0.636,0.369,0.307
ExtraTrees,2,0.05,0.979,0.99,0.989,0.315,0.306,0.113,0.299,0.644,0.336,0.304
RandomForest,4,0.05,0.985,0.997,0.992,0.312,0.349,0.144,0.219,0.608,0.593,0.306
BaggingClassifierDT,3,0.05,0.982,0.994,0.991,0.307,0.311,0.117,0.247,0.621,0.419,0.299
BaggingClassifierDT,2,0.05,0.98,0.992,0.99,0.306,0.301,0.11,0.271,0.631,0.359,0.297
RandomForest,2,0.1,0.977,0.987,0.988,0.305,0.294,0.107,0.319,0.653,0.296,0.293
RandomForest,4,0.1,0.981,0.993,0.991,0.304,0.304,0.114,0.255,0.624,0.391,0.295
ExtraTrees,4,0.05,0.981,0.992,0.99,0.292,0.288,0.105,0.252,0.622,0.356,0.283
RandomForest,5,0.05,0.985,0.998,0.992,0.29,0.335,0.136,0.193,0.595,0.611,0.285
BaggingClassifierDT,4,0.05,0.982,0.995,0.991,0.278,0.29,0.105,0.212,0.604,0.426,0.271
ExtraTrees,3,0.1,0.972,0.983,0.986,0.275,0.265,0.091,0.327,0.655,0.239,0.261
BaggingClassifierDT,5,0.05,0.983,0.996,0.991,0.268,0.286,0.103,0.192,0.594,0.453,0.261
RandomForest,5,0.1,0.981,0.994,0.991,0.266,0.268,0.093,0.211,0.602,0.368,0.257
ExtraTrees,2,0.1,0.97,0.98,0.985,0.265,0.256,0.086,0.334,0.657,0.221,0.25
BaggingClassifierDT,3,0.1,0.974,0.985,0.987,0.264,0.253,0.084,0.289,0.637,0.246,0.251
ExtraTrees,5,0.05,0.98,0.992,0.99,0.259,0.253,0.085,0.222,0.607,0.313,0.249
BaggingClassifierDT,4,0.1,0.976,0.988,0.988,0.254,0.243,0.079,0.255,0.621,0.258,0.242
BaggingClassifierDT,2,0.1,0.971,0.981,0.985,0.251,0.241,0.078,0.306,0.644,0.214,0.237
