Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,2,0.05,0.982,0.993,0.991,0.359,0.355,0.146,0.315,0.654,0.424,0.35
RandomForest,3,0.05,0.984,0.996,0.992,0.354,0.375,0.16,0.278,0.637,0.553,0.347
RandomForest,3,0.1,0.98,0.991,0.99,0.342,0.336,0.132,0.322,0.657,0.376,0.332
RandomForest,4,0.05,0.985,0.998,0.992,0.325,0.367,0.156,0.229,0.613,0.635,0.319
ExtraTrees,3,0.05,0.979,0.99,0.99,0.322,0.315,0.12,0.309,0.65,0.345,0.312
ExtraTrees,2,0.05,0.977,0.988,0.989,0.322,0.311,0.116,0.332,0.66,0.314,0.31
RandomForest,2,0.1,0.977,0.988,0.988,0.316,0.306,0.114,0.326,0.657,0.313,0.304
RandomForest,4,0.1,0.982,0.994,0.991,0.313,0.317,0.123,0.257,0.626,0.42,0.305
BaggingClassifierDT,2,0.05,0.98,0.992,0.99,0.312,0.306,0.114,0.276,0.634,0.363,0.302
BaggingClassifierDT,3,0.05,0.982,0.994,0.991,0.31,0.319,0.121,0.249,0.622,0.442,0.302
ExtraTrees,4,0.05,0.981,0.992,0.99,0.302,0.298,0.111,0.267,0.629,0.359,0.292
BaggingClassifierDT,4,0.05,0.984,0.996,0.992,0.298,0.321,0.123,0.218,0.607,0.508,0.291
RandomForest,5,0.05,0.985,0.998,0.993,0.289,0.341,0.139,0.189,0.594,0.643,0.284
ExtraTrees,3,0.1,0.971,0.981,0.985,0.285,0.277,0.097,0.355,0.668,0.239,0.271
BaggingClassifierDT,3,0.1,0.976,0.987,0.988,0.281,0.27,0.093,0.294,0.64,0.274,0.269
RandomForest,5,0.1,0.982,0.995,0.991,0.277,0.286,0.103,0.21,0.603,0.417,0.269
BaggingClassifierDT,4,0.1,0.979,0.991,0.989,0.277,0.27,0.094,0.256,0.623,0.311,0.267
BaggingClassifierDT,5,0.05,0.984,0.997,0.992,0.273,0.308,0.116,0.186,0.592,0.539,0.267
BaggingClassifierDT,2,0.1,0.973,0.984,0.986,0.267,0.256,0.086,0.306,0.645,0.24,0.253
ExtraTrees,2,0.1,0.969,0.979,0.984,0.267,0.259,0.087,0.347,0.663,0.218,0.252
ExtraTrees,5,0.05,0.98,0.992,0.99,0.261,0.256,0.087,0.222,0.607,0.32,0.251
BaggingClassifierDT,5,0.1,0.979,0.991,0.989,0.256,0.25,0.083,0.225,0.608,0.306,0.246
ExtraTrees,4,0.1,0.971,0.982,0.985,0.244,0.233,0.077,0.288,0.635,0.214,0.23
RandomForest,3,0.2,0.965,0.975,0.982,0.239,0.234,0.076,0.342,0.659,0.186,0.222
RandomForest,4,0.2,0.967,0.978,0.983,0.225,0.216,0.067,0.294,0.636,0.185,0.209
RandomForest,2,0.2,0.956,0.965,0.977,0.209,0.212,0.065,0.363,0.664,0.148,0.191
DecisionTree,2,0.05,0.955,0.964,0.977,0.209,0.213,0.065,0.372,0.668,0.146,0.19
RandomForest,5,0.2,0.967,0.979,0.983,0.207,0.197,0.059,0.267,0.623,0.17,0.191
DecisionTree,3,0.05,0.955,0.965,0.977,0.202,0.204,0.062,0.354,0.659,0.142,0.183
ExtraTrees,5,0.1,0.969,0.981,0.984,0.201,0.189,0.056,0.241,0.611,0.173,0.186
DecisionTree,4,0.05,0.955,0.965,0.977,0.193,0.194,0.058,0.337,0.651,0.136,0.174
BaggingClassifierDT,4,0.2,0.958,0.969,0.979,0.184,0.179,0.052,0.29,0.63,0.136,0.166
DecisionTree,5,0.05,0.955,0.966,0.977,0.183,0.181,0.053,0.311,0.638,0.13,0.164
ExtraTrees,3,0.2,0.947,0.956,0.972,0.183,0.19,0.057,0.369,0.663,0.122,0.163
BaggingClassifierDT,5,0.2,0.96,0.971,0.98,0.18,0.173,0.05,0.272,0.622,0.136,0.162
BaggingClassifierDT,3,0.2,0.954,0.964,0.976,0.179,0.178,0.051,0.311,0.638,0.127,0.16
ExtraTrees,2,0.2,0.942,0.951,0.97,0.176,0.186,0.055,0.383,0.667,0.115,0.155
BaggingClassifierDT,2,0.2,0.947,0.957,0.972,0.167,0.17,0.049,0.331,0.644,0.112,0.146
RandomForest,3,0.3,0.937,0.947,0.967,0.16,0.17,0.049,0.371,0.659,0.103,0.138
ExtraTrees,4,0.2,0.944,0.954,0.971,0.158,0.161,0.046,0.325,0.639,0.105,0.137
RandomForest,4,0.3,0.94,0.95,0.969,0.15,0.155,0.044,0.331,0.641,0.098,0.129
DecisionTree,2,0.1,0.922,0.931,0.959,0.145,0.163,0.047,0.411,0.671,0.088,0.122
DecisionTree,3,0.1,0.923,0.931,0.96,0.145,0.162,0.046,0.407,0.669,0.088,0.122
RandomForest,2,0.3,0.922,0.93,0.959,0.141,0.157,0.044,0.397,0.664,0.086,0.118
ExtraTrees,5,0.2,0.94,0.951,0.969,0.139,0.14,0.04,0.297,0.624,0.091,0.118
BaggingClassifierDT,3,0.3,0.926,0.935,0.961,0.138,0.15,0.042,0.367,0.651,0.085,0.115
RandomForest,5,0.3,0.939,0.95,0.969,0.136,0.137,0.039,0.296,0.623,0.089,0.114
DecisionTree,4,0.1,0.921,0.93,0.959,0.134,0.147,0.042,0.378,0.654,0.081,0.11
BaggingClassifierDT,4,0.3,0.928,0.938,0.962,0.133,0.141,0.039,0.343,0.64,0.083,0.11
DecisionTree,5,0.1,0.92,0.929,0.958,0.129,0.141,0.039,0.367,0.648,0.078,0.105
ExtraTrees,3,0.3,0.912,0.921,0.954,0.128,0.144,0.041,0.395,0.658,0.077,0.104
ExtraTrees,2,0.3,0.907,0.915,0.951,0.128,0.147,0.041,0.42,0.667,0.075,0.103
BaggingClassifierDT,5,0.3,0.929,0.939,0.963,0.127,0.131,0.037,0.317,0.628,0.079,0.104
RandomForest,3,0.4,0.903,0.911,0.949,0.123,0.143,0.04,0.424,0.667,0.072,0.098
BaggingClassifierDT,2,0.3,0.912,0.921,0.954,0.121,0.135,0.038,0.374,0.648,0.073,0.097
GradientBoosting,5,0.2,0.975,0.989,0.987,0.117,0.106,0.03,0.105,0.547,0.138,0.105
GradientBoosting,3,0.2,0.974,0.988,0.987,0.116,0.105,0.03,0.107,0.548,0.133,0.103
RandomForest,4,0.4,0.905,0.914,0.95,0.116,0.131,0.037,0.384,0.649,0.068,0.091
GradientBoosting,4,0.3,0.96,0.973,0.979,0.111,0.097,0.028,0.156,0.564,0.087,0.092
GradientBoosting,4,0.2,0.974,0.988,0.987,0.11,0.099,0.028,0.101,0.545,0.127,0.098
ExtraTrees,4,0.3,0.906,0.915,0.95,0.11,0.121,0.034,0.358,0.636,0.065,0.085
KNeighbors,2,0.05,0.978,0.993,0.989,0.109,0.106,0.029,0.082,0.538,0.165,0.099
GradientBoosting,2,0.2,0.974,0.988,0.987,0.108,0.096,0.027,0.098,0.543,0.123,0.095
GradientBoosting,3,0.3,0.96,0.973,0.979,0.108,0.094,0.028,0.151,0.562,0.087,0.09
GradientBoosting,5,0.3,0.959,0.972,0.979,0.107,0.092,0.027,0.151,0.562,0.083,0.088
RandomForest,2,0.4,0.881,0.889,0.936,0.106,0.127,0.036,0.434,0.661,0.061,0.08
ExtraTrees,3,0.4,0.879,0.886,0.935,0.106,0.128,0.036,0.442,0.664,0.06,0.08
RandomForest,5,0.4,0.903,0.912,0.949,0.104,0.114,0.032,0.348,0.63,0.061,0.079
BaggingClassifierDT,3,0.4,0.887,0.895,0.94,0.104,0.121,0.034,0.407,0.651,0.06,0.078
BaggingClassifierDT,4,0.4,0.894,0.902,0.943,0.103,0.116,0.033,0.376,0.639,0.06,0.077
BaggingClassifierDT,5,0.4,0.893,0.902,0.943,0.098,0.108,0.031,0.357,0.63,0.057,0.072
ExtraTrees,2,0.4,0.865,0.872,0.927,0.098,0.12,0.034,0.45,0.661,0.055,0.071
KNeighbors,3,0.05,0.98,0.994,0.99,0.096,0.098,0.028,0.069,0.532,0.168,0.088
GradientBoosting,5,0.4,0.935,0.947,0.967,0.096,0.088,0.026,0.211,0.579,0.062,0.073
GradientBoosting,3,0.4,0.936,0.948,0.967,0.096,0.088,0.026,0.21,0.579,0.062,0.073
DecisionTree,3,0.2,0.862,0.869,0.925,0.096,0.118,0.034,0.453,0.661,0.054,0.069
KNeighbors,2,0.1,0.968,0.982,0.984,0.095,0.079,0.024,0.106,0.544,0.087,0.079
GradientBoosting,4,0.4,0.934,0.946,0.966,0.095,0.087,0.026,0.211,0.579,0.061,0.071
RandomForest,3,0.5,0.86,0.867,0.924,0.095,0.117,0.033,0.453,0.66,0.053,0.068
BaggingClassifierDT,2,0.4,0.873,0.88,0.931,0.095,0.111,0.032,0.411,0.645,0.053,0.068
GradientBoosting,5,0.1,0.981,0.997,0.991,0.094,0.11,0.031,0.06,0.528,0.236,0.088
GradientBoosting,2,0.3,0.958,0.971,0.979,0.094,0.079,0.024,0.136,0.554,0.073,0.075
ExtraTrees,5,0.3,0.897,0.907,0.946,0.094,0.1,0.03,0.327,0.617,0.055,0.068
DecisionTree,2,0.2,0.863,0.87,0.926,0.094,0.115,0.033,0.444,0.657,0.053,0.068
GradientBoosting,3,0.1,0.981,0.996,0.991,0.093,0.107,0.03,0.06,0.528,0.221,0.087
DecisionTree,4,0.2,0.861,0.869,0.925,0.091,0.109,0.031,0.429,0.649,0.051,0.064
DecisionTree,5,0.2,0.861,0.868,0.925,0.091,0.109,0.031,0.428,0.648,0.051,0.064
RandomForest,4,0.5,0.861,0.868,0.925,0.09,0.107,0.031,0.423,0.646,0.05,0.063
ExtraTrees,4,0.4,0.865,0.872,0.927,0.089,0.105,0.031,0.407,0.64,0.05,0.062
GradientBoosting,4,0.1,0.982,0.997,0.991,0.088,0.106,0.03,0.056,0.526,0.237,0.083
GradientBoosting,2,0.4,0.933,0.945,0.965,0.087,0.078,0.024,0.198,0.572,0.056,0.064
BaggingClassifierDT,3,0.5,0.85,0.857,0.918,0.087,0.106,0.031,0.442,0.649,0.048,0.06
KNeighbors,3,0.1,0.968,0.982,0.984,0.086,0.071,0.023,0.096,0.539,0.08,0.07
BaggingClassifierDT,4,0.5,0.856,0.863,0.922,0.086,0.101,0.03,0.417,0.64,0.048,0.058
