Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
SVC_Linear,2,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
LinearSVC,2,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
KNeighbors,2,0.05,0.981,0.997,0.991,0.035,0.033,0.02,0.027,0.512,0.058,0.031
RandomForest,2,0.05,0.977,0.992,0.989,0.048,0.048,0.025,0.071,0.532,0.057,0.042
AdaBoost,2,0.05,0.984,1.0,0.992,0.002,0.006,0.017,0.001,0.5,0.051,0.002
GradientBoosting,2,0.05,0.983,0.999,0.992,0.017,0.023,0.019,0.01,0.505,0.065,0.016
GaussianNB,2,0.05,0.977,0.993,0.989,0.01,0.002,0.016,0.008,0.5,0.015,0.002
SGD,2,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
DecisionTree,2,0.05,0.978,0.993,0.989,0.046,0.046,0.025,0.069,0.531,0.051,0.041
ExtraTrees,2,0.05,0.978,0.993,0.989,0.047,0.047,0.025,0.069,0.531,0.053,0.042
BaggingClassifierDT,2,0.05,0.979,0.994,0.989,0.05,0.051,0.025,0.067,0.53,0.069,0.045
BaggingClassifierLSVC,2,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
SVC,2,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC_Linear,2,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,2,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
KNeighbors,2,0.1,0.956,0.97,0.976,0.056,0.046,0.02,0.077,0.524,0.067,0.043
RandomForest,2,0.1,0.969,0.983,0.984,0.051,0.051,0.023,0.096,0.539,0.056,0.042
AdaBoost,2,0.1,0.983,0.999,0.991,0.004,0.003,0.016,0.002,0.501,0.02,0.002
GradientBoosting,2,0.1,0.982,0.997,0.991,0.028,0.03,0.019,0.019,0.508,0.073,0.024
GaussianNB,2,0.1,0.975,0.991,0.987,0.015,0.006,0.016,0.015,0.503,0.02,0.006
SGD,2,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
DecisionTree,2,0.1,0.969,0.983,0.984,0.05,0.05,0.023,0.095,0.539,0.056,0.041
ExtraTrees,2,0.1,0.97,0.984,0.985,0.052,0.052,0.024,0.094,0.539,0.059,0.043
BaggingClassifierDT,2,0.1,0.97,0.985,0.985,0.052,0.051,0.023,0.091,0.538,0.06,0.043
BaggingClassifierLSVC,2,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC,2,0.2,0.984,1.0,0.992,0.0,0.001,0.016,0.0,0.5,0.005,0.0
SVC_Linear,2,0.2,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
