Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.58,0.581,0.731,0.038,0.026,0.018,0.521,0.551,0.02,0.008
SVC_Linear,2,0.05,0.584,0.585,0.733,0.038,0.024,0.018,0.51,0.548,0.02,0.007
LinearSVC,2,0.05,0.566,0.566,0.72,0.039,0.027,0.018,0.542,0.554,0.02,0.008
KNeighbors,2,0.05,0.981,0.996,0.99,0.032,0.03,0.019,0.026,0.511,0.056,0.027
RandomForest,2,0.05,0.65,0.653,0.779,0.059,0.051,0.024,0.49,0.571,0.034,0.03
AdaBoost,2,0.05,0.984,1.0,0.992,0.003,0.006,0.017,0.002,0.501,0.03,0.003
GradientBoosting,2,0.05,0.983,0.999,0.992,0.016,0.021,0.019,0.009,0.504,0.062,0.015
GaussianNB,2,0.05,0.978,0.993,0.989,0.012,0.004,0.016,0.009,0.501,0.02,0.004
SGD,2,0.05,0.575,0.577,0.634,0.026,0.008,0.017,0.454,0.516,0.016,0.003
DecisionTree,2,0.05,0.633,0.635,0.767,0.058,0.053,0.024,0.522,0.578,0.033,0.029
ExtraTrees,2,0.05,0.634,0.635,0.767,0.059,0.054,0.024,0.522,0.578,0.033,0.029
BaggingClassifierDT,2,0.05,0.656,0.659,0.783,0.058,0.048,0.023,0.472,0.565,0.034,0.029
BaggingClassifierLSVC,2,0.05,0.571,0.571,0.723,0.039,0.028,0.018,0.539,0.555,0.02,0.008
SVC,2,0.1,0.584,0.585,0.735,0.038,0.026,0.018,0.518,0.552,0.02,0.008
SVC_Linear,2,0.1,0.582,0.583,0.732,0.038,0.025,0.018,0.513,0.548,0.02,0.007
LinearSVC,2,0.1,0.568,0.569,0.721,0.039,0.028,0.018,0.543,0.556,0.02,0.008
KNeighbors,2,0.1,0.97,0.985,0.985,0.042,0.036,0.019,0.048,0.517,0.067,0.032
RandomForest,2,0.1,0.658,0.661,0.784,0.057,0.051,0.023,0.489,0.575,0.031,0.027
AdaBoost,2,0.1,0.983,0.999,0.992,0.005,0.008,0.017,0.003,0.501,0.052,0.003
GradientBoosting,2,0.1,0.982,0.998,0.991,0.025,0.031,0.019,0.015,0.507,0.092,0.022
GaussianNB,2,0.1,0.975,0.991,0.987,0.016,0.007,0.017,0.015,0.503,0.022,0.007
SGD,2,0.1,0.485,0.484,0.578,0.035,0.013,0.017,0.559,0.521,0.02,0.006
DecisionTree,2,0.1,0.645,0.647,0.774,0.056,0.053,0.023,0.517,0.582,0.031,0.027
ExtraTrees,2,0.1,0.645,0.647,0.775,0.057,0.054,0.023,0.516,0.582,0.031,0.028
BaggingClassifierDT,2,0.1,0.656,0.659,0.78,0.058,0.05,0.023,0.482,0.57,0.033,0.029
BaggingClassifierLSVC,2,0.1,0.573,0.573,0.725,0.039,0.028,0.018,0.537,0.555,0.02,0.008
SVC,2,0.2,0.608,0.61,0.751,0.038,0.025,0.018,0.486,0.548,0.02,0.008
SVC_Linear,2,0.2,0.618,0.62,0.755,0.039,0.025,0.018,0.477,0.548,0.02,0.008
LinearSVC,2,0.2,0.586,0.587,0.735,0.038,0.026,0.018,0.515,0.551,0.02,0.008
KNeighbors,2,0.2,0.933,0.947,0.964,0.048,0.035,0.019,0.107,0.527,0.045,0.029
