Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,RFECV,0.05,0.983,0.993,0.991,0.372,0.374,0.159,0.322,0.658,0.465,0.364
ExtraTrees,RFECV,0.05,0.979,0.99,0.989,0.342,0.333,0.13,0.34,0.665,0.349,0.331
BaggingClassifierDT,RFECV,0.05,0.981,0.992,0.99,0.329,0.326,0.126,0.288,0.64,0.393,0.32
RandomForest,RFECV,0.1,0.976,0.986,0.988,0.324,0.315,0.119,0.355,0.671,0.304,0.312
ExtraTrees,RFECV,0.1,0.97,0.98,0.985,0.287,0.281,0.099,0.376,0.678,0.234,0.273
BaggingClassifierDT,RFECV,0.1,0.971,0.982,0.985,0.267,0.258,0.086,0.328,0.655,0.227,0.253
RandomForest,RFECV,0.2,0.958,0.968,0.979,0.234,0.238,0.076,0.394,0.681,0.168,0.216
DecisionTree,RFECV,0.05,0.955,0.965,0.977,0.206,0.208,0.063,0.361,0.663,0.144,0.187
ExtraTrees,RFECV,0.2,0.948,0.956,0.973,0.199,0.21,0.064,0.406,0.681,0.132,0.179
BaggingClassifierDT,RFECV,0.2,0.946,0.956,0.972,0.176,0.182,0.053,0.356,0.656,0.117,0.155
RandomForest,RFECV,0.3,0.929,0.938,0.963,0.161,0.179,0.052,0.419,0.678,0.1,0.139
DecisionTree,RFECV,0.1,0.922,0.93,0.959,0.145,0.162,0.046,0.41,0.67,0.088,0.121
ExtraTrees,RFECV,0.3,0.917,0.925,0.956,0.144,0.165,0.047,0.432,0.678,0.087,0.121
BaggingClassifierDT,RFECV,0.3,0.913,0.922,0.954,0.13,0.146,0.041,0.399,0.66,0.078,0.106
KNeighbors,RFECV,0.05,0.978,0.993,0.989,0.125,0.121,0.033,0.097,0.545,0.179,0.115
RandomForest,RFECV,0.4,0.89,0.897,0.941,0.117,0.141,0.04,0.451,0.674,0.068,0.092
GradientBoosting,RFECV,0.2,0.975,0.989,0.987,0.114,0.104,0.03,0.1,0.545,0.137,0.101
GradientBoosting,RFECV,0.3,0.962,0.975,0.98,0.111,0.096,0.028,0.148,0.562,0.09,0.093
ExtraTrees,RFECV,0.4,0.88,0.887,0.936,0.111,0.137,0.038,0.462,0.675,0.063,0.086
KNeighbors,RFECV,0.1,0.965,0.979,0.982,0.105,0.089,0.026,0.125,0.552,0.091,0.088
BaggingClassifierDT,RFECV,0.4,0.876,0.883,0.933,0.101,0.121,0.034,0.431,0.657,0.057,0.075
DecisionTree,RFECV,0.2,0.864,0.87,0.926,0.1,0.126,0.035,0.472,0.671,0.056,0.074
RandomForest,RFECV,0.5,0.852,0.858,0.92,0.095,0.121,0.034,0.482,0.67,0.053,0.068
GradientBoosting,RFECV,0.4,0.934,0.946,0.966,0.092,0.083,0.026,0.206,0.576,0.06,0.069
ExtraTrees,RFECV,0.5,0.84,0.846,0.912,0.09,0.115,0.033,0.487,0.667,0.05,0.062
GradientBoosting,RFECV,0.1,0.982,0.997,0.991,0.087,0.106,0.03,0.054,0.525,0.243,0.081
BaggingClassifierDT,RFECV,0.5,0.84,0.847,0.913,0.085,0.106,0.031,0.461,0.654,0.047,0.058
DecisionTree,RFECV,0.3,0.813,0.818,0.896,0.081,0.106,0.031,0.511,0.664,0.044,0.053
GradientBoosting,RFECV,0.5,0.901,0.912,0.948,0.079,0.076,0.025,0.262,0.587,0.047,0.053
GradientBoosting,RFECV,0.05,0.983,0.999,0.992,0.071,0.115,0.033,0.04,0.519,0.368,0.068
KNeighbors,RFECV,0.2,0.93,0.943,0.964,0.071,0.058,0.021,0.165,0.554,0.045,0.047
DecisionTree,RFECV,0.4,0.762,0.765,0.863,0.068,0.09,0.027,0.539,0.652,0.036,0.039
DecisionTree,RFECV,0.5,0.725,0.727,0.839,0.062,0.083,0.026,0.566,0.647,0.033,0.033
KNeighbors,RFECV,0.3,0.885,0.896,0.939,0.059,0.049,0.02,0.223,0.56,0.034,0.032
AdaBoost,RFECV,0.4,0.944,0.957,0.971,0.058,0.041,0.019,0.108,0.533,0.041,0.036
AdaBoost,RFECV,0.5,0.908,0.92,0.951,0.056,0.041,0.019,0.169,0.544,0.034,0.03
AdaBoost,RFECV,0.3,0.968,0.983,0.984,0.05,0.035,0.018,0.053,0.518,0.05,0.035
KNeighbors,RFECV,0.4,0.832,0.841,0.908,0.05,0.039,0.019,0.271,0.556,0.027,0.021
KNeighbors,RFECV,0.5,0.776,0.783,0.873,0.047,0.038,0.019,0.341,0.562,0.025,0.017
GaussianNB,RFECV,0.5,0.916,0.929,0.955,0.03,0.009,0.017,0.092,0.511,0.019,0.007
AdaBoost,RFECV,0.2,0.978,0.994,0.989,0.024,0.019,0.017,0.018,0.506,0.047,0.016
GaussianNB,RFECV,0.4,0.943,0.957,0.97,0.024,0.006,0.017,0.056,0.507,0.016,0.005
GaussianNB,RFECV,0.3,0.952,0.967,0.976,0.023,0.005,0.017,0.042,0.505,0.017,0.005
GaussianNB,RFECV,0.2,0.964,0.98,0.982,0.016,0.001,0.016,0.024,0.502,0.013,0.001
GaussianNB,RFECV,0.1,0.974,0.99,0.987,0.01,0,0.016,0.012,0.501,0.01,0
AdaBoost,RFECV,0.1,0.982,0.998,0.991,0.009,0.011,0.017,0.005,0.502,0.049,0.006
LinearSVC,RFECV,0.5,0.977,0.993,0.988,0.009,0.001,0.016,0.01,0.501,0.01,0.002
BaggingClassifierLSVC,RFECV,0.5,0.977,0.993,0.989,0.008,0,0.016,0.008,0.501,0.011,0.001
GaussianNB,RFECV,0.05,0.977,0.993,0.988,0.006,-0.003,0.016,0.006,0.499,0.008,-0.002
SVC,RFECV,0.5,0.98,0.996,0.99,0.006,0.001,0.016,0.006,0.501,0.007,0.002
SGD,RFECV,0.5,0.965,0.981,0.981,0.006,0.003,0.016,0.024,0.502,0.015,0.002
LinearSVC,RFECV,0.4,0.982,0.998,0.991,0.005,0.001,0.016,0.003,0.501,0.012,0.001
BaggingClassifierLSVC,RFECV,0.4,0.982,0.998,0.991,0.004,0,0.016,0.003,0.5,0.008,0.001
AdaBoost,RFECV,0.05,0.984,1,0.992,0.003,0.006,0.017,0.001,0.5,0.045,0.002
LinearSVC,RFECV,0.3,0.983,0.999,0.992,0.001,-0.001,0.016,0.001,0.5,0.002,0
SVC,RFECV,0.4,0.983,0.999,0.992,0.001,0,0.016,0.001,0.5,0.004,0
SVC,RFECV,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,RFECV,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,RFECV,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,RFECV,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,RFECV,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,RFECV,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,RFECV,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,RFECV,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,RFECV,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,RFECV,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,RFECV,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,RFECV,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,RFECV,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SGD,RFECV,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,RFECV,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC,RFECV,0.3,0.984,1,0.992,0,0,0.016,0,0.5,0.001,0
SVC_Linear,RFECV,0.3,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,RFECV,0.3,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,RFECV,0.3,0.983,0.999,0.992,0,-0.002,0.016,0,0.5,0,-0.001
SVC_Linear,RFECV,0.4,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,RFECV,0.4,0.984,1,0.992,0,0,0.016,0,0.5,0.001,0
SVC_Linear,RFECV,0.5,0.984,1,0.992,0,0,0.016,0,0.5,0,0
