Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,RFECV,0.05,0.982,0.992,0.991,0.387,0.385,0.168,0.354,0.673,0.451,0.378
ExtraTrees,RFECV,0.05,0.977,0.987,0.989,0.355,0.347,0.14,0.386,0.686,0.336,0.344
RandomForest,RFECV,0.1,0.976,0.986,0.988,0.336,0.327,0.126,0.378,0.682,0.306,0.324
BaggingClassifierDT,RFECV,0.05,0.98,0.992,0.99,0.335,0.33,0.129,0.305,0.648,0.386,0.325
ExtraTrees,RFECV,0.1,0.968,0.977,0.984,0.292,0.289,0.103,0.406,0.692,0.228,0.277
BaggingClassifierDT,RFECV,0.1,0.972,0.982,0.986,0.28,0.271,0.093,0.338,0.66,0.241,0.266
RandomForest,RFECV,0.2,0.96,0.969,0.979,0.237,0.239,0.077,0.386,0.677,0.174,0.22
DecisionTree,RFECV,0.05,0.955,0.965,0.977,0.224,0.23,0.073,0.399,0.682,0.156,0.205
ExtraTrees,RFECV,0.2,0.946,0.955,0.972,0.196,0.209,0.064,0.412,0.683,0.129,0.176
BaggingClassifierDT,RFECV,0.2,0.949,0.958,0.973,0.178,0.182,0.053,0.345,0.652,0.121,0.158
RandomForest,RFECV,0.3,0.932,0.94,0.964,0.166,0.184,0.054,0.421,0.681,0.104,0.144
DecisionTree,RFECV,0.1,0.925,0.933,0.961,0.155,0.174,0.05,0.426,0.68,0.095,0.132
ExtraTrees,RFECV,0.3,0.916,0.924,0.956,0.145,0.167,0.048,0.44,0.682,0.087,0.121
KNeighbors,RFECV,0.05,0.978,0.992,0.989,0.133,0.129,0.035,0.105,0.549,0.186,0.123
BaggingClassifierDT,RFECV,0.3,0.917,0.926,0.956,0.13,0.144,0.04,0.382,0.654,0.078,0.106
RandomForest,RFECV,0.4,0.898,0.906,0.946,0.123,0.146,0.041,0.442,0.674,0.071,0.098
GradientBoosting,RFECV,0.2,0.975,0.989,0.987,0.114,0.103,0.029,0.1,0.545,0.135,0.101
ExtraTrees,RFECV,0.4,0.882,0.889,0.937,0.111,0.136,0.038,0.458,0.673,0.063,0.085
