N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa,,,
1,0.981,0.995,0.991,0.228,0.233,0.072,0.171,0.583,0.342,0.22,,Accuracy,98.389
2,0.982,0.997,0.991,0.144,0.168,0.045,0.092,0.545,0.333,0.138,,Std,0.00144875425414
3,0.984,0.997,0.992,0.286,0.313,0.115,0.197,0.597,0.517,0.279,,n,100
4,0.985,0.997,0.992,0.33,0.353,0.141,0.237,0.617,0.545,0.324,,Error estándar,0.000144875425414
5,0.984,0.996,0.992,0.294,0.312,0.115,0.211,0.603,0.485,0.287,,Valor crítico (95%),1.96
6,0.985,0.997,0.992,0.318,0.344,0.135,0.224,0.61,0.548,0.311,,Margen de error,0.028
7,0.986,0.999,0.993,0.319,0.402,0.177,0.197,0.598,0.833,0.315,,,
8,0.984,0.998,0.992,0.213,0.265,0.087,0.132,0.565,0.556,0.208,,,
9,0.985,0.996,0.992,0.397,0.411,0.185,0.303,0.649,0.575,0.39,,F1,26.623
10,0.983,0.995,0.991,0.268,0.279,0.095,0.197,0.596,0.417,0.26,,Std,0.064269454076355
11,0.986,0.999,0.993,0.283,0.369,0.152,0.171,0.585,0.812,0.279,,n,100
12,0.984,0.995,0.992,0.356,0.364,0.15,0.276,0.636,0.5,0.348,,Error estándar,0.006426945407636
13,0.983,0.996,0.991,0.241,0.256,0.083,0.171,0.583,0.406,0.233,,Valor crítico (95%),1.96
14,0.983,0.998,0.992,0.151,0.189,0.053,0.092,0.545,0.412,0.146,,Margen de error,1.26
15,0.984,0.996,0.992,0.321,0.337,0.131,0.237,0.616,0.5,0.314,,,
16,0.986,1,0.993,0.247,0.347,0.136,0.145,0.572,0.846,0.244,,,
17,0.983,0.996,0.991,0.243,0.261,0.085,0.171,0.584,0.419,0.236,,Precision,52.599
18,0.985,0.999,0.992,0.237,0.301,0.107,0.145,0.572,0.647,0.232,,Std,0.135756726492203
19,0.983,0.996,0.991,0.273,0.288,0.1,0.197,0.597,0.441,0.265,,n,100
20,0.985,0.999,0.992,0.217,0.282,0.096,0.132,0.565,0.625,0.213,,Error estándar,0.01357567264922
21,0.98,0.994,0.99,0.172,0.172,0.047,0.132,0.563,0.25,0.163,,Valor crítico (95%),1.96
22,0.985,0.999,0.993,0.242,0.322,0.12,0.145,0.572,0.733,0.238,,Margen de error,2.661
23,0.985,0.998,0.992,0.215,0.273,0.091,0.132,0.565,0.588,0.21,,,
24,0.984,0.997,0.992,0.269,0.297,0.105,0.184,0.591,0.5,0.263,,,
25,0.984,0.997,0.992,0.315,0.338,0.131,0.224,0.61,0.531,0.308,,,
26,0.984,0.999,0.992,0.157,0.218,0.064,0.092,0.545,0.538,0.153,,,
27,0.984,0.998,0.992,0.213,0.265,0.087,0.132,0.565,0.556,0.208,,,
28,0.985,0.997,0.992,0.36,0.381,0.162,0.263,0.63,0.571,0.354,,,
