N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
1,0.984,0.997,0.992,0.296,0.318,0.118,0.211,0.604,0.5,0.29
2,0.984,0.998,0.992,0.224,0.263,0.086,0.145,0.571,0.5,0.219
3,0.983,0.997,0.992,0.218,0.246,0.077,0.145,0.571,0.44,0.212
4,0.983,0.997,0.992,0.218,0.246,0.077,0.145,0.571,0.44,0.212
5,0.984,0.999,0.992,0.159,0.228,0.068,0.092,0.546,0.583,0.155
6,0.984,0.997,0.992,0.252,0.28,0.096,0.171,0.584,0.481,0.246
7,0.983,0.997,0.991,0.184,0.214,0.063,0.118,0.558,0.409,0.178
8,0.984,0.997,0.992,0.24,0.275,0.093,0.158,0.578,0.5,0.234
9,0.983,0.997,0.991,0.198,0.223,0.067,0.132,0.564,0.4,0.192
10,0.982,0.996,0.991,0.176,0.195,0.055,0.118,0.557,0.346,0.17
11,0.983,0.997,0.991,0.146,0.173,0.047,0.092,0.545,0.35,0.14
12,0.985,0.998,0.992,0.277,0.315,0.116,0.184,0.591,0.56,0.271
13,0.985,0.998,0.992,0.294,0.332,0.127,0.197,0.598,0.577,0.288
14,0.983,0.997,0.991,0.146,0.173,0.047,0.092,0.545,0.35,0.14
15,0.981,0.994,0.99,0.252,0.253,0.082,0.197,0.596,0.349,0.243
16,0.985,0.999,0.992,0.198,0.262,0.085,0.118,0.559,0.6,0.194
17,0.981,0.995,0.99,0.133,0.141,0.037,0.092,0.544,0.241,0.126
18,0.982,0.997,0.991,0.084,0.098,0.026,0.053,0.525,0.211,0.078
19,0.977,0.991,0.988,0.142,0.133,0.035,0.118,0.555,0.176,0.13
20,0.983,0.997,0.991,0.128,0.156,0.041,0.079,0.538,0.333,0.122
21,0.982,0.997,0.991,0.104,0.121,0.031,0.066,0.531,0.25,0.098
22,0.983,0.997,0.991,0.18,0.204,0.059,0.118,0.558,0.375,0.174
23,0.983,0.997,0.991,0.128,0.156,0.041,0.079,0.538,0.333,0.122
24,0.982,0.997,0.991,0.141,0.16,0.043,0.092,0.544,0.304,0.135
25,0.982,0.997,0.991,0.084,0.098,0.026,0.053,0.525,0.211,0.078
26,0.983,0.998,0.992,0.092,0.133,0.034,0.053,0.526,0.364,0.088
27,0.984,0.998,0.992,0.196,0.253,0.081,0.118,0.558,0.562,0.191
28,0.983,0.998,0.991,0.11,0.142,0.037,0.066,0.532,0.333,0.105
29,0.982,0.996,0.991,0.176,0.195,0.055,0.118,0.557,0.346,0.17
30,0.983,0.997,0.992,0.235,0.263,0.086,0.158,0.577,0.462,0.229
31,0.985,1,0.992,0.165,0.265,0.086,0.092,0.546,0.778,0.162
32,0.981,0.996,0.99,0.08,0.086,0.024,0.053,0.524,0.167,0.073
33,0.982,0.997,0.991,0.16,0.18,0.049,0.105,0.551,0.333,0.153
34,0.984,0.998,0.992,0.156,0.21,0.061,0.092,0.545,0.5,0.151
35,0.983,0.997,0.992,0.264,0.286,0.099,0.184,0.59,0.467,0.257
36,0.982,0.997,0.991,0.124,0.143,0.037,0.079,0.538,0.286,0.118
37,0.983,0.997,0.992,0.202,0.233,0.071,0.132,0.564,0.435,0.196
38,0.983,0.998,0.992,0.151,0.189,0.053,0.092,0.545,0.412,0.146
39,0.981,0.995,0.991,0.17,0.18,0.05,0.118,0.557,0.3,0.162
40,0.985,0.999,0.993,0.255,0.32,0.119,0.158,0.578,0.667,0.251
41,0.983,0.998,0.992,0.152,0.195,0.055,0.092,0.545,0.438,0.147
42,0.981,0.995,0.99,0.117,0.124,0.032,0.079,0.537,0.222,0.109
43,0.983,0.998,0.992,0.112,0.154,0.04,0.066,0.532,0.385,0.108
44,0.983,0.997,0.991,0.147,0.178,0.049,0.092,0.545,0.368,0.142
45,0.981,0.994,0.99,0.179,0.182,0.051,0.132,0.563,0.278,0.17
46,0.981,0.996,0.99,0.062,0.069,0.021,0.039,0.518,0.15,0.056
47,0.984,0.998,0.992,0.208,0.251,0.08,0.132,0.565,0.5,0.203
48,0.983,0.997,0.991,0.167,0.199,0.057,0.105,0.551,0.4,0.161
49,0.984,0.999,0.992,0.14,0.214,0.062,0.079,0.539,0.6,0.136
50,0.982,0.997,0.991,0.087,0.108,0.028,0.053,0.525,0.25,0.082
51,0.983,0.997,0.991,0.167,0.199,0.057,0.105,0.551,0.4,0.161
52,0.984,0.997,0.992,0.238,0.269,0.089,0.158,0.578,0.48,0.232
53,0.982,0.998,0.991,0.024,0.033,0.017,0.013,0.506,0.111,0.02
54,0.981,0.996,0.99,0.081,0.088,0.024,0.053,0.524,0.174,0.074
55,0.982,0.997,0.991,0.105,0.125,0.032,0.066,0.531,0.263,0.099
56,0.983,0.997,0.991,0.163,0.189,0.053,0.105,0.551,0.364,0.157
57,0.984,0.998,0.992,0.211,0.258,0.083,0.132,0.565,0.526,0.205
58,0.983,0.998,0.992,0.188,0.225,0.067,0.118,0.558,0.45,0.182
59,0.981,0.995,0.99,0.132,0.138,0.036,0.092,0.544,0.233,0.124
60,0.984,0.999,0.992,0.115,0.168,0.045,0.066,0.532,0.455,0.111
61,0.985,0.998,0.992,0.28,0.322,0.121,0.184,0.591,0.583,0.274
62,0.983,0.997,0.991,0.216,0.241,0.075,0.145,0.571,0.423,0.209
63,0.981,0.995,0.99,0.167,0.174,0.047,0.118,0.557,0.281,0.159
64,0.984,0.997,0.992,0.238,0.269,0.089,0.158,0.578,0.48,0.232
65,0.984,0.997,0.992,0.275,0.309,0.112,0.184,0.591,0.538,0.269
66,0.984,0.998,0.992,0.196,0.253,0.081,0.118,0.558,0.562,0.191
67,0.984,0.998,0.992,0.196,0.253,0.081,0.118,0.558,0.562,0.191
68,0.985,0.998,0.993,0.314,0.354,0.142,0.211,0.604,0.615,0.308
69,0.981,0.995,0.99,0.165,0.171,0.046,0.118,0.557,0.273,0.157
70,0.983,0.995,0.991,0.268,0.279,0.095,0.197,0.596,0.417,0.26
71,0.982,0.996,0.991,0.19,0.205,0.059,0.132,0.564,0.345,0.183
72,0.984,0.998,0.992,0.172,0.217,0.064,0.105,0.552,0.471,0.167
73,0.982,0.997,0.991,0.162,0.184,0.051,0.105,0.551,0.348,0.155
74,0.983,0.998,0.992,0.152,0.195,0.055,0.092,0.545,0.438,0.147
75,0.985,0.997,0.992,0.375,0.395,0.173,0.276,0.637,0.583,0.368
76,0.981,0.994,0.99,0.239,0.242,0.076,0.184,0.589,0.341,0.231
77,0.982,0.996,0.991,0.194,0.213,0.063,0.132,0.564,0.37,0.187
78,0.983,0.997,0.991,0.2,0.228,0.069,0.132,0.564,0.417,0.194
79,0.983,0.997,0.991,0.182,0.209,0.061,0.118,0.558,0.391,0.176
80,0.983,0.998,0.992,0.132,0.172,0.046,0.079,0.539,0.4,0.127
81,0.983,0.997,0.992,0.218,0.246,0.077,0.145,0.571,0.44,0.212
82,0.982,0.996,0.991,0.157,0.172,0.047,0.105,0.551,0.308,0.15
83,0.984,0.999,0.992,0.136,0.194,0.054,0.079,0.539,0.5,0.133
84,0.984,0.998,0.992,0.191,0.238,0.073,0.118,0.558,0.5,0.186
85,0.981,0.996,0.99,0.08,0.086,0.024,0.053,0.524,0.167,0.073
86,0.983,0.997,0.992,0.248,0.27,0.09,0.171,0.584,0.448,0.241
87,0.984,0.999,0.992,0.118,0.187,0.052,0.066,0.532,0.556,0.115
88,0.985,0.998,0.992,0.247,0.295,0.104,0.158,0.578,0.571,0.242
89,0.983,0.997,0.991,0.163,0.189,0.053,0.105,0.551,0.364,0.157
90,0.985,0.998,0.992,0.283,0.329,0.125,0.184,0.591,0.609,0.277
91,0.985,0.998,0.993,0.271,0.329,0.125,0.171,0.585,0.65,0.266
92,0.979,0.993,0.989,0.168,0.165,0.045,0.132,0.562,0.233,0.158
93,0.981,0.996,0.99,0.136,0.147,0.038,0.092,0.544,0.259,0.129
94,0.982,0.997,0.991,0.144,0.168,0.045,0.092,0.545,0.333,0.138
95,0.983,0.998,0.992,0.133,0.179,0.049,0.079,0.539,0.429,0.129
96,0.982,0.997,0.991,0.144,0.168,0.045,0.092,0.545,0.333,0.138
97,0.983,0.998,0.992,0.17,0.211,0.061,0.105,0.552,0.444,0.165
98,0.983,0.997,0.991,0.128,0.156,0.041,0.079,0.538,0.333,0.122
99,0.982,0.997,0.991,0.106,0.129,0.033,0.066,0.531,0.278,0.101
100,0.984,0.997,0.992,0.286,0.313,0.115,0.197,0.597,0.517,0.279
