N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa,,,
1,0.98,0.993,0.99,0.2,0.198,0.057,0.158,0.576,0.276,0.19,,Accuracy,98.222
2,0.982,0.995,0.991,0.263,0.271,0.091,0.197,0.596,0.396,0.255,,Std,0.001648874731078
3,0.982,0.995,0.991,0.265,0.275,0.093,0.197,0.596,0.406,0.258,,n,100
4,0.982,0.995,0.991,0.236,0.248,0.079,0.171,0.583,0.383,0.229,,Error estándar,0.000164887473108
5,0.986,0.999,0.993,0.312,0.38,0.161,0.197,0.598,0.75,0.308,,Valor crítico (95%),1.96
6,0.981,0.994,0.99,0.211,0.215,0.063,0.158,0.576,0.319,0.202,,Margen de error,0.032
7,0.982,0.996,0.991,0.189,0.202,0.058,0.132,0.564,0.333,0.181,,,
8,0.984,0.997,0.992,0.28,0.302,0.108,0.197,0.597,0.484,0.274,,,
9,0.983,0.997,0.992,0.235,0.263,0.086,0.158,0.577,0.462,0.229,,F1,23.59
10,0.981,0.995,0.99,0.196,0.202,0.058,0.145,0.57,0.307,0.188,,Std,0.050605924514424
11,0.981,0.994,0.991,0.241,0.245,0.078,0.184,0.589,0.351,0.233,,n,100
12,0.983,0.995,0.991,0.281,0.29,0.101,0.211,0.603,0.421,0.273,,Error estándar,0.005060592451442
13,0.984,0.997,0.992,0.272,0.303,0.109,0.184,0.591,0.519,0.266,,Valor crítico (95%),1.96
14,0.979,0.993,0.989,0.153,0.149,0.04,0.118,0.556,0.231,0.143,,Margen de error,0.992
15,0.982,0.995,0.991,0.291,0.296,0.105,0.224,0.609,0.415,0.283,,,
16,0.982,0.995,0.991,0.22,0.232,0.071,0.158,0.577,0.364,0.213,,,
17,0.982,0.995,0.991,0.216,0.224,0.068,0.158,0.576,0.343,0.208,,Precision,40.002
18,0.985,0.997,0.993,0.352,0.379,0.161,0.25,0.624,0.594,0.346,,Std,0.109436940931315
19,0.979,0.993,0.989,0.182,0.178,0.049,0.145,0.569,0.245,0.172,,n,100
20,0.982,0.996,0.991,0.21,0.227,0.069,0.145,0.57,0.379,0.202,,Error estándar,0.010943694093132
21,0.982,0.995,0.991,0.216,0.224,0.068,0.158,0.576,0.343,0.208,,Valor crítico (95%),1.96
22,0.982,0.995,0.991,0.259,0.264,0.087,0.197,0.596,0.378,0.25,,Margen de error,2.145
23,0.986,0.999,0.993,0.244,0.334,0.127,0.145,0.572,0.786,0.241,,,
24,0.982,0.996,0.991,0.239,0.252,0.081,0.171,0.583,0.394,0.231,,,
25,0.983,0.997,0.991,0.214,0.236,0.073,0.145,0.571,0.407,0.207,,,
26,0.982,0.995,0.991,0.218,0.228,0.069,0.158,0.577,0.353,0.21,,,
27,0.982,0.995,0.991,0.23,0.237,0.073,0.171,0.583,0.351,0.222,,,
28,0.987,0.998,0.993,0.426,0.461,0.229,0.303,0.65,0.719,0.42,,,
29,0.982,0.995,0.991,0.204,0.215,0.064,0.145,0.57,0.344,0.196,,,
30,0.984,0.997,0.992,0.28,0.302,0.108,0.197,0.597,0.484,0.274,,,
31,0.983,0.997,0.991,0.198,0.223,0.067,0.132,0.564,0.402,0.192,,,
32,0.98,0.993,0.99,0.228,0.225,0.068,0.184,0.589,0.299,0.218,,,
33,0.983,0.997,0.991,0.214,0.236,0.073,0.145,0.571,0.408,0.207,,,
34,0.982,0.995,0.991,0.236,0.248,0.079,0.171,0.583,0.382,0.229,,,
35,0.985,0.998,0.992,0.297,0.339,0.131,0.197,0.598,0.601,0.291,,,
36,0.981,0.993,0.99,0.246,0.244,0.077,0.197,0.595,0.326,0.237,,,
37,0.983,0.997,0.991,0.214,0.236,0.073,0.145,0.571,0.407,0.207,,,
38,0.981,0.995,0.99,0.198,0.205,0.059,0.145,0.57,0.314,0.19,,,
39,0.984,0.999,0.992,0.138,0.203,0.058,0.079,0.539,0.545,0.134,,,
40,0.982,0.995,0.991,0.303,0.307,0.111,0.237,0.616,0.419,0.294,,,
41,0.983,0.996,0.991,0.255,0.268,0.089,0.184,0.59,0.414,0.247,,,
42,0.98,0.994,0.99,0.177,0.179,0.05,0.132,0.563,0.278,0.168,,,
43,0.986,0.998,0.993,0.32,0.37,0.153,0.211,0.604,0.667,0.315,,,
44,0.982,0.995,0.991,0.248,0.256,0.083,0.184,0.59,0.378,0.24,,,
45,0.981,0.995,0.99,0.18,0.185,0.052,0.132,0.563,0.286,0.172,,,
46,0.982,0.994,0.991,0.286,0.289,0.101,0.224,0.609,0.395,0.277,,,
47,0.979,0.993,0.99,0.171,0.169,0.046,0.132,0.562,0.246,0.161,,,
48,0.983,0.996,0.991,0.273,0.288,0.1,0.197,0.597,0.441,0.265,,,
49,0.982,0.996,0.991,0.173,0.187,0.052,0.118,0.557,0.323,0.166,,,
50,0.983,0.995,0.991,0.322,0.328,0.125,0.25,0.623,0.452,0.314,,,
51,0.981,0.994,0.99,0.207,0.209,0.061,0.158,0.576,0.302,0.198,,,
52,0.983,0.995,0.992,0.325,0.333,0.128,0.25,0.623,0.463,0.317,,,
53,0.982,0.997,0.991,0.105,0.125,0.032,0.066,0.531,0.271,0.099,,,
54,0.984,0.998,0.992,0.245,0.288,0.1,0.158,0.578,0.545,0.239,,,
55,0.98,0.993,0.99,0.242,0.239,0.075,0.197,0.595,0.313,0.232,,,
56,0.982,0.995,0.991,0.261,0.267,0.089,0.197,0.596,0.385,0.253,,,
57,0.983,0.996,0.991,0.245,0.265,0.087,0.171,0.584,0.433,0.238,,,
58,0.983,0.997,0.992,0.202,0.233,0.071,0.132,0.564,0.435,0.196,,,
59,0.979,0.993,0.99,0.198,0.195,0.056,0.158,0.575,0.268,0.189,,,
60,0.981,0.995,0.99,0.183,0.191,0.054,0.132,0.563,0.303,0.175,,,
61,0.984,0.997,0.992,0.296,0.318,0.118,0.211,0.604,0.502,0.29,,,
62,0.981,0.994,0.99,0.211,0.215,0.063,0.158,0.576,0.318,0.202,,,
63,0.982,0.997,0.991,0.16,0.18,0.049,0.105,0.551,0.333,0.153,,,
64,0.981,0.994,0.99,0.235,0.236,0.073,0.184,0.589,0.326,0.226,,,
65,0.981,0.994,0.99,0.239,0.242,0.076,0.184,0.589,0.341,0.231,,,
66,0.98,0.995,0.99,0.113,0.117,0.031,0.079,0.537,0.226,0.105,,,
67,0.983,0.996,0.991,0.245,0.265,0.087,0.171,0.584,0.433,0.238,,,
68,0.979,0.991,0.989,0.265,0.256,0.083,0.237,0.614,0.302,0.254,,,
69,0.982,0.995,0.991,0.187,0.198,0.056,0.132,0.564,0.323,0.179,,,
70,0.981,0.994,0.99,0.262,0.261,0.086,0.211,0.602,0.348,0.253,,,
71,0.979,0.993,0.99,0.185,0.183,0.051,0.145,0.569,0.259,0.175,,,
72,0.983,0.996,0.992,0.278,0.297,0.105,0.197,0.597,0.469,0.271,,,
73,0.981,0.995,0.99,0.164,0.168,0.046,0.118,0.557,0.276,0.155,,,
74,0.983,0.995,0.991,0.283,0.294,0.104,0.211,0.603,0.433,0.276,,,
75,0.979,0.992,0.99,0.224,0.219,0.066,0.184,0.588,0.292,0.214,,,
76,0.982,0.995,0.991,0.25,0.26,0.085,0.184,0.59,0.389,0.242,,,
77,0.984,0.997,0.992,0.275,0.309,0.112,0.184,0.591,0.538,0.269,,,
78,0.984,0.998,0.992,0.191,0.238,0.073,0.118,0.558,0.504,0.186,,,
79,0.985,0.998,0.992,0.277,0.315,0.116,0.184,0.591,0.562,0.271,,,
80,0.982,0.996,0.991,0.224,0.24,0.075,0.158,0.577,0.387,0.217,,,
81,0.984,0.997,0.992,0.288,0.319,0.119,0.197,0.597,0.536,0.282,,,
82,0.981,0.995,0.99,0.212,0.218,0.065,0.158,0.576,0.324,0.204,,,
83,0.981,0.995,0.991,0.214,0.221,0.066,0.158,0.576,0.336,0.206,,,
84,0.983,0.997,0.992,0.218,0.246,0.077,0.145,0.571,0.441,0.212,,,
85,0.982,0.995,0.991,0.234,0.244,0.077,0.171,0.583,0.371,0.226,,,
86,0.983,0.996,0.991,0.259,0.277,0.094,0.184,0.59,0.439,0.252,,,
87,0.983,0.996,0.992,0.275,0.292,0.103,0.197,0.597,0.455,0.268,,,
88,0.983,0.995,0.991,0.308,0.315,0.116,0.237,0.616,0.439,0.3,,,
89,0.983,0.997,0.991,0.231,0.253,0.081,0.158,0.577,0.429,0.224,,,
