N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
0,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
1,0.983,0.997,0.992,0.185,0.216,0.064,0.119,0.558,0.417,0.179
2,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
3,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
4,0.981,0.994,0.99,0.219,0.221,0.066,0.167,0.58,0.318,0.21
5,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
6,0.982,0.995,0.991,0.258,0.268,0.089,0.19,0.593,0.4,0.25
7,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
8,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
9,0.982,0.995,0.991,0.254,0.261,0.086,0.19,0.593,0.381,0.246
10,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
11,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
12,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
13,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
14,0.985,0.997,0.992,0.31,0.341,0.133,0.214,0.606,0.562,0.304
15,0.984,0.997,0.992,0.218,0.251,0.08,0.143,0.57,0.462,0.212
16,0.981,0.995,0.99,0.167,0.173,0.047,0.119,0.557,0.278,0.159
17,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
18,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
19,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
20,0.981,0.994,0.99,0.19,0.193,0.055,0.143,0.569,0.286,0.182
21,0.983,0.997,0.991,0.182,0.207,0.06,0.119,0.558,0.385,0.176
22,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
23,0.982,0.995,0.991,0.25,0.255,0.082,0.19,0.593,0.364,0.242
24,0.981,0.995,0.991,0.222,0.227,0.069,0.167,0.581,0.333,0.214
25,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
26,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
27,0.981,0.994,0.991,0.269,0.269,0.09,0.214,0.604,0.36,0.26
28,0.985,0.998,0.992,0.259,0.306,0.111,0.167,0.582,0.583,0.254
29,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
30,0.981,0.995,0.991,0.197,0.204,0.059,0.143,0.569,0.316,0.189
31,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
32,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
33,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
34,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
35,0.982,0.995,0.991,0.258,0.268,0.089,0.19,0.593,0.4,0.25
36,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
37,0.982,0.996,0.991,0.207,0.224,0.067,0.143,0.569,0.375,0.2
38,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
39,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
40,0.982,0.995,0.991,0.281,0.288,0.1,0.214,0.605,0.409,0.273
41,0.982,0.995,0.991,0.258,0.268,0.089,0.19,0.593,0.4,0.25
42,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
43,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
44,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
45,0.982,0.995,0.991,0.258,0.268,0.089,0.19,0.593,0.4,0.25
46,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
47,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
48,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
49,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
50,0.982,0.996,0.991,0.175,0.192,0.054,0.119,0.558,0.333,0.168
51,0.985,0.997,0.992,0.333,0.357,0.144,0.238,0.617,0.556,0.327
52,0.984,0.995,0.992,0.338,0.346,0.137,0.262,0.629,0.478,0.331
