Accuracy_SIFT,Precision_SIFT,Recall_SIFT,F1_SIFT,APS_SIFT,AUC_SIFT,Accuracy_POLYPHEN,Precision_POLYPHEN,Recall_POLYPHEN,F1_POLYPHEN,APS_POLYPHEN,AUC_POLYPHEN,Accuracy_CADD,Precision_CADD,Recall_CADD,F1_CADD,APS_CADD,AUC_CADD,Accuracy_VC10B,Precision_VC10B,Recall_VC10B,F1_VC10B,APS_VC10B,AUC_VC10B,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_CADD,TN_CADD,FP_CADD,FN_CADD,TP_VC10B,TN_VC10B,FP_VC10B,FN_VC10B
0.8203,0.0231,0.4375,0.0439,0.015393387513016707,0.6307127649039413,0.5423,0.0157,0.7708,0.0308,0.014248354080062555,0.6554701426024956,0.8442,0.0361,0.6042,0.0681,0.025519764211120188,0.7253354624678153,0.9902,0.4167,0.1042,0.1667,0.05183911287685567,0.5513901267577739,21,4160,889,27,37,2727,2322,11,29,4274,775,19,5,5042,7,43
0.8219,0.0212,0.3958,0.0402,0.014064714144701914,0.6108697266785502,0.5446,0.0154,0.75,0.0302,0.013868185349214576,0.6463408595761537,0.8454,0.0398,0.6667,0.0751,0.02967309811546544,0.756882551000198,0.991,0.5625,0.1875,0.2812,0.11312030974102413,0.5930567934244405,19,4170,879,29,36,2740,2309,12,32,4277,772,16,9,5042,7,39
0.8191,0.0229,0.4375,0.0435,0.015327255500923996,0.6301185878391761,0.544,0.0178,0.875,0.0349,0.01674919693538572,0.7079495939790057,0.8464,0.0446,0.75,0.0842,0.03581157514479324,0.7986482471776589,0.9898,0.3889,0.1458,0.2121,0.06475691038301397,0.5718273420479302,21,4154,895,27,42,2731,2318,6,36,4278,771,12,7,5038,11,41
0.8211,0.0242,0.4583,0.046,0.016206032485205517,0.6414265201029907,0.5356,0.0167,0.8333,0.0327,0.015464229054303984,0.6830560507031096,0.8462,0.0423,0.7083,0.0798,0.032701108446388814,0.7779139433551199,0.992,0.7333,0.2292,0.3492,0.1753147276175528,0.6141872152901565,22,4163,886,26,40,2690,2359,8,34,4279,770,14,11,5045,4,37
0.8219,0.0222,0.4167,0.0422,0.01475268676563556,0.6211873638344227,0.5501,0.0168,0.8125,0.0329,0.01540651080615905,0.6800665973460092,0.8558,0.0462,0.7292,0.0869,0.036263641886373967,0.7930840265399088,0.9912,0.6154,0.1667,0.2623,0.11041185614464014,0.5828381857793623,20,4169,880,28,39,2765,2284,9,35,4327,722,13,8,5044,5,40
0.8183,0.0249,0.4792,0.0473,0.016832154790144785,0.6503577441077442,0.5417,0.0161,0.7917,0.0316,0.014687544712111266,0.6654906912259853,0.8383,0.0381,0.6667,0.0721,0.028535926829040426,0.7533174886116062,0.9888,0.2,0.0625,0.0952,0.02132872277810477,0.5300616458704693,23,4148,901,25,38,2723,2326,10,32,4241,808,16,3,5037,12,45
0.8215,0.0253,0.4792,0.0481,0.017042327632476217,0.6519422162804516,0.5305,0.0157,0.7917,0.0308,0.014387933163136597,0.6598460091107149,0.8474,0.0391,0.6458,0.0737,0.028614125238058438,0.7475552089522678,0.991,0.5833,0.1458,0.2333,0.09311339186449547,0.5724215191126956,23,4164,885,25,38,2666,2383,10,31,4288,761,17,7,5044,5,41
0.8224,0.0234,0.4375,0.0444,0.015516922209688222,0.6318020895226778,0.5421,0.0153,0.75,0.03,0.013804707753550584,0.6450534759358288,0.8454,0.0363,0.6042,0.0685,0.025683614446160522,0.7259296395325806,0.9904,0.4615,0.125,0.1967,0.06593244895187214,0.5618067934244405,21,4171,878,27,36,2727,2322,12,29,4280,769,19,6,5042,7,42
0.8171,0.0247,0.4792,0.047,0.01675520441077505,0.6497635670429788,0.5338,0.0154,0.7708,0.0302,0.014031917968758294,0.6512118736383443,0.8458,0.0399,0.6667,0.0753,0.029739267683254095,0.7570806100217864,0.99,0.3333,0.0625,0.1053,0.0296620561114381,0.5306558229352347,23,4142,907,25,37,2684,2365,11,32,4279,770,16,3,5043,6,45
0.8219,0.0264,0.5,0.0502,0.017924511179159545,0.6624579124579125,0.544,0.017,0.8333,0.0333,0.015717824626690424,0.6873143196672609,0.8531,0.0442,0.7083,0.0832,0.03406444240511706,0.7813799762329176,0.9888,0.2353,0.0833,0.123,0.02824037207584623,0.5403792830263419,24,4165,884,24,40,2733,2316,8,34,4314,735,14,4,5036,13,44
