learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,1,1,0.6155645697851608,0.5577862667421242,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,2,0.6377644081396857,0.5783295604602905,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,4,0.6876198607649014,0.6576577532541029,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,8,0.6999533926259105,0.6814999528390868,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,16,0.7055482241482217,0.6868810130164119,1.0,1.0,0.9332278370094869,0.9330557061911847,0.045993726832050184,0.04298245614035088
0.05,1,32,0.7479280047176513,0.6947132616487455,0.9991039426523297,0.9967741935483871,0.9378071709011276,0.933198692305351,0.1224301397205589,0.06988304093567252
0.05,1,64,0.7884800675147401,0.733086917562724,0.9961469534050179,0.989516129032258,0.9483126751860811,0.9413139264538589,0.30160393498716853,0.2461988304093567
0.05,1,100,0.8073002771977806,0.7452343897377853,0.9948924731182796,0.9887096774193548,0.9493840777541805,0.943075780907142,0.32670017108639865,0.27894736842105267
0.05,1,128,0.8226247405981688,0.7484047821165818,0.9947132616487455,0.9887096774193548,0.9510419003945719,0.943075780907142,0.35241303108069577,0.27894736842105267
0.05,2,1,0.6795685766204407,0.6537646198830409,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,2,0.6882574025655807,0.6635009903791738,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,4,0.6961599155120378,0.6758040935672515,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,8,0.7031736897428902,0.6896387474061498,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,16,0.7490321664019632,0.6889254385964912,0.9990143369175627,0.9911290322580646,0.9461240443849993,0.9377639149535426,0.2478542914171657,0.1827485380116959
0.05,2,32,0.7827068437370012,0.7178881343142803,0.9965949820788531,0.989516129032258,0.9495088245059418,0.9409640709235884,0.3159466780724266,0.24122807017543857
0.05,2,64,0.8345906002255601,0.746235380116959,0.9950716845878137,0.9887096774193548,0.9531003430253486,0.9434284133676505,0.3798723980610208,0.283625730994152
