Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22,,,
0.8216,0.375,0.8259,0.5499,0.75,0.548,0.9239,0.7083,0.926,4095,18,30,863,2717,36,12,2241,4591,34,14,367,,,
0.8202,0.2917,0.8253,0.5394,0.6875,0.5379,0.9321,0.4792,0.9365,4092,14,34,866,2667,33,15,2291,4643,23,25,315,,Acc_SIFT,82.219
0.83,0.2917,0.8352,0.5533,0.7917,0.551,0.9297,0.625,0.9326,4141,14,34,817,2732,38,10,2226,4624,30,18,334,,StdAccuracy,0.004716828777231
0.8194,0.3125,0.8243,0.537,0.7917,0.5345,0.9295,0.6458,0.9322,4087,15,33,871,2650,38,10,2308,4622,31,17,336,,n,1000
0.8246,0.375,0.829,0.5453,0.75,0.5434,0.9355,0.6458,0.9383,4110,18,30,848,2694,36,12,2264,4652,31,17,306,,Error estándar,0.000149159222691
0.8148,0.2083,0.8207,0.5392,0.8125,0.5365,0.9365,0.7292,0.9385,4069,10,38,889,2660,39,9,2298,4653,35,13,305,,Valor crítico (95%),1.96
0.8228,0.3125,0.8278,0.5447,0.7083,0.5432,0.9325,0.5625,0.9361,4104,15,33,854,2693,34,14,2265,4641,27,21,317,,Margen de error,0.029
0.8326,0.2917,0.8378,0.539,0.7917,0.5365,0.9407,0.625,0.9437,4154,14,34,804,2660,38,10,2298,4679,30,18,279,,,
0.8208,0.4583,0.8243,0.5423,0.8542,0.5393,0.9209,0.6667,0.9234,4087,22,26,871,2674,41,7,2284,4578,32,16,380,,,
0.8244,0.3542,0.829,0.5449,0.7917,0.5426,0.9167,0.7083,0.9187,4110,17,31,848,2690,38,10,2268,4555,34,14,403,,Spec_SIFT,35.048
0.8212,0.4375,0.8249,0.5419,0.8333,0.5391,0.9167,0.5625,0.9201,4090,21,27,868,2673,40,8,2285,4562,27,21,396,,StdSpecificity,0.061394452174099
0.8204,0.4167,0.8243,0.5437,0.7917,0.5413,0.9243,0.6667,0.9268,4087,20,28,871,2684,38,10,2274,4595,32,16,363,,n,1000
0.8214,0.3333,0.8261,0.5328,0.7292,0.5309,0.9265,0.5417,0.9302,4096,16,32,862,2632,35,13,2326,4612,26,22,346,,Error estándar,0.001941463045684
0.8106,0.3125,0.8154,0.5388,0.7917,0.5363,0.9317,0.6042,0.9349,4043,15,33,915,2659,38,10,2299,4635,29,19,323,,Valor crítico (95%),1.96
0.8262,0.3333,0.831,0.5453,0.7917,0.543,0.9141,0.5625,0.9175,4120,16,32,838,2692,38,10,2266,4549,27,21,409,,Margen de error,0.381
0.8246,0.3542,0.8292,0.5493,0.7708,0.5472,0.9189,0.6667,0.9213,4111,17,31,847,2713,37,11,2245,4568,32,16,390,,,
0.824,0.4375,0.8278,0.5396,0.8958,0.5361,0.9335,0.625,0.9365,4104,21,27,854,2658,43,5,2300,4643,30,18,315,,,
0.8218,0.3333,0.8265,0.5485,0.75,0.5466,0.9331,0.6875,0.9355,4098,16,32,860,2710,36,12,2248,4638,33,15,320,,Rec_SIFT,82.677
0.8218,0.3542,0.8263,0.5509,0.7708,0.5488,0.9143,0.4792,0.9185,4097,17,31,861,2721,37,11,2237,4554,23,25,404,,StdRecall,0.004719937172984
0.831,0.25,0.8366,0.5497,0.75,0.5478,0.9385,0.625,0.9415,4148,12,36,810,2716,36,12,2242,4668,30,18,290,,n,1000
0.8152,0.375,0.8195,0.5423,0.7917,0.5399,0.9259,0.6875,0.9282,4063,18,30,895,2677,38,10,2281,4602,33,15,356,,Error estándar,0.000149257518795
0.8198,0.5208,0.8227,0.5423,0.875,0.5391,0.9299,0.625,0.9328,4079,25,23,879,2673,42,6,2285,4625,30,18,333,,Valor crítico (95%),1.96
0.8236,0.375,0.828,0.5421,0.7708,0.5399,0.9197,0.5625,0.9232,4105,18,30,853,2677,37,11,2281,4577,27,21,381,,Margen de error,0.029
0.8256,0.3542,0.8302,0.5416,0.7708,0.5393,0.9277,0.6667,0.9302,4116,17,31,842,2674,37,11,2284,4612,32,16,346,,,
0.8292,0.3333,0.834,0.5555,0.8125,0.553,0.9211,0.4583,0.9256,4135,16,32,823,2742,39,9,2216,4589,22,26,369,,,
0.829,0.4167,0.833,0.5499,0.8333,0.5472,0.9405,0.7083,0.9427,4130,20,28,828,2713,40,8,2245,4674,34,14,284,,Acc_POLYPHEN,54.38
0.8182,0.2917,0.8233,0.5453,0.75,0.5434,0.9031,0.625,0.9058,4082,14,34,876,2694,36,12,2264,4491,30,18,467,,StdAccuracy,0.006353857762688
0.8228,0.3958,0.8269,0.5451,0.6875,0.5438,0.9297,0.4792,0.934,4100,19,29,858,2696,33,15,2262,4631,23,25,327,,n,1000
0.8182,0.3542,0.8227,0.5429,0.8333,0.5401,0.9353,0.625,0.9383,4079,17,31,879,2678,40,8,2280,4652,30,18,306,,Error estándar,0.000200926624588
0.8294,0.3958,0.8336,0.5643,0.7708,0.5623,0.9385,0.5833,0.9419,4133,19,29,825,2788,37,11,2170,4670,28,20,288,,Valor crítico (95%),1.96
0.8218,0.3958,0.8259,0.5469,0.75,0.545,0.9201,0.5833,0.9234,4095,19,29,863,2702,36,12,2256,4578,28,20,380,,Margen de error,0.039
