,n_estimators,Train_Accuracy,Test_Accuracy,Train_Specificity,Test_Specificity,Train_ROC_AUC,Test_ROC_AUC
0,3.0,0.834,0.817,0.907,0.258,0.928,0.531
1,5.0,0.867,0.852,0.936,0.143,0.954,0.532
2,10.0,0.855,0.842,0.986,0.227,0.978,0.515
3,20.0,0.891,0.875,0.993,0.171,0.987,0.534
4,30.0,0.916,0.9,0.994,0.122,0.991,0.564
5,40.0,0.907,0.891,0.997,0.129,0.99,0.541
6,50.0,0.919,0.903,0.998,0.115,0.992,0.565
7,60.0,0.911,0.894,1.0,0.115,0.993,0.567
8,70.0,0.915,0.895,1.0,0.129,0.993,0.557
9,80.0,0.917,0.898,1.0,0.122,0.993,0.561
10,90.0,0.918,0.899,1.0,0.115,0.993,0.538
11,100.0,0.916,0.902,1.0,0.108,0.99,0.557
12,100.0,0.918,0.899,1.0,0.14,0.995,0.551
13,150.0,0.922,0.909,1.0,0.104,0.994,0.552
14,200.0,0.923,0.905,1.0,0.161,0.995,0.532
15,250.0,0.922,0.905,1.0,0.133,0.996,0.564
16,300.0,0.922,0.909,1.0,0.133,0.994,0.549
17,350.0,0.921,0.906,1.0,0.133,0.995,0.549
18,400.0,0.924,0.903,1.0,0.122,0.996,0.562
19,450.0,0.926,0.908,1.0,0.136,0.997,0.566
20,500.0,0.919,0.905,1.0,0.094,0.994,0.562
