,max_features,Train_Accuracy,Test_Accuracy,Train_Specificity,Test_Specificity,Train_ROC_AUC,Test_ROC_AUC
0,0.05,0.866,0.866,0.317,0.238,0.575,0.485
1,0.1,0.843,0.84,0.258,0.098,0.574,0.462
2,0.15,0.786,0.779,0.512,0.235,0.674,0.481
3,0.2,0.783,0.779,0.527,0.228,0.658,0.458
4,0.25,0.807,0.798,0.456,0.217,0.694,0.486
5,0.3,0.823,0.817,0.478,0.207,0.699,0.498
6,0.35,0.807,0.802,0.472,0.178,0.69,0.485
7,0.4,0.782,0.772,0.473,0.224,0.728,0.517
8,0.45,0.838,0.831,0.529,0.14,0.744,0.507
9,0.5,0.829,0.821,0.551,0.182,0.743,0.528
10,0.55,0.838,0.831,0.525,0.234,0.748,0.497
11,0.6,0.832,0.82,0.559,0.189,0.753,0.503
12,0.65,0.839,0.832,0.572,0.181,0.753,0.52
13,0.7,0.819,0.807,0.502,0.164,0.736,0.55
14,0.75,0.838,0.837,0.571,0.206,0.756,0.521
15,0.8,0.821,0.815,0.527,0.185,0.76,0.526
16,0.85,0.83,0.822,0.535,0.192,0.753,0.536
17,0.9,0.841,0.834,0.554,0.227,0.738,0.554
18,0.95,0.843,0.833,0.565,0.28,0.74,0.521
19,1.0,0.787,0.779,0.59,0.29,0.757,0.543
