,base_estimator__max_depth,Train_Accuracy,Test_Accuracy,Train_Specificity,Test_Specificity,Train_ROC_AUC,Test_ROC_AUC
0,1.0,0.83,0.824,0.331,0.291,0.604,0.529
1,5.0,0.779,0.771,0.527,0.287,0.708,0.531
2,10.0,0.803,0.795,0.536,0.178,0.744,0.551
3,15.0,0.848,0.846,0.573,0.157,0.755,0.53
4,20.0,0.834,0.828,0.522,0.213,0.751,0.569
5,25.0,0.826,0.818,0.573,0.213,0.756,0.514
6,30.0,0.841,0.831,0.529,0.22,0.755,0.523
7,35.0,0.846,0.828,0.529,0.164,0.748,0.552
8,40.0,0.815,0.809,0.57,0.231,0.743,0.542
9,45.0,0.825,0.812,0.546,0.136,0.731,0.517
10,50.0,0.836,0.833,0.562,0.199,0.769,0.537
11,55.0,0.834,0.827,0.541,0.185,0.747,0.527
12,60.0,0.825,0.825,0.535,0.168,0.745,0.562
13,65.0,0.834,0.834,0.573,0.245,0.748,0.5
14,70.0,0.822,0.816,0.537,0.161,0.756,0.564
15,75.0,0.841,0.83,0.562,0.223,0.749,0.523
16,80.0,0.827,0.819,0.538,0.164,0.752,0.547
17,85.0,0.834,0.826,0.54,0.178,0.76,0.542
18,90.0,0.842,0.834,0.592,0.273,0.753,0.494
19,95.0,0.825,0.821,0.54,0.217,0.747,0.521
20,100.0,0.839,0.837,0.547,0.21,0.75,0.542
