Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.5936507936507937,0.6606507823613086,0.5844594594594594,0.7368421052631579,0.729957805907173,0.6606507823613087,14,5,123,173
SVC,0.5987261146496815,0.5523648648648649,0.6047297297297297,0.5,0.7396694214876033,0.5523648648648649,9,9,117,179
SVC,0.4585987261146497,0.6084834834834835,0.4391891891891892,0.7777777777777778,0.6046511627906977,0.6084834834834835,14,4,166,130
SVC,0.5095541401273885,0.42680180180180183,0.5202702702702703,0.3333333333333333,0.6666666666666667,0.42680180180180183,6,12,142,154
SVC,0.5796178343949044,0.4378753753753754,0.597972972972973,0.2777777777777778,0.7283950617283951,0.4378753753753754,5,13,119,177
SVC,0.3885350318471338,0.5268510258697592,0.3694915254237288,0.6842105263157895,0.5317073170731706,0.5268510258697592,13,6,186,109
SVC,0.5987261146496815,0.5648528099910795,0.6033898305084746,0.5263157894736842,0.7385892116182573,0.5648528099910795,10,9,117,178
SVC,0.5605095541401274,0.6183764495985726,0.5525423728813559,0.6842105263157895,0.7025862068965517,0.6183764495985727,13,6,132,163
SVC,0.5286624203821656,0.4783229259589652,0.535593220338983,0.42105263157894735,0.6810344827586208,0.4783229259589652,8,11,137,158
SVC,0.5191082802547771,0.5471008028545941,0.5152542372881356,0.5789473684210527,0.668131868131868,0.5471008028545941,11,8,143,152
LinearSVC,0.7301587301587301,0.6101529160739687,0.7466216216216216,0.47368421052631576,0.8387096774193549,0.6101529160739687,9,10,75,221
LinearSVC,0.7165605095541401,0.6148648648648649,0.7297297297297297,0.5,0.8291746641074855,0.6148648648648649,9,9,80,216
LinearSVC,0.5477707006369427,0.6036036036036037,0.5405405405405406,0.6666666666666666,0.6926406926406926,0.6036036036036037,12,6,136,160
LinearSVC,0.6337579617834395,0.5448573573573574,0.6452702702702703,0.4444444444444444,0.7686116700201209,0.5448573573573573,8,10,105,191
LinearSVC,0.5859872611464968,0.49343093093093093,0.597972972972973,0.3888888888888889,0.731404958677686,0.49343093093093093,7,11,119,177
LinearSVC,0.5573248407643312,0.5428189116859946,0.559322033898305,0.5263157894736842,0.7036247334754796,0.5428189116859946,10,9,130,165
LinearSVC,0.6528662420382165,0.5936663693131132,0.6610169491525424,0.5263157894736842,0.781563126252505,0.5936663693131133,10,9,100,195
LinearSVC,0.6401273885350318,0.6115075825156111,0.6440677966101694,0.5789473684210527,0.7707910750507099,0.6115075825156111,11,8,105,190
LinearSVC,0.6050955414012739,0.543621766280107,0.6135593220338983,0.47368421052631576,0.7448559670781892,0.543621766280107,9,10,114,181
LinearSVC,0.6146496815286624,0.548706512042819,0.6237288135593221,0.47368421052631576,0.7525562372188139,0.548706512042819,9,10,111,184
KNeighbors,0.926984126984127,0.49324324324324326,0.9864864864864865,0.0,0.9621087314662274,0.49324324324324326,0,19,4,292
KNeighbors,0.9203821656050956,0.5403528528528528,0.9695945945945946,0.1111111111111111,0.9582637729549249,0.540352852852853,2,16,9,287
KNeighbors,0.9363057324840764,0.4966216216216216,0.9932432432432432,0.0,0.9671052631578947,0.4966216216216216,0,18,2,294
KNeighbors,0.9426751592356688,0.5260885885885885,0.9966216216216216,0.05555555555555555,0.9703947368421052,0.5260885885885886,1,17,1,295
KNeighbors,0.9363057324840764,0.5227102102102102,0.9898648648648649,0.05555555555555555,0.966996699669967,0.5227102102102102,1,17,3,293
KNeighbors,0.9235668789808917,0.4915254237288136,0.9830508474576272,0.0,0.9602649006622516,0.4915254237288136,0,19,5,290
KNeighbors,0.9235668789808917,0.4915254237288136,0.9830508474576272,0.0,0.9602649006622516,0.4915254237288136,0,19,5,290
KNeighbors,0.9394904458598726,0.5,1.0,0.0,0.9688013136288998,0.5,0,19,0,295
KNeighbors,0.9235668789808917,0.4915254237288136,0.9830508474576272,0.0,0.9602649006622516,0.4915254237288136,0,19,5,290
KNeighbors,0.9267515923566879,0.49322033898305084,0.9864406779661017,0.0,0.9619834710743801,0.49322033898305084,0,19,4,291
RandomForest,0.9492063492063492,0.6035739687055477,0.9966216216216216,0.21052631578947367,0.9735973597359737,0.6035739687055476,4,15,1,295
RandomForest,0.9490445859872612,0.5816441441441441,0.9966216216216216,0.16666666666666666,0.9735973597359737,0.5816441441441441,3,15,1,295
RandomForest,0.9490445859872612,0.5555555555555556,1.0,0.1111111111111111,0.9736842105263158,0.5555555555555556,2,16,0,296
RandomForest,0.9426751592356688,0.5,1.0,0.0,0.9704918032786886,0.5,0,18,0,296
RandomForest,0.9426751592356688,0.5260885885885885,0.9966216216216216,0.05555555555555555,0.9703947368421052,0.5260885885885886,1,17,1,295
RandomForest,0.9267515923566879,0.49322033898305084,0.9864406779661017,0.0,0.9619834710743801,0.49322033898305084,0,19,4,291
RandomForest,0.945859872611465,0.5772524531668154,0.9966101694915255,0.15789473684210525,0.971900826446281,0.5772524531668154,3,16,1,294
RandomForest,0.9426751592356688,0.575557537912578,0.9932203389830508,0.15789473684210525,0.9701986754966887,0.5755575379125781,3,16,2,293
RandomForest,0.9363057324840764,0.5475468331846566,0.9898305084745763,0.10526315789473684,0.9668874172185431,0.5475468331846566,2,17,3,292
RandomForest,0.945859872611465,0.5526315789473684,1.0,0.10526315789473684,0.9719934102141681,0.5526315789473684,2,17,0,295
AdaBoost,0.9333333333333333,0.4966216216216216,0.9932432432432432,0.0,0.9655172413793104,0.4966216216216216,0,19,2,294
AdaBoost,0.9426751592356688,0.5,1.0,0.0,0.9704918032786886,0.5,0,18,0,296
AdaBoost,0.9299363057324841,0.49324324324324326,0.9864864864864865,0.0,0.9636963696369637,0.49324324324324326,0,18,4,292
AdaBoost,0.9394904458598726,0.4983108108108108,0.9966216216216216,0.0,0.9688013136288998,0.4983108108108108,0,18,1,295
AdaBoost,0.9394904458598726,0.4983108108108108,0.9966216216216216,0.0,0.9688013136288998,0.4983108108108108,0,18,1,295
AdaBoost,0.9363057324840764,0.49830508474576274,0.9966101694915255,0.0,0.9671052631578948,0.49830508474576274,0,19,1,294
AdaBoost,0.9394904458598726,0.5,1.0,0.0,0.9688013136288998,0.5,0,19,0,295
AdaBoost,0.9394904458598726,0.5,1.0,0.0,0.9688013136288998,0.5,0,19,0,295
AdaBoost,0.9331210191082803,0.4966101694915254,0.9932203389830508,0.0,0.9654036243822076,0.4966101694915254,0,19,2,293
AdaBoost,0.9363057324840764,0.49830508474576274,0.9966101694915255,0.0,0.9671052631578948,0.49830508474576274,0,19,1,294
GradientBoosting,0.9396825396825397,0.5,1.0,0.0,0.9689034369885434,0.5,0,19,0,296
GradientBoosting,0.945859872611465,0.5538663663663663,0.9966216216216216,0.1111111111111111,0.9719934102141681,0.5538663663663663,2,16,1,295
GradientBoosting,0.9363057324840764,0.5227102102102102,0.9898648648648649,0.05555555555555555,0.966996699669967,0.5227102102102102,1,17,3,293
GradientBoosting,0.9394904458598726,0.4983108108108108,0.9966216216216216,0.0,0.9688013136288998,0.4983108108108108,0,18,1,295
GradientBoosting,0.9426751592356688,0.5,1.0,0.0,0.9704918032786886,0.5,0,18,0,296
GradientBoosting,0.9331210191082803,0.4966101694915254,0.9932203389830508,0.0,0.9654036243822076,0.4966101694915254,0,19,2,293
GradientBoosting,0.9426751592356688,0.5263157894736842,1.0,0.05263157894736842,0.9703947368421053,0.5263157894736843,1,18,0,295
GradientBoosting,0.9490445859872612,0.5789473684210527,1.0,0.15789473684210525,0.9735973597359735,0.5789473684210527,3,16,0,295
GradientBoosting,0.9394904458598726,0.5492417484388938,0.9932203389830508,0.10526315789473684,0.9685950413223141,0.5492417484388938,2,17,2,293
GradientBoosting,0.9140127388535032,0.4864406779661017,0.9728813559322034,0.0,0.9550748752079866,0.4864406779661017,0,19,8,287
GaussianNB,0.07936507936507936,0.5101351351351351,0.02027027027027027,1.0,0.03973509933774835,0.5101351351351351,19,0,290,6
