Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.5688073394495413,0.6727272727272727,0.1509433962264151,0.8,0.9642857142857143,0.5454545454545454,0.6967741935483871,8,2,45,54
SVC,0.6422018348623854,0.6681818181818182,0.16279069767441862,0.7,0.9545454545454546,0.6363636363636364,0.7636363636363637,7,3,36,63
SVC,0.5412844036697247,0.5227272727272727,0.1,0.5,0.9152542372881356,0.5454545454545454,0.6835443037974683,5,5,45,54
SVC,0.6422018348623854,0.6681818181818182,0.16279069767441862,0.7,0.9545454545454546,0.6363636363636364,0.7636363636363637,7,3,36,63
SVC,0.5963302752293578,0.6429292929292929,0.14583333333333334,0.7,0.9508196721311475,0.5858585858585859,0.725,7,3,41,58
SVC,0.5045871559633027,0.4575757575757576,0.07692307692307693,0.4,0.8947368421052632,0.5151515151515151,0.6538461538461537,4,6,48,51
SVC,0.5137614678899083,0.46262626262626266,0.0784313725490196,0.4,0.896551724137931,0.5252525252525253,0.6624203821656051,4,6,47,52
SVC,0.3486238532110092,0.3717171717171717,0.057971014492753624,0.4,0.85,0.3434343434343434,0.48920863309352514,4,6,65,34
SVC,0.5229357798165137,0.6025252525252525,0.125,0.7,0.9433962264150944,0.5050505050505051,0.6578947368421053,7,3,49,50
SVC,0.4954128440366973,0.5873737373737373,0.11864406779661017,0.7,0.94,0.47474747474747475,0.6308724832214765,7,3,52,47
SVC,0.5,0.5757575757575757,0.10526315789473684,0.6666666666666666,0.9411764705882353,0.48484848484848486,0.64,6,3,51,48
SVC,0.5648148148148148,0.7121212121212122,0.14814814814814814,0.8888888888888888,0.9814814814814815,0.5353535353535354,0.6928104575163399,8,1,46,53
SVC,0.5462962962962963,0.601010101010101,0.11538461538461539,0.6666666666666666,0.9464285714285714,0.5353535353535354,0.6838709677419355,6,3,46,53
SVC,0.6481481481481481,0.6060606060606061,0.1282051282051282,0.5555555555555556,0.9420289855072463,0.6565656565656566,0.7738095238095237,5,4,34,65
SVC,0.6111111111111112,0.7373737373737373,0.16326530612244897,0.8888888888888888,0.9830508474576272,0.5858585858585859,0.7341772151898734,8,1,41,58
SVC,0.3888888888888889,0.48367346938775513,0.08823529411764706,0.6,0.9,0.3673469387755102,0.5217391304347826,6,4,62,36
SVC,0.4166666666666667,0.4091836734693878,0.06557377049180328,0.4,0.8723404255319149,0.41836734693877553,0.5655172413793104,4,6,57,41
SVC,0.4074074074074074,0.5836734693877551,0.11428571428571428,0.8,0.9473684210526315,0.3673469387755102,0.5294117647058824,8,2,62,36
SVC,0.5925925925925926,0.5959183673469388,0.13043478260869565,0.6,0.9354838709677419,0.5918367346938775,0.7249999999999999,6,4,40,58
SVC,0.49074074074074076,0.49489795918367346,0.09090909090909091,0.5,0.9056603773584906,0.4897959183673469,0.6357615894039735,5,5,50,48
SVC,0.6481481481481481,0.6265306122448979,0.15,0.6,0.9411764705882353,0.6530612244897959,0.7710843373493975,6,4,34,64
SVC,0.6296296296296297,0.6612244897959183,0.1590909090909091,0.7,0.953125,0.6224489795918368,0.7530864197530863,7,3,37,61
SVC,0.5185185185185185,0.689795918367347,0.15,0.9,0.9791666666666666,0.47959183673469385,0.6438356164383561,9,1,51,47
SVC,0.5462962962962963,0.6153061224489795,0.1320754716981132,0.7,0.9454545454545454,0.5306122448979592,0.6797385620915033,7,3,46,52
SVC,0.5185185185185185,0.6448979591836734,0.13793103448275862,0.8,0.96,0.4897959183673469,0.6486486486486486,8,2,50,48
SVC,0.5185185185185185,0.5102040816326531,0.09615384615384616,0.5,0.9107142857142857,0.5204081632653061,0.6623376623376623,5,5,47,51
SVC,0.6111111111111112,0.6510204081632653,0.15217391304347827,0.7,0.9516129032258065,0.6020408163265306,0.7375,7,3,39,59
SVC,0.46296296296296297,0.47959183673469385,0.08620689655172414,0.5,0.9,0.45918367346938777,0.6081081081081081,5,5,53,45
SVC,0.5833333333333334,0.6357142857142857,0.14285714285714285,0.7,0.9491525423728814,0.5714285714285714,0.713375796178344,7,3,42,56
SVC,0.49074074074074076,0.6744897959183673,0.14285714285714285,0.9,0.9777777777777777,0.4489795918367347,0.6153846153846154,9,1,54,44
LinearSVC,0.7155963302752294,0.7085858585858585,0.2,0.7,0.9594594594594594,0.7171717171717171,0.8208092485549132,7,3,28,71
LinearSVC,0.7247706422018348,0.6237373737373737,0.16666666666666666,0.5,0.9367088607594937,0.7474747474747475,0.8314606741573033,5,5,25,74
LinearSVC,0.7247706422018348,0.6237373737373737,0.16666666666666666,0.5,0.9367088607594937,0.7474747474747475,0.8314606741573033,5,5,25,74
LinearSVC,0.6697247706422018,0.6383838383838384,0.15789473684210525,0.6,0.9436619718309859,0.6767676767676768,0.7882352941176471,6,4,32,67
LinearSVC,0.7614678899082569,0.7787878787878788,0.25,0.8,0.974025974025974,0.7575757575757576,0.8522727272727272,8,2,24,75
LinearSVC,0.6880733944954128,0.6484848484848484,0.16666666666666666,0.6,0.9452054794520548,0.696969696969697,0.8023255813953489,6,4,30,69
LinearSVC,0.5688073394495413,0.49292929292929294,0.08888888888888889,0.4,0.90625,0.5858585858585859,0.7116564417177914,4,6,41,58
LinearSVC,0.5504587155963303,0.5277777777777778,0.10204081632653061,0.5,0.9166666666666666,0.5555555555555556,0.6918238993710691,5,5,44,55
LinearSVC,0.6238532110091743,0.5681818181818181,0.12195121951219512,0.5,0.9264705882352942,0.6363636363636364,0.7544910179640718,5,5,36,63
LinearSVC,0.5963302752293578,0.597979797979798,0.13043478260869565,0.6,0.9365079365079365,0.5959595959595959,0.7283950617283951,6,4,40,59
LinearSVC,0.7129629629629629,0.6919191919191918,0.17647058823529413,0.6666666666666666,0.9594594594594594,0.7171717171717171,0.8208092485549132,6,3,28,71
LinearSVC,0.6759259259259259,0.6717171717171717,0.15789473684210525,0.6666666666666666,0.9571428571428572,0.6767676767676768,0.7928994082840236,6,3,32,67
LinearSVC,0.6018518518518519,0.5303030303030303,0.09523809523809523,0.4444444444444444,0.9242424242424242,0.6161616161616161,0.7393939393939395,4,5,38,61
LinearSVC,0.6111111111111112,0.5858585858585859,0.11627906976744186,0.5555555555555556,0.9384615384615385,0.6161616161616161,0.7439024390243902,5,4,38,61
LinearSVC,0.6851851851851852,0.7777777777777777,0.1951219512195122,0.8888888888888888,0.9850746268656716,0.6666666666666666,0.7951807228915662,8,1,33,66
LinearSVC,0.6296296296296297,0.4816326530612245,0.08333333333333333,0.3,0.9027777777777778,0.6632653061224489,0.7647058823529411,3,7,33,65
LinearSVC,0.6111111111111112,0.4714285714285714,0.07894736842105263,0.3,0.9,0.6428571428571429,0.75,3,7,35,63
LinearSVC,0.6018518518518519,0.7357142857142858,0.17647058823529413,0.9,0.9824561403508771,0.5714285714285714,0.7225806451612903,9,1,42,56
LinearSVC,0.6574074074074074,0.49693877551020404,0.09090909090909091,0.3,0.9066666666666666,0.6938775510204082,0.7861271676300577,3,7,30,68
LinearSVC,0.6203703703703703,0.4765306122448979,0.08108108108108109,0.3,0.9014084507042254,0.6530612244897959,0.757396449704142,3,7,34,64
LinearSVC,0.6944444444444444,0.6520408163265305,0.17142857142857143,0.6,0.9452054794520548,0.7040816326530612,0.8070175438596492,6,4,29,69
LinearSVC,0.6851851851851852,0.6469387755102041,0.16666666666666666,0.6,0.9444444444444444,0.6938775510204082,0.7999999999999999,6,4,30,68
LinearSVC,0.6388888888888888,0.6663265306122449,0.16279069767441862,0.7,0.9538461538461539,0.6326530612244898,0.7607361963190183,7,3,36,62
LinearSVC,0.6666666666666666,0.6816326530612244,0.175,0.7,0.9558823529411765,0.6632653061224489,0.783132530120482,7,3,33,65
LinearSVC,0.6018518518518519,0.6908163265306122,0.16326530612244897,0.8,0.9661016949152542,0.5816326530612245,0.7261146496815286,8,2,41,57
LinearSVC,0.5462962962962963,0.4357142857142857,0.06666666666666667,0.3,0.8888888888888888,0.5714285714285714,0.6956521739130435,3,7,42,56
LinearSVC,0.6111111111111112,0.6061224489795918,0.13636363636363635,0.6,0.9375,0.6122448979591837,0.7407407407407408,6,4,38,60
LinearSVC,0.5648148148148148,0.5357142857142857,0.10638297872340426,0.5,0.9180327868852459,0.5714285714285714,0.7044025157232705,5,5,42,56
LinearSVC,0.6574074074074074,0.5867346938775511,0.13513513513513514,0.5,0.9295774647887324,0.673469387755102,0.7810650887573964,5,5,32,66
LinearSVC,0.5740740740740741,0.7653061224489797,0.17857142857142858,1.0,1.0,0.5306122448979592,0.6933333333333334,10,0,46,52
KNeighbors,0.9357798165137615,0.7848484848484849,0.6666666666666666,0.6,0.96,0.9696969696969697,0.964824120603015,6,4,3,96
KNeighbors,0.9174311926605505,0.6848484848484848,0.5714285714285714,0.4,0.9411764705882353,0.9696969696969697,0.955223880597015,4,6,3,96
KNeighbors,0.8807339449541285,0.5747474747474748,0.2857142857142857,0.2,0.9215686274509803,0.9494949494949495,0.9353233830845771,2,8,5,94
KNeighbors,0.8899082568807339,0.4898989898989899,0.0,0.0,0.9065420560747663,0.9797979797979798,0.9417475728155339,0,10,2,97
KNeighbors,0.8715596330275229,0.5247474747474747,0.16666666666666666,0.1,0.912621359223301,0.9494949494949495,0.9306930693069307,1,9,5,94
KNeighbors,0.926605504587156,0.6449494949494949,0.75,0.3,0.9333333333333333,0.98989898989899,0.9607843137254903,3,7,1,98
KNeighbors,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
KNeighbors,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
KNeighbors,0.908256880733945,0.6348484848484849,0.5,0.3,0.9320388349514563,0.9696969696969697,0.9504950495049505,3,7,3,96
KNeighbors,0.908256880733945,0.544949494949495,0.5,0.1,0.9158878504672897,0.98989898989899,0.9514563106796117,1,9,1,98
KNeighbors,0.9444444444444444,0.6666666666666666,1.0,0.3333333333333333,0.9428571428571428,1.0,0.9705882352941176,3,6,0,99
KNeighbors,0.9074074074074074,0.6464646464646464,0.42857142857142855,0.3333333333333333,0.9405940594059405,0.9595959595959596,0.95,3,6,4,95
KNeighbors,0.9166666666666666,0.702020202020202,0.5,0.4444444444444444,0.95,0.9595959595959596,0.9547738693467336,4,5,4,95
KNeighbors,0.8611111111111112,0.5707070707070707,0.2,0.2222222222222222,0.9285714285714286,0.9191919191919192,0.9238578680203046,2,7,8,91
KNeighbors,0.8333333333333334,0.5050505050505051,0.09090909090909091,0.1111111111111111,0.9175257731958762,0.898989898989899,0.9081632653061225,1,8,10,89
