Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.7622377622377622,0.6400679117147707,0.8064516129032258,0.47368421052631576,0.8547008547008547,0.6400679117147708,9,10,24,100
SVC,0.8111888111888111,0.6905772495755518,0.8548387096774194,0.5263157894736842,0.8870292887029289,0.6905772495755519,10,9,18,106
SVC,0.8111888111888111,0.7797113752122241,0.8225806451612904,0.7368421052631579,0.8831168831168831,0.7797113752122242,14,5,22,102
SVC,0.7202797202797203,0.638157894736842,0.75,0.5263157894736842,0.8230088495575222,0.6381578947368423,10,9,31,93
SVC,0.7412587412587412,0.6056876061120543,0.7903225806451613,0.42105263157894735,0.8412017167381974,0.6056876061120543,8,11,26,98
SVC,0.6783216783216783,0.6362478777589134,0.6935483870967742,0.5789473684210527,0.7889908256880733,0.6362478777589134,11,8,38,86
SVC,0.6619718309859155,0.5689964157706093,0.6935483870967742,0.4444444444444444,0.7818181818181819,0.5689964157706093,8,10,38,86
SVC,0.4647887323943662,0.503584229390681,0.45161290322580644,0.5555555555555556,0.5957446808510638,0.503584229390681,10,8,68,56
SVC,0.5915492957746479,0.5999103942652331,0.5887096774193549,0.6111111111111112,0.7156862745098039,0.5999103942652331,11,7,51,73
SVC,0.5352112676056338,0.5439068100358423,0.532258064516129,0.5555555555555556,0.6666666666666666,0.5439068100358423,10,8,58,66
LinearSVC,0.8881118881118881,0.8686332767402376,0.8951612903225806,0.8421052631578947,0.9327731092436974,0.8686332767402376,16,3,13,111
LinearSVC,0.916083916083916,0.840195246179966,0.9435483870967742,0.7368421052631579,0.951219512195122,0.8401952461799662,14,5,7,117
LinearSVC,0.8951048951048951,0.7166808149405772,0.9596774193548387,0.47368421052631576,0.9407114624505929,0.7166808149405772,9,10,5,119
LinearSVC,0.8601398601398601,0.7410865874363328,0.9032258064516129,0.5789473684210527,0.9180327868852459,0.7410865874363328,11,8,12,112
LinearSVC,0.8601398601398601,0.6742359932088284,0.9274193548387096,0.42105263157894735,0.92,0.6742359932088284,8,11,9,115
LinearSVC,0.8741258741258742,0.7937181663837012,0.9032258064516129,0.6842105263157895,0.9256198347107438,0.7937181663837013,13,6,12,112
LinearSVC,0.8028169014084507,0.6021505376344086,0.8709677419354839,0.3333333333333333,0.8852459016393444,0.6021505376344086,6,12,16,108
LinearSVC,0.7323943661971831,0.6568100358422939,0.7580645161290323,0.5555555555555556,0.831858407079646,0.6568100358422939,10,8,30,94
LinearSVC,0.676056338028169,0.5770609318996416,0.7096774193548387,0.4444444444444444,0.7927927927927928,0.5770609318996416,8,10,36,88
LinearSVC,0.5140845070422535,0.4605734767025089,0.532258064516129,0.3888888888888889,0.6567164179104477,0.4605734767025089,7,11,58,66
KNeighbors,0.7412587412587412,0.5834040747028862,0.7983870967741935,0.3684210526315789,0.8425531914893617,0.5834040747028862,7,12,25,99
KNeighbors,0.8671328671328671,0.6337011884550086,0.9516129032258065,0.3157894736842105,0.9254901960784313,0.6337011884550086,6,13,6,118
KNeighbors,0.8881118881118881,0.6012308998302207,0.9919354838709677,0.21052631578947367,0.9389312977099237,0.6012308998302207,4,15,1,123
KNeighbors,0.8811188811188811,0.6194821731748726,0.9758064516129032,0.2631578947368421,0.9343629343629344,0.6194821731748728,5,14,3,121
KNeighbors,0.8741258741258742,0.5485993208828523,0.9919354838709677,0.10526315789473684,0.9318181818181818,0.5485993208828522,2,17,1,123
KNeighbors,0.9020979020979021,0.631578947368421,1.0,0.2631578947368421,0.9465648854961832,0.631578947368421,5,14,0,124
KNeighbors,0.8732394366197183,0.5237455197132617,0.9919354838709677,0.05555555555555555,0.9318181818181818,0.5237455197132617,1,17,1,123
KNeighbors,0.8802816901408451,0.5990143369175627,0.9758064516129032,0.2222222222222222,0.9343629343629344,0.5990143369175627,4,14,3,121
KNeighbors,0.8873239436619719,0.6030465949820789,0.9838709677419355,0.2222222222222222,0.9384615384615386,0.6030465949820789,4,14,2,122
KNeighbors,0.8802816901408451,0.5990143369175627,0.9758064516129032,0.2222222222222222,0.9343629343629344,0.5990143369175627,4,14,3,121
RandomForest,0.8741258741258742,0.7491511035653651,0.9193548387096774,0.5789473684210527,0.9268292682926829,0.7491511035653651,11,8,10,114
RandomForest,0.9090909090909091,0.7024617996604414,0.9838709677419355,0.42105263157894735,0.9494163424124513,0.7024617996604414,8,11,2,122
RandomForest,0.9230769230769231,0.7105263157894737,1.0,0.42105263157894735,0.9575289575289575,0.7105263157894737,8,11,0,124
RandomForest,0.9020979020979021,0.6538624787775891,0.9919354838709677,0.3157894736842105,0.9461538461538461,0.6538624787775891,6,13,1,123
RandomForest,0.8951048951048951,0.6275466893039049,0.9919354838709677,0.2631578947368421,0.9425287356321839,0.627546689303905,5,14,1,123
RandomForest,0.916083916083916,0.6842105263157895,1.0,0.3684210526315789,0.9538461538461539,0.6842105263157895,7,12,0,124
RandomForest,0.8591549295774648,0.5631720430107527,0.9596774193548387,0.16666666666666666,0.9224806201550387,0.5631720430107527,3,15,5,119
RandomForest,0.8873239436619719,0.6267921146953406,0.9758064516129032,0.2777777777777778,0.937984496124031,0.6267921146953406,5,13,3,121
RandomForest,0.9014084507042254,0.6586021505376344,0.9838709677419355,0.3333333333333333,0.9457364341085271,0.6586021505376345,6,12,2,122
RandomForest,0.8732394366197183,0.571236559139785,0.9758064516129032,0.16666666666666666,0.9307692307692308,0.571236559139785,3,15,3,121
AdaBoost,0.951048951048951,0.8157894736842105,1.0,0.631578947368421,0.9725490196078431,0.8157894736842105,12,7,0,124
AdaBoost,0.9090909090909091,0.7024617996604414,0.9838709677419355,0.42105263157894735,0.9494163424124513,0.7024617996604414,8,11,2,122
AdaBoost,0.9230769230769231,0.7105263157894737,1.0,0.42105263157894735,0.9575289575289575,0.7105263157894737,8,11,0,124
AdaBoost,0.9090909090909091,0.6578947368421053,1.0,0.3157894736842105,0.9501915708812261,0.6578947368421053,6,13,0,124
AdaBoost,0.9020979020979021,0.6538624787775891,0.9919354838709677,0.3157894736842105,0.9461538461538461,0.6538624787775891,6,13,1,123
AdaBoost,0.916083916083916,0.6842105263157895,1.0,0.3684210526315789,0.9538461538461539,0.6842105263157895,7,12,0,124
AdaBoost,0.8943661971830986,0.5833333333333334,1.0,0.16666666666666666,0.9429657794676806,0.5833333333333333,3,15,0,124
AdaBoost,0.8943661971830986,0.6783154121863799,0.967741935483871,0.3888888888888889,0.9411764705882353,0.6783154121863799,7,11,4,120
AdaBoost,0.8943661971830986,0.6545698924731183,0.9758064516129032,0.3333333333333333,0.9416342412451362,0.6545698924731183,6,12,3,121
AdaBoost,0.8028169014084507,0.5309139784946236,0.8951612903225806,0.16666666666666666,0.8880000000000001,0.5309139784946236,3,15,13,111
GradientBoosting,0.951048951048951,0.8157894736842105,1.0,0.631578947368421,0.9725490196078431,0.8157894736842105,12,7,0,124
GradientBoosting,0.8951048951048951,0.6498302207130731,0.9838709677419355,0.3157894736842105,0.9420849420849421,0.6498302207130731,6,13,2,122
GradientBoosting,0.8951048951048951,0.6275466893039049,0.9919354838709677,0.2631578947368421,0.9425287356321839,0.627546689303905,5,14,1,123
GradientBoosting,0.9020979020979021,0.6538624787775891,0.9919354838709677,0.3157894736842105,0.9461538461538461,0.6538624787775891,6,13,1,123
GradientBoosting,0.8951048951048951,0.6275466893039049,0.9919354838709677,0.2631578947368421,0.9425287356321839,0.627546689303905,5,14,1,123
GradientBoosting,0.8951048951048951,0.6943972835314092,0.967741935483871,0.42105263157894735,0.9411764705882353,0.6943972835314092,8,11,4,120
GradientBoosting,0.8943661971830986,0.5833333333333334,1.0,0.16666666666666666,0.9429657794676806,0.5833333333333333,3,15,0,124
GradientBoosting,0.9014084507042254,0.682347670250896,0.9758064516129032,0.3888888888888889,0.9453125,0.682347670250896,7,11,3,121
GradientBoosting,0.9084507042253521,0.6863799283154122,0.9838709677419355,0.3888888888888889,0.9494163424124513,0.6863799283154122,7,11,2,122
GradientBoosting,0.7887323943661971,0.5228494623655914,0.8790322580645161,0.16666666666666666,0.8790322580645161,0.5228494623655914,3,15,15,109
GaussianNB,0.9230769230769231,0.7105263157894737,1.0,0.42105263157894735,0.9575289575289575,0.7105263157894737,8,11,0,124
GaussianNB,0.9020979020979021,0.631578947368421,1.0,0.2631578947368421,0.9465648854961832,0.631578947368421,5,14,0,124
GaussianNB,0.8951048951048951,0.6052631578947368,1.0,0.21052631578947367,0.9429657794676806,0.6052631578947368,4,15,0,124
GaussianNB,0.9020979020979021,0.631578947368421,1.0,0.2631578947368421,0.9465648854961832,0.631578947368421,5,14,0,124
GaussianNB,0.8741258741258742,0.5263157894736842,1.0,0.05263157894736842,0.9323308270676691,0.5263157894736843,1,18,0,124
GaussianNB,0.8811188811188811,0.5526315789473684,1.0,0.10526315789473684,0.9358490566037737,0.5526315789473684,2,17,0,124
GaussianNB,0.8732394366197183,0.5,1.0,0.0,0.9323308270676691,0.5,0,18,0,124
GaussianNB,0.8873239436619719,0.5555555555555556,1.0,0.1111111111111111,0.9393939393939393,0.5555555555555556,2,16,0,124
GaussianNB,0.8873239436619719,0.5555555555555556,1.0,0.1111111111111111,0.9393939393939393,0.5555555555555556,2,16,0,124
GaussianNB,0.823943661971831,0.5667562724014337,0.9112903225806451,0.2222222222222222,0.900398406374502,0.5667562724014337,4,14,11,113
SGD,0.951048951048951,0.8603565365025467,0.9838709677419355,0.7368421052631579,0.9721115537848605,0.8603565365025467,14,5,2,122
SGD,0.48951048951048953,0.6165110356536503,0.4435483870967742,0.7894736842105263,0.6010928961748634,0.6165110356536503,15,4,69,55
SGD,0.916083916083916,0.7287775891341256,0.9838709677419355,0.47368421052631576,0.9531249999999999,0.7287775891341257,9,10,2,122
SGD,0.6433566433566433,0.7497877758913413,0.6048387096774194,0.8947368421052632,0.746268656716418,0.7497877758913413,17,2,49,75
SGD,0.8881118881118881,0.5789473684210527,1.0,0.15789473684210525,0.9393939393939393,0.5789473684210527,3,16,0,124
SGD,0.9020979020979021,0.7429966044142615,0.9596774193548387,0.5263157894736842,0.9444444444444444,0.7429966044142615,10,9,5,119
SGD,0.5774647887323944,0.49686379928315416,0.6048387096774194,0.3888888888888889,0.7142857142857143,0.49686379928315416,7,11,49,75
SGD,0.823943661971831,0.6617383512544803,0.8790322580645161,0.4444444444444444,0.8971193415637859,0.6617383512544802,8,10,15,109
SGD,0.5211267605633803,0.5833333333333333,0.5,0.6666666666666666,0.6458333333333334,0.5833333333333334,12,6,62,62
SGD,0.3028169014084507,0.4345878136200717,0.25806451612903225,0.6111111111111112,0.39263803680981596,0.4345878136200717,11,7,92,32
