Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.8193832599118943,0.7405245346869712,0.8477157360406091,0.6333333333333333,0.8906666666666666,0.7405245346869712,19,11,30,167
SVC,0.8451327433628318,0.7130952380952381,0.8928571428571429,0.5333333333333333,0.9090909090909091,0.7130952380952381,16,14,21,175
SVC,0.7522123893805309,0.6030612244897959,0.8061224489795918,0.4,0.849462365591398,0.6030612244897959,12,18,38,158
SVC,0.8362831858407079,0.7079931972789115,0.8826530612244898,0.5333333333333333,0.9033942558746736,0.7079931972789116,16,14,23,173
SVC,0.6504424778761062,0.5585034013605442,0.6836734693877551,0.43333333333333335,0.7723342939481267,0.5585034013605442,13,17,62,134
SVC,0.7035398230088495,0.5652896901802906,0.751269035532995,0.3793103448275862,0.8154269972451791,0.5652896901802906,11,18,49,148
SVC,0.6858407079646017,0.5845440224050411,0.7208121827411168,0.4482758620689655,0.8,0.5845440224050411,13,16,55,142
SVC,0.668141592920354,0.6626115876072116,0.6700507614213198,0.6551724137931034,0.7787610619469028,0.6626115876072116,19,10,65,132
SVC,0.4557522123893805,0.48197094346227903,0.4467005076142132,0.5172413793103449,0.588628762541806,0.481970943462279,15,14,109,88
SVC,0.5176991150442478,0.5910204796079118,0.49238578680203043,0.6896551724137931,0.6402640264026404,0.5910204796079118,20,9,100,97
LinearSVC,0.8986784140969163,0.8144670050761421,0.9289340101522843,0.7,0.9408740359897172,0.814467005076142,21,9,14,183
LinearSVC,0.8893805309734514,0.7244897959183674,0.9489795918367347,0.5,0.9370277078085643,0.7244897959183674,15,15,10,186
LinearSVC,0.8849557522123894,0.6937074829931973,0.9540816326530612,0.43333333333333335,0.9349999999999999,0.6937074829931973,13,17,9,187
LinearSVC,0.8849557522123894,0.721938775510204,0.9438775510204082,0.5,0.9343434343434343,0.721938775510204,15,15,11,185
LinearSVC,0.8407079646017699,0.7246598639455782,0.8826530612244898,0.5666666666666667,0.9057591623036648,0.7246598639455784,17,13,23,173
LinearSVC,0.7787610619469026,0.623140206546473,0.8324873096446701,0.41379310344827586,0.8677248677248678,0.623140206546473,12,17,33,164
LinearSVC,0.668141592920354,0.5596884298967267,0.7055837563451777,0.41379310344827586,0.7875354107648725,0.5596884298967268,12,17,58,139
LinearSVC,0.672566371681416,0.6357430421844914,0.6852791878172588,0.5862068965517241,0.7848837209302324,0.6357430421844915,17,12,62,135
LinearSVC,0.5442477876106194,0.5768422895151409,0.5329949238578681,0.6206896551724138,0.670926517571885,0.5768422895151409,18,11,92,105
LinearSVC,0.4026548672566372,0.5103273236478207,0.36548223350253806,0.6551724137931034,0.5161290322580644,0.5103273236478207,19,10,125,72
KNeighbors,0.6607929515418502,0.5643824027072758,0.6954314720812182,0.43333333333333335,0.7806267806267806,0.5643824027072758,13,17,60,137
KNeighbors,0.8097345132743363,0.5232993197278911,0.9132653061224489,0.13333333333333333,0.8927680798004987,0.5232993197278911,4,26,17,179
KNeighbors,0.8407079646017699,0.5552721088435374,0.9438775510204082,0.16666666666666666,0.9113300492610837,0.5552721088435374,5,25,11,185
KNeighbors,0.8938053097345132,0.6141156462585035,0.9948979591836735,0.23333333333333334,0.9420289855072465,0.6141156462585033,7,23,1,195
KNeighbors,0.827433628318584,0.5052721088435375,0.9438775510204082,0.06666666666666667,0.9046454767726161,0.5052721088435373,2,28,11,185
KNeighbors,0.8628318584070797,0.5831437073341502,0.9593908629441624,0.20689655172413793,0.9242053789731051,0.5831437073341501,6,23,8,189
KNeighbors,0.8716814159292036,0.6323297741991948,0.9543147208121827,0.3103448275862069,0.928395061728395,0.6323297741991948,9,20,9,188
