Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
SVC,0.9138461538461539,0.5172413793103449,1.0,0.034482758620689655,0.9548387096774192,0.5172413793103448,1,28,0,296
SVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
SVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
SVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
SVC,0.9076923076923077,0.5,1.0,0.0,0.9516129032258065,0.5,0,30,0,295
SVC,0.9107692307692308,0.5166666666666667,1.0,0.03333333333333333,0.9531502423263328,0.5166666666666666,1,29,0,295
SVC,0.9076923076923077,0.5,1.0,0.0,0.9516129032258065,0.5,0,30,0,295
SVC,0.9076923076923077,0.5,1.0,0.0,0.9516129032258065,0.5,0,30,0,295
SVC,0.9107692307692308,0.5166666666666667,1.0,0.03333333333333333,0.9531502423263328,0.5166666666666666,1,29,0,295
LinearSVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
LinearSVC,0.916923076923077,0.5344827586206896,1.0,0.06896551724137931,0.9563812600969306,0.5344827586206897,2,27,0,296
LinearSVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
LinearSVC,0.9107692307692308,0.5,1.0,0.0,0.9533011272141707,0.5,0,29,0,296
LinearSVC,0.9138461538461539,0.5172413793103449,1.0,0.034482758620689655,0.9548387096774192,0.5172413793103448,1,28,0,296
LinearSVC,0.9107692307692308,0.5166666666666667,1.0,0.03333333333333333,0.9531502423263328,0.5166666666666666,1,29,0,295
LinearSVC,0.9138461538461539,0.5333333333333333,1.0,0.06666666666666667,0.9546925566343043,0.5333333333333333,2,28,0,295
LinearSVC,0.9076923076923077,0.5,1.0,0.0,0.9516129032258065,0.5,0,30,0,295
LinearSVC,0.9107692307692308,0.5166666666666667,1.0,0.03333333333333333,0.9531502423263328,0.5166666666666666,1,29,0,295
LinearSVC,0.9138461538461539,0.5333333333333333,1.0,0.06666666666666667,0.9546925566343043,0.5333333333333333,2,28,0,295
KNeighbors,0.9138461538461539,0.6883154706430569,0.9628378378378378,0.41379310344827586,0.9531772575250835,0.6883154706430569,12,17,11,285
