Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.9375,0.7857142857142857,1.0,0.5714285714285714,0.9647058823529412,0.7857142857142857,4,3,0,41
SVC,0.8958333333333334,0.6428571428571428,1.0,0.2857142857142857,0.9425287356321839,0.6428571428571428,2,5,0,41
SVC,0.9166666666666666,0.7142857142857143,1.0,0.42857142857142855,0.9534883720930233,0.7142857142857143,3,4,0,41
SVC,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
SVC,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
SVC,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
SVC,0.9375,0.75,1.0,0.5,0.9655172413793104,0.75,3,3,0,42
SVC,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
SVC,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
SVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
SVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
SVC,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
SVC,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
SVC,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
SVC,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
SVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
SVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
SVC,0.9361702127659575,0.75,1.0,0.5,0.9647058823529412,0.75,3,3,0,41
SVC,0.851063829787234,0.4878048780487805,0.975609756097561,0.0,0.9195402298850575,0.4878048780487805,0,6,1,40
SVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
LinearSVC,0.9375,0.7857142857142857,1.0,0.5714285714285714,0.9647058823529412,0.7857142857142857,4,3,0,41
LinearSVC,0.8958333333333334,0.6428571428571428,1.0,0.2857142857142857,0.9425287356321839,0.6428571428571428,2,5,0,41
LinearSVC,0.8958333333333334,0.6428571428571428,1.0,0.2857142857142857,0.9425287356321839,0.6428571428571428,2,5,0,41
LinearSVC,0.8958333333333334,0.6428571428571428,1.0,0.2857142857142857,0.9425287356321839,0.6428571428571428,2,5,0,41
LinearSVC,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
LinearSVC,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
LinearSVC,0.9583333333333334,0.8333333333333333,1.0,0.6666666666666666,0.9767441860465117,0.8333333333333334,4,2,0,42
LinearSVC,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
LinearSVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
LinearSVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
LinearSVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
LinearSVC,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
LinearSVC,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
LinearSVC,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
LinearSVC,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
LinearSVC,0.9583333333333334,0.8333333333333333,1.0,0.6666666666666666,0.9767441860465117,0.8333333333333334,4,2,0,42
LinearSVC,0.9148936170212766,0.6666666666666666,1.0,0.3333333333333333,0.9534883720930233,0.6666666666666667,2,4,0,41
LinearSVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
LinearSVC,0.9148936170212766,0.6666666666666666,1.0,0.3333333333333333,0.9534883720930233,0.6666666666666667,2,4,0,41
LinearSVC,0.9148936170212766,0.6666666666666666,1.0,0.3333333333333333,0.9534883720930233,0.6666666666666667,2,4,0,41
LinearSVC,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
LinearSVC,0.8936170212765957,0.6544715447154471,0.975609756097561,0.3333333333333333,0.9411764705882352,0.6544715447154472,2,4,1,40
