Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
SVC,0.8766519823788547,0.5333333333333333,1.0,0.06666666666666667,0.933649289099526,0.5333333333333333,2,28,0,197
SVC,0.8761061946902655,0.5333333333333333,1.0,0.06666666666666667,0.9333333333333333,0.5333333333333333,2,28,0,196
SVC,0.8716814159292036,0.5166666666666667,1.0,0.03333333333333333,0.9311163895486936,0.5166666666666666,1,29,0,196
SVC,0.8716814159292036,0.5166666666666667,1.0,0.03333333333333333,0.9311163895486936,0.5166666666666666,1,29,0,196
SVC,0.8672566371681416,0.5141156462585035,0.9948979591836735,0.03333333333333333,0.9285714285714287,0.5141156462585034,1,29,1,195
SVC,0.8849557522123894,0.5517241379310345,1.0,0.10344827586206896,0.9380952380952381,0.5517241379310345,3,26,0,197
SVC,0.8716814159292036,0.544109924733065,0.9847715736040609,0.10344827586206896,0.9304556354916066,0.544109924733065,3,26,3,194
SVC,0.8716814159292036,0.5,1.0,0.0,0.9314420803782506,0.5,0,29,0,197
SVC,0.8761061946902655,0.5466479957990548,0.9898477157360406,0.10344827586206896,0.9330143540669856,0.5466479957990548,3,26,2,195
SVC,0.8893805309734514,0.5689655172413793,1.0,0.13793103448275862,0.9403341288782816,0.5689655172413793,4,25,0,197
LinearSVC,0.8810572687224669,0.55,1.0,0.1,0.9358669833729216,0.55,3,27,0,197
LinearSVC,0.8893805309734514,0.5833333333333334,1.0,0.16666666666666666,0.9400479616306954,0.5833333333333333,5,25,0,196
LinearSVC,0.8805309734513275,0.55,1.0,0.1,0.9355608591885441,0.55,3,27,0,196
LinearSVC,0.8805309734513275,0.55,1.0,0.1,0.9355608591885441,0.55,3,27,0,196
LinearSVC,0.8716814159292036,0.5307823129251701,0.9948979591836735,0.06666666666666667,0.9307875894988068,0.5307823129251701,2,28,1,195
LinearSVC,0.8893805309734514,0.5689655172413793,1.0,0.13793103448275862,0.9403341288782816,0.5689655172413793,4,25,0,197
LinearSVC,0.8805309734513275,0.5932959915981096,0.9796954314720813,0.20689655172413793,0.9346246973365617,0.5932959915981095,6,23,4,193
LinearSVC,0.8938053097345132,0.5862068965517242,1.0,0.1724137931034483,0.9425837320574163,0.5862068965517242,5,24,0,197
LinearSVC,0.8716814159292036,0.5735165412217749,0.9746192893401016,0.1724137931034483,0.9297820823244551,0.5735165412217749,5,24,5,192
LinearSVC,0.8849557522123894,0.6252406791528093,0.9746192893401016,0.27586206896551724,0.9365853658536586,0.6252406791528093,8,21,5,192
KNeighbors,0.6607929515418502,0.5643824027072758,0.6954314720812182,0.43333333333333335,0.7806267806267806,0.5643824027072758,13,17,60,137
KNeighbors,0.8097345132743363,0.5232993197278911,0.9132653061224489,0.13333333333333333,0.8927680798004987,0.5232993197278911,4,26,17,179
KNeighbors,0.8407079646017699,0.5552721088435374,0.9438775510204082,0.16666666666666666,0.9113300492610837,0.5552721088435374,5,25,11,185
KNeighbors,0.8938053097345132,0.6141156462585035,0.9948979591836735,0.23333333333333334,0.9420289855072465,0.6141156462585033,7,23,1,195
KNeighbors,0.827433628318584,0.5052721088435375,0.9438775510204082,0.06666666666666667,0.9046454767726161,0.5052721088435373,2,28,11,185
KNeighbors,0.8628318584070797,0.5831437073341502,0.9593908629441624,0.20689655172413793,0.9242053789731051,0.5831437073341501,6,23,8,189
KNeighbors,0.8716814159292036,0.6323297741991948,0.9543147208121827,0.3103448275862069,0.928395061728395,0.6323297741991948,9,20,9,188
KNeighbors,0.9203539823008849,0.719061788902503,0.9898477157360406,0.4482758620689655,0.9558823529411765,0.719061788902503,13,16,2,195
KNeighbors,0.8716814159292036,0.6323297741991948,0.9543147208121827,0.3103448275862069,0.928395061728395,0.6323297741991948,9,20,9,188
KNeighbors,0.8893805309734514,0.6718886749518642,0.9644670050761421,0.3793103448275862,0.9382716049382717,0.6718886749518642,11,18,7,190
RandomForest,0.9074889867841409,0.8478003384094754,0.9289340101522843,0.7666666666666667,0.9457364341085271,0.8478003384094754,23,7,14,183
RandomForest,0.9424778761061947,0.7974489795918367,0.9948979591836735,0.6,0.9677419354838709,0.7974489795918368,18,12,1,195
RandomForest,0.9380530973451328,0.8231292517006803,0.9795918367346939,0.6666666666666666,0.964824120603015,0.8231292517006803,20,10,4,192
RandomForest,0.9336283185840708,0.7641156462585035,0.9948979591836735,0.5333333333333333,0.9629629629629629,0.7641156462585035,16,14,1,195
RandomForest,0.911504424778761,0.7231292517006802,0.9795918367346939,0.4666666666666667,0.9504950495049506,0.7231292517006802,14,16,4,192
RandomForest,0.9469026548672567,0.822510064764572,0.9898477157360406,0.6551724137931034,0.9701492537313432,0.822510064764572,19,10,2,195
RandomForest,0.9690265486725663,0.923420269560651,0.9847715736040609,0.8620689655172413,0.9822784810126582,0.9234202695606512,25,4,3,194
RandomForest,0.995575221238938,0.9974619289340101,0.9949238578680203,1.0,0.9974554707379135,0.9974619289340101,29,0,1,196
RandomForest,0.9646017699115044,0.9649921232277263,0.9644670050761421,0.9655172413793104,0.9793814432989691,0.9649921232277263,28,1,7,190
RandomForest,0.9646017699115044,0.9796954314720812,0.9593908629441624,1.0,0.9792746113989638,0.9796954314720812,29,0,8,189
AdaBoost,0.9162995594713657,0.7257191201353638,0.9847715736040609,0.4666666666666667,0.9533169533169534,0.7257191201353639,14,16,3,194
AdaBoost,0.8805309734513275,0.5641156462585034,0.9948979591836735,0.13333333333333333,0.9352517985611511,0.5641156462585034,4,26,1,195
AdaBoost,0.8716814159292036,0.5448979591836735,0.9897959183673469,0.1,0.9304556354916067,0.5448979591836735,3,27,2,194
AdaBoost,0.9026548672566371,0.6333333333333333,1.0,0.26666666666666666,0.9468599033816426,0.6333333333333333,8,22,0,196
AdaBoost,0.8849557522123894,0.5807823129251701,0.9948979591836735,0.16666666666666666,0.9375,0.5807823129251701,5,25,1,195
AdaBoost,0.8938053097345132,0.6009102047960792,0.9949238578680203,0.20689655172413793,0.9423076923076922,0.600910204796079,6,23,1,196
AdaBoost,0.9026548672566371,0.6647995799054787,0.9847715736040609,0.3448275862068966,0.9463414634146342,0.6647995799054787,10,19,3,194
AdaBoost,0.8982300884955752,0.6475582005951339,0.9847715736040609,0.3103448275862069,0.9440389294403894,0.6475582005951339,9,20,3,194
AdaBoost,0.8805309734513275,0.6521092245755296,0.9593908629441624,0.3448275862068966,0.9333333333333333,0.6521092245755296,10,19,8,189
AdaBoost,0.8849557522123894,0.6987572203745842,0.949238578680203,0.4482758620689655,0.935,0.6987572203745843,13,16,10,187
GradientBoosting,0.9383259911894273,0.7666666666666666,1.0,0.5333333333333333,0.9656862745098039,0.7666666666666666,16,14,0,197
GradientBoosting,0.915929203539823,0.6833333333333333,1.0,0.36666666666666664,0.953771289537713,0.6833333333333333,11,19,0,196
