Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,0.15,0.554,0.546,0.554,0.55,0.991,0.005
Birch,0.5,0.517,0.533,0.517,0.525,0.99,0.003
Birch,0.25,0.498,0.516,0.498,0.507,0.989,0.002
MiniBatchKMeans,0.4,0.518,0.496,0.518,0.507,0.989,0.001
Birch,0.4,0.499,0.512,0.498,0.505,0.989,0.001
MiniBatchKMeans,0.15,0.5,0.507,0.5,0.504,0.989,0.001
Birch,0.3,0.5,0.5,0.5,0.5,0.989,0.001
MiniBatchKMeans,0.05,0.501,0.496,0.501,0.499,0.989,0.001
Birch,0.05,0.494,0.502,0.494,0.498,0.988,0.001
KMeans,0.25,0.503,0.488,0.503,0.496,0.989,0.001
KMeans,0.05,0.5,0.489,0.5,0.495,0.988,0.001
Birch,0.1,0.467,0.523,0.467,0.495,0.989,0
MiniBatchKMeans,0.1,0.482,0.504,0.482,0.493,0.989,0
KMeans,0.5,0.502,0.481,0.502,0.491,0.988,0
KMeans,0.15,0.466,0.502,0.465,0.483,0.988,-0.001
MiniBatchKMeans,0.25,0.466,0.498,0.466,0.482,0.988,-0.001
KMeans,0.4,0.447,0.509,0.446,0.478,0.988,-0.001
KMeans,0.3,0.483,0.472,0.483,0.477,0.988,-0.001
KMeans,0.1,0.463,0.482,0.462,0.472,0.988,-0.002
MiniBatchKMeans,0.3,0.447,0.491,0.446,0.469,0.987,-0.002
MiniBatchKMeans,0.5,0.483,0.454,0.484,0.469,0.987,-0.002
