Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,0.25,0.537,0.532,0.537,0.534,0.99,0.004
Birch,0.5,0.526,0.537,0.526,0.531,0.99,0.004
MiniBatchKMeans,0.3,0.551,0.505,0.552,0.529,0.99,0.003
Birch,0.4,0.504,0.554,0.503,0.529,0.99,0.003
Birch,0.15,0.482,0.567,0.481,0.524,0.99,0.003
KMeans,0.3,0.533,0.511,0.533,0.522,0.99,0.003
KMeans,0.1,0.55,0.486,0.551,0.519,0.99,0.002
KMeans,0.4,0.5,0.532,0.5,0.516,0.99,0.002
KMeans,0.05,0.515,0.509,0.515,0.512,0.989,0.002
MiniBatchKMeans,0.05,0.516,0.496,0.516,0.506,0.989,0.001
Birch,0.3,0.469,0.523,0.468,0.496,0.989,0
MiniBatchKMeans,0.1,0.483,0.507,0.482,0.495,0.989,0
KMeans,0.15,0.485,0.504,0.484,0.494,0.988,0.001
Birch,0.05,0.446,0.537,0.445,0.491,0.989,0
MiniBatchKMeans,0.4,0.5,0.477,0.5,0.489,0.988,0
Birch,0.1,0.418,0.544,0.416,0.48,0.988,-0.001
KMeans,0.5,0.481,0.475,0.481,0.478,0.988,-0.001
MiniBatchKMeans,0.15,0.449,0.505,0.448,0.477,0.988,-0.001
MiniBatchKMeans,0.25,0.465,0.489,0.464,0.477,0.988,-0.001
KMeans,0.25,0.451,0.482,0.45,0.466,0.987,-0.002
MiniBatchKMeans,0.5,0.446,0.47,0.445,0.458,0.987,-0.003
