Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.3,0.876,0.493,0.88,0.687,0.994,0.06
BaggingClassifierDT,0.4,0.824,0.547,0.827,0.687,0.994,0.044
BaggingClassifierDT,0.25,0.895,0.446,0.9,0.673,0.993,0.066
BaggingClassifierDT,0.5,0.786,0.547,0.788,0.668,0.994,0.032
BaggingClassifierDT,0.15,0.946,0.382,0.952,0.667,0.993,0.117
BaggingClassifierDT,0.05,0.98,0.307,0.987,0.647,0.992,0.237
BaggingClassifierDT,0.1,0.963,0.321,0.97,0.646,0.992,0.145
BaggingClassifierLSVC,0.5,0.957,0.084,0.966,0.525,0.99,0.025
BaggingClassifierLSVC,0.25,0.984,0.042,0.994,0.518,0.99,0.045
BaggingClassifierLSVC,0.3,0.983,0.04,0.994,0.517,0.99,0.041
BaggingClassifierLSVC,0.4,0.974,0.044,0.984,0.514,0.99,0.02
BaggingClassifierLSVC,0.1,0.987,0.023,0.998,0.51,0.989,0.033
BaggingClassifierLSVC,0.15,0.986,0.025,0.996,0.51,0.989,0.028
BaggingClassifierLSVC,0.05,0.989,0.005,1,0.502,0.989,0.009
