Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.4,0.838,0.619,0.84,0.73,0.995,0.057
BaggingClassifierDT,0.5,0.795,0.633,0.797,0.715,0.995,0.043
BaggingClassifierDT,0.25,0.914,0.511,0.918,0.714,0.994,0.096
BaggingClassifierDT,0.15,0.955,0.447,0.96,0.704,0.994,0.163
BaggingClassifierDT,0.3,0.893,0.509,0.897,0.703,0.994,0.075
BaggingClassifierDT,0.1,0.973,0.381,0.979,0.68,0.993,0.223
BaggingClassifierDT,0.05,0.985,0.326,0.993,0.659,0.993,0.317
BaggingClassifierLSVC,0.5,0.618,0.581,0.619,0.6,0.993,0.011
BaggingClassifierLSVC,0.1,0.626,0.572,0.627,0.599,0.993,0.011
BaggingClassifierLSVC,0.05,0.603,0.582,0.603,0.593,0.993,0.01
BaggingClassifierLSVC,0.15,0.624,0.56,0.624,0.592,0.992,0.01
BaggingClassifierLSVC,0.4,0.61,0.556,0.61,0.583,0.992,0.009
BaggingClassifierLSVC,0.3,0.627,0.53,0.628,0.579,0.992,0.009
BaggingClassifierLSVC,0.25,0.622,0.526,0.623,0.575,0.992,0.008
