Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.979,0.382,0.985,0.684,0.993,0.27
DT5.1_DT5.2_RFC1.1,0.05,0.981,0.351,0.988,0.669,0.993,0.278
DT5.1_DT5.2_RFC1.2,0.05,0.978,0.363,0.984,0.674,0.993,0.251
DT5.1_DT5.2_ET8,0.05,0.978,0.347,0.985,0.666,0.993,0.244
DT5.1_RFC1.1_RFC1.2,0.05,0.977,0.414,0.983,0.698,0.994,0.268
DT5.1_RFC1.1_ET8,0.05,0.978,0.363,0.985,0.674,0.993,0.259
DT5.1_RFC1.2_ET8,0.05,0.965,0.402,0.971,0.686,0.993,0.186
DT5.2_RFC1.1_RFC1.2,0.05,0.975,0.409,0.981,0.695,0.993,0.254
DT5.2_RFC1.1_ET8,0.05,0.977,0.37,0.983,0.677,0.993,0.247
DT5.2_RFC1.2_ET8,0.05,0.964,0.393,0.97,0.681,0.993,0.177
RFC1.1_RFC1.2_ET8,0.05,0.963,0.407,0.969,0.688,0.993,0.182
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.963,0.444,0.969,0.706,0.994,0.195
DT5.1_DT5.2_RFC1.1,0.1,0.963,0.433,0.969,0.701,0.994,0.191
DT5.1_DT5.2_RFC1.2,0.1,0.955,0.44,0.961,0.701,0.994,0.161
DT5.1_DT5.2_ET8,0.1,0.961,0.411,0.967,0.689,0.993,0.169
DT5.1_RFC1.1_RFC1.2,0.1,0.957,0.479,0.962,0.721,0.994,0.183
DT5.1_RFC1.1_ET8,0.1,0.965,0.425,0.971,0.698,0.994,0.197
DT5.1_RFC1.2_ET8,0.1,0.951,0.43,0.957,0.693,0.994,0.147
DT5.2_RFC1.1_RFC1.2,0.1,0.955,0.479,0.96,0.72,0.994,0.175
DT5.2_RFC1.1_ET8,0.1,0.963,0.419,0.968,0.694,0.994,0.183
DT5.2_RFC1.2_ET8,0.1,0.948,0.435,0.954,0.695,0.994,0.141
RFC1.1_RFC1.2_ET8,0.1,0.948,0.456,0.953,0.705,0.994,0.147
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.944,0.425,0.949,0.687,0.993,0.125
DT5.1_DT5.2_RFC1.1,0.15,0.941,0.425,0.947,0.686,0.993,0.12
DT5.1_DT5.2_RFC1.2,0.15,0.931,0.447,0.936,0.692,0.994,0.106
DT5.1_DT5.2_ET8,0.15,0.94,0.404,0.946,0.675,0.993,0.111
DT5.1_RFC1.1_RFC1.2,0.15,0.933,0.46,0.939,0.699,0.994,0.114
DT5.1_RFC1.1_ET8,0.15,0.947,0.405,0.953,0.679,0.993,0.128
DT5.1_RFC1.2_ET8,0.15,0.93,0.435,0.935,0.685,0.993,0.103
DT5.2_RFC1.1_RFC1.2,0.15,0.933,0.458,0.939,0.698,0.994,0.113
DT5.2_RFC1.1_ET8,0.15,0.946,0.405,0.951,0.678,0.993,0.124
DT5.2_RFC1.2_ET8,0.15,0.928,0.433,0.934,0.683,0.993,0.1
RFC1.1_RFC1.2_ET8,0.15,0.928,0.447,0.933,0.69,0.994,0.103
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.906,0.444,0.911,0.678,0.993,0.075
DT5.1_DT5.2_RFC1.1,0.25,0.896,0.468,0.901,0.685,0.994,0.072
DT5.1_DT5.2_RFC1.2,0.25,0.885,0.488,0.89,0.689,0.994,0.067
DT5.1_DT5.2_ET8,0.25,0.898,0.439,0.903,0.671,0.993,0.069
DT5.1_RFC1.1_RFC1.2,0.25,0.892,0.475,0.897,0.686,0.994,0.069
DT5.1_RFC1.1_ET8,0.25,0.913,0.428,0.918,0.673,0.993,0.08
DT5.1_RFC1.2_ET8,0.25,0.897,0.449,0.902,0.676,0.993,0.068
DT5.2_RFC1.1_RFC1.2,0.25,0.89,0.47,0.894,0.682,0.994,0.066
DT5.2_RFC1.1_ET8,0.25,0.911,0.426,0.916,0.671,0.993,0.077
DT5.2_RFC1.2_ET8,0.25,0.894,0.446,0.899,0.672,0.993,0.065
RFC1.1_RFC1.2_ET8,0.25,0.893,0.465,0.897,0.681,0.994,0.067
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.88,0.505,0.884,0.695,0.994,0.066
DT5.1_DT5.2_RFC1.1,0.3,0.862,0.507,0.866,0.687,0.994,0.055
DT5.1_DT5.2_RFC1.2,0.3,0.851,0.516,0.854,0.685,0.994,0.05
DT5.1_DT5.2_ET8,0.3,0.868,0.475,0.872,0.674,0.994,0.053
DT5.1_RFC1.1_RFC1.2,0.3,0.865,0.533,0.869,0.701,0.994,0.061
DT5.1_RFC1.1_ET8,0.3,0.892,0.481,0.897,0.689,0.994,0.071
DT5.1_RFC1.2_ET8,0.3,0.874,0.495,0.878,0.686,0.994,0.061
DT5.2_RFC1.1_RFC1.2,0.3,0.861,0.525,0.865,0.695,0.994,0.057
DT5.2_RFC1.1_ET8,0.3,0.887,0.481,0.891,0.686,0.994,0.067
DT5.2_RFC1.2_ET8,0.3,0.869,0.486,0.873,0.679,0.994,0.056
RFC1.1_RFC1.2_ET8,0.3,0.868,0.512,0.872,0.692,0.994,0.06
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.84,0.549,0.843,0.696,0.994,0.05
DT5.1_DT5.2_RFC1.1,0.4,0.823,0.558,0.826,0.692,0.994,0.045
DT5.1_DT5.2_RFC1.2,0.4,0.811,0.561,0.814,0.688,0.994,0.041
DT5.1_DT5.2_ET8,0.4,0.827,0.53,0.831,0.68,0.994,0.043
DT5.1_RFC1.1_RFC1.2,0.4,0.825,0.554,0.828,0.691,0.994,0.045
DT5.1_RFC1.1_ET8,0.4,0.849,0.514,0.852,0.683,0.994,0.049
DT5.1_RFC1.2_ET8,0.4,0.831,0.535,0.834,0.685,0.994,0.045
DT5.2_RFC1.1_RFC1.2,0.4,0.822,0.575,0.824,0.7,0.994,0.046
DT5.2_RFC1.1_ET8,0.4,0.846,0.528,0.849,0.689,0.994,0.05
DT5.2_RFC1.2_ET8,0.4,0.827,0.546,0.83,0.688,0.994,0.045
RFC1.1_RFC1.2_ET8,0.4,0.827,0.537,0.83,0.683,0.994,0.044
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.813,0.535,0.816,0.676,0.994,0.039
DT5.1_DT5.2_RFC1.1,0.5,0.796,0.539,0.798,0.668,0.994,0.034
DT5.1_DT5.2_RFC1.2,0.5,0.785,0.546,0.788,0.667,0.994,0.032
DT5.1_DT5.2_ET8,0.5,0.807,0.505,0.81,0.658,0.993,0.034
DT5.1_RFC1.1_RFC1.2,0.5,0.796,0.551,0.798,0.675,0.994,0.036
DT5.1_RFC1.1_ET8,0.5,0.825,0.502,0.828,0.665,0.994,0.039
DT5.1_RFC1.2_ET8,0.5,0.81,0.514,0.814,0.664,0.994,0.036
DT5.2_RFC1.1_RFC1.2,0.5,0.791,0.554,0.793,0.674,0.994,0.035
DT5.2_RFC1.1_ET8,0.5,0.819,0.525,0.822,0.673,0.994,0.039
DT5.2_RFC1.2_ET8,0.5,0.803,0.537,0.806,0.671,0.994,0.036
RFC1.1_RFC1.2_ET8,0.5,0.8,0.532,0.803,0.667,0.994,0.035
