Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.4,0.84,0.574,0.843,0.708,0.995,0.053
BaggingClassifierDT,0.3,0.89,0.502,0.894,0.698,0.994,0.072
BaggingClassifierDT,0.1,0.97,0.405,0.976,0.69,0.993,0.21
BaggingClassifierDT,0.25,0.909,0.446,0.914,0.68,0.993,0.078
BaggingClassifierDT,0.5,0.791,0.567,0.793,0.68,0.994,0.035
BaggingClassifierDT,0.15,0.954,0.391,0.96,0.675,0.993,0.14
BaggingClassifierDT,0.05,0.984,0.326,0.991,0.659,0.993,0.291
BaggingClassifierLSVC,0.5,0.949,0.102,0.958,0.53,0.99,0.029
BaggingClassifierLSVC,0.3,0.982,0.046,0.993,0.519,0.99,0.044
BaggingClassifierLSVC,0.4,0.966,0.058,0.976,0.517,0.99,0.022
BaggingClassifierLSVC,0.25,0.983,0.035,0.994,0.514,0.99,0.037
BaggingClassifierLSVC,0.15,0.986,0.03,0.996,0.513,0.99,0.038
BaggingClassifierLSVC,0.1,0.988,0.021,0.999,0.51,0.989,0.034
BaggingClassifierLSVC,0.05,0.989,0.011,0.999,0.505,0.989,0.018
