Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.3,0.894,0.535,0.898,0.716,0.994,0.081
BaggingClassifierDT,0.5,0.804,0.619,0.806,0.713,0.995,0.045
BaggingClassifierDT,0.4,0.845,0.563,0.848,0.705,0.994,0.054
BaggingClassifierDT,0.15,0.96,0.437,0.965,0.701,0.994,0.178
BaggingClassifierDT,0.25,0.913,0.484,0.917,0.701,0.994,0.09
BaggingClassifierDT,0.1,0.975,0.388,0.981,0.685,0.993,0.242
BaggingClassifierDT,0.05,0.987,0.347,0.994,0.671,0.993,0.355
BaggingClassifierLSVC,0.25,0.615,0.605,0.615,0.61,0.993,0.012
BaggingClassifierLSVC,0.15,0.617,0.596,0.617,0.607,0.993,0.012
BaggingClassifierLSVC,0.3,0.653,0.535,0.654,0.595,0.992,0.011
BaggingClassifierLSVC,0.05,0.621,0.563,0.622,0.592,0.992,0.01
BaggingClassifierLSVC,0.1,0.607,0.567,0.608,0.587,0.992,0.009
BaggingClassifierLSVC,0.4,0.631,0.537,0.632,0.584,0.992,0.01
BaggingClassifierLSVC,0.5,0.641,0.488,0.642,0.565,0.991,0.008
