Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.25,0.828,0.488,0.831,0.66,0.993,0.048
BaggingClassifierDT,0.4,0.784,0.507,0.787,0.647,0.993,0.03
BaggingClassifierDT,0.1,0.907,0.368,0.913,0.641,0.992,0.102
BaggingClassifierDT,0.3,0.828,0.447,0.832,0.64,0.993,0.036
BaggingClassifierDT,0.15,0.858,0.379,0.863,0.621,0.992,0.055
BaggingClassifierDT,0.5,0.752,0.477,0.755,0.616,0.993,0.02
BaggingClassifierDT,0.05,0.908,0.296,0.915,0.606,0.992,0.106
BaggingClassifierLSVC,0.25,0.602,0.611,0.602,0.606,0.993,0.011
BaggingClassifierLSVC,0.05,0.6,0.589,0.6,0.595,0.993,0.01
BaggingClassifierLSVC,0.3,0.605,0.582,0.605,0.594,0.993,0.01
BaggingClassifierLSVC,0.15,0.621,0.549,0.621,0.585,0.992,0.01
BaggingClassifierLSVC,0.1,0.623,0.542,0.624,0.583,0.992,0.009
BaggingClassifierLSVC,0.5,0.606,0.537,0.607,0.572,0.992,0.008
BaggingClassifierLSVC,0.4,0.623,0.507,0.625,0.566,0.991,0.007
