Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.4,0.801,0.482,0.805,0.643,0.993,0.03
BaggingClassifierDT,0.3,0.866,0.412,0.871,0.642,0.993,0.043
BaggingClassifierDT,0.5,0.763,0.505,0.765,0.635,0.993,0.024
BaggingClassifierDT,0.05,0.977,0.281,0.985,0.633,0.992,0.207
BaggingClassifierDT,0.15,0.93,0.319,0.936,0.628,0.992,0.072
BaggingClassifierDT,0.25,0.887,0.342,0.893,0.617,0.992,0.041
BaggingClassifierDT,0.1,0.959,0.261,0.966,0.614,0.992,0.103
BaggingClassifierLSVC,0.5,0.95,0.088,0.96,0.524,0.99,0.021
BaggingClassifierLSVC,0.25,0.983,0.047,0.994,0.521,0.99,0.049
BaggingClassifierLSVC,0.4,0.975,0.056,0.985,0.521,0.99,0.037
BaggingClassifierLSVC,0.3,0.981,0.042,0.991,0.516,0.99,0.034
BaggingClassifierLSVC,0.15,0.987,0.028,0.997,0.513,0.99,0.037
BaggingClassifierLSVC,0.1,0.988,0.018,0.999,0.508,0.989,0.028
BaggingClassifierLSVC,0.05,0.989,0.011,0.999,0.505,0.989,0.018
