Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.887,0.472,0.891,0.681,0.993,0.132
DT5.1_DT5.2_RFC1.1,0.05,0.973,0.296,0.98,0.638,0.992,0.158
DT5.1_DT5.2_RFC1.2,0.05,0.973,0.293,0.98,0.637,0.992,0.154
DT5.1_DT5.2_ET8,0.05,0.974,0.293,0.982,0.637,0.992,0.164
DT5.1_RFC1.1_RFC1.2,0.05,0.874,0.488,0.878,0.683,0.994,0.109
DT5.1_RFC1.1_ET8,0.05,0.886,0.468,0.89,0.679,0.993,0.136
DT5.1_RFC1.2_ET8,0.05,0.882,0.47,0.886,0.678,0.993,0.116
DT5.2_RFC1.1_RFC1.2,0.05,0.873,0.491,0.877,0.684,0.994,0.108
DT5.2_RFC1.1_ET8,0.05,0.885,0.472,0.889,0.681,0.993,0.134
DT5.2_RFC1.2_ET8,0.05,0.881,0.477,0.885,0.681,0.993,0.116
RFC1.1_RFC1.2_ET8,0.05,0.867,0.496,0.871,0.684,0.994,0.101
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.822,0.439,0.826,0.632,0.993,0.049
DT5.1_DT5.2_RFC1.1,0.1,0.96,0.212,0.968,0.59,0.991,0.071
DT5.1_DT5.2_RFC1.2,0.1,0.958,0.212,0.966,0.589,0.991,0.068
DT5.1_DT5.2_ET8,0.1,0.962,0.209,0.97,0.59,0.991,0.074
DT5.1_RFC1.1_RFC1.2,0.1,0.799,0.447,0.803,0.625,0.992,0.038
DT5.1_RFC1.1_ET8,0.1,0.823,0.43,0.827,0.629,0.992,0.05
DT5.1_RFC1.2_ET8,0.1,0.82,0.437,0.824,0.63,0.992,0.047
DT5.2_RFC1.1_RFC1.2,0.1,0.798,0.451,0.802,0.626,0.992,0.038
DT5.2_RFC1.1_ET8,0.1,0.822,0.43,0.827,0.628,0.992,0.049
DT5.2_RFC1.2_ET8,0.1,0.818,0.44,0.823,0.631,0.992,0.046
RFC1.1_RFC1.2_ET8,0.1,0.795,0.444,0.799,0.622,0.992,0.036
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.839,0.496,0.843,0.67,0.993,0.058
DT5.1_DT5.2_RFC1.1,0.15,0.932,0.311,0.939,0.625,0.992,0.07
DT5.1_DT5.2_RFC1.2,0.15,0.93,0.305,0.937,0.621,0.992,0.065
DT5.1_DT5.2_ET8,0.15,0.939,0.305,0.946,0.625,0.992,0.076
DT5.1_RFC1.1_RFC1.2,0.15,0.8,0.53,0.803,0.667,0.994,0.045
DT5.1_RFC1.1_ET8,0.15,0.845,0.498,0.849,0.673,0.994,0.066
DT5.1_RFC1.2_ET8,0.15,0.839,0.491,0.843,0.667,0.993,0.059
DT5.2_RFC1.1_RFC1.2,0.15,0.798,0.535,0.801,0.668,0.994,0.044
DT5.2_RFC1.1_ET8,0.15,0.842,0.493,0.846,0.669,0.993,0.061
DT5.2_RFC1.2_ET8,0.15,0.834,0.491,0.838,0.665,0.993,0.055
RFC1.1_RFC1.2_ET8,0.15,0.799,0.537,0.801,0.669,0.994,0.047
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.794,0.547,0.796,0.672,0.994,0.041
DT5.1_DT5.2_RFC1.1,0.25,0.902,0.342,0.908,0.625,0.992,0.051
DT5.1_DT5.2_RFC1.2,0.25,0.898,0.342,0.904,0.623,0.992,0.048
DT5.1_DT5.2_ET8,0.25,0.909,0.332,0.916,0.624,0.992,0.054
DT5.1_RFC1.1_RFC1.2,0.25,0.762,0.568,0.764,0.666,0.994,0.033
DT5.1_RFC1.1_ET8,0.25,0.794,0.56,0.796,0.678,0.994,0.044
DT5.1_RFC1.2_ET8,0.25,0.791,0.551,0.794,0.672,0.994,0.042
DT5.2_RFC1.1_RFC1.2,0.25,0.76,0.568,0.762,0.665,0.994,0.032
DT5.2_RFC1.1_ET8,0.25,0.794,0.556,0.796,0.676,0.994,0.043
DT5.2_RFC1.2_ET8,0.25,0.789,0.551,0.792,0.671,0.994,0.041
RFC1.1_RFC1.2_ET8,0.25,0.756,0.588,0.757,0.673,0.994,0.034
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.765,0.525,0.768,0.646,0.993,0.033
DT5.1_DT5.2_RFC1.1,0.3,0.861,0.377,0.866,0.622,0.992,0.036
DT5.1_DT5.2_RFC1.2,0.3,0.859,0.375,0.864,0.62,0.992,0.035
DT5.1_DT5.2_ET8,0.3,0.868,0.377,0.874,0.625,0.992,0.038
DT5.1_RFC1.1_RFC1.2,0.3,0.738,0.539,0.74,0.639,0.993,0.027
DT5.1_RFC1.1_ET8,0.3,0.77,0.53,0.773,0.651,0.993,0.036
DT5.1_RFC1.2_ET8,0.3,0.766,0.525,0.769,0.647,0.993,0.033
DT5.2_RFC1.1_RFC1.2,0.3,0.736,0.544,0.738,0.641,0.993,0.027
DT5.2_RFC1.1_ET8,0.3,0.765,0.526,0.768,0.647,0.993,0.034
DT5.2_RFC1.2_ET8,0.3,0.763,0.523,0.766,0.644,0.993,0.032
RFC1.1_RFC1.2_ET8,0.3,0.737,0.551,0.739,0.645,0.993,0.029
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.743,0.563,0.745,0.654,0.994,0.026
DT5.1_DT5.2_RFC1.1,0.4,0.82,0.423,0.825,0.624,0.993,0.028
DT5.1_DT5.2_RFC1.2,0.4,0.82,0.423,0.824,0.623,0.993,0.028
DT5.1_DT5.2_ET8,0.4,0.835,0.418,0.839,0.629,0.993,0.031
DT5.1_RFC1.1_RFC1.2,0.4,0.705,0.591,0.707,0.649,0.994,0.022
DT5.1_RFC1.1_ET8,0.4,0.743,0.582,0.745,0.664,0.994,0.028
DT5.1_RFC1.2_ET8,0.4,0.751,0.563,0.753,0.658,0.994,0.028
DT5.2_RFC1.1_RFC1.2,0.4,0.702,0.588,0.703,0.645,0.994,0.021
DT5.2_RFC1.1_ET8,0.4,0.738,0.581,0.74,0.66,0.994,0.027
DT5.2_RFC1.2_ET8,0.4,0.743,0.558,0.745,0.652,0.994,0.026
RFC1.1_RFC1.2_ET8,0.4,0.698,0.611,0.699,0.655,0.994,0.023
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.777,0.635,0.779,0.707,0.995,0.039
DT5.1_DT5.2_RFC1.1,0.5,0.769,0.607,0.771,0.689,0.994,0.034
DT5.1_DT5.2_RFC1.2,0.5,0.767,0.584,0.769,0.677,0.994,0.032
DT5.1_DT5.2_ET8,0.5,0.785,0.595,0.787,0.691,0.994,0.037
DT5.1_RFC1.1_RFC1.2,0.5,0.755,0.635,0.756,0.695,0.995,0.034
