Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.1,0.956,0.332,0.963,0.647,0.993,0.115
BaggingClassifierDT,0.5,0.803,0.433,0.807,0.62,0.993,0.025
BaggingClassifierDT,0.05,0.975,0.235,0.983,0.609,0.992,0.125
BaggingClassifierDT,0.4,0.867,0.344,0.873,0.608,0.992,0.032
BaggingClassifierDT,0.15,0.957,0.219,0.965,0.592,0.991,0.077
BaggingClassifierDT,0.25,0.92,0.256,0.927,0.592,0.991,0.046
BaggingClassifierDT,0.3,0.924,0.189,0.932,0.561,0.991,0.033
BaggingClassifierLSVC,0.5,0.974,0.035,0.984,0.51,0.989,0.018
BaggingClassifierLSVC,0.4,0.983,0.018,0.994,0.506,0.989,0.015
BaggingClassifierLSVC,0.15,0.988,0.011,0.999,0.505,0.989,0.016
BaggingClassifierLSVC,0.3,0.986,0.012,0.996,0.504,0.989,0.012
BaggingClassifierLSVC,0.1,0.989,0.004,1,0.502,0.989,0.006
BaggingClassifierLSVC,0.25,0.986,0.005,0.997,0.501,0.989,0.002
BaggingClassifierLSVC,0.05,0.989,0,1,0.5,0.989,0
