Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.1,0.835,0.437,0.839,0.638,0.993,0.069
BaggingClassifierDT,0.05,0.795,0.461,0.799,0.63,0.993,0.067
BaggingClassifierDT,0.15,0.807,0.446,0.811,0.628,0.993,0.043
BaggingClassifierDT,0.25,0.764,0.488,0.767,0.627,0.993,0.03
BaggingClassifierDT,0.5,0.729,0.488,0.732,0.61,0.992,0.017
BaggingClassifierDT,0.4,0.744,0.468,0.747,0.608,0.992,0.02
BaggingClassifierDT,0.3,0.761,0.428,0.765,0.597,0.992,0.019
BaggingClassifierLSVC,0.15,0.566,0.619,0.565,0.592,0.993,0.009
BaggingClassifierLSVC,0.25,0.581,0.6,0.58,0.59,0.993,0.009
BaggingClassifierLSVC,0.1,0.575,0.584,0.575,0.579,0.992,0.008
BaggingClassifierLSVC,0.4,0.608,0.549,0.608,0.579,0.992,0.008
BaggingClassifierLSVC,0.05,0.574,0.581,0.574,0.577,0.992,0.008
BaggingClassifierLSVC,0.5,0.605,0.544,0.605,0.575,0.992,0.008
BaggingClassifierLSVC,0.3,0.611,0.519,0.612,0.566,0.992,0.007
