Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.05,0.955,0.365,0.962,0.663,0.993,0.134
ExtraTrees,0.05,0.982,0.209,0.99,0.599,0.991,0.187
DecisionTree,0.1,0.921,0.402,0.927,0.664,0.993,0.082
ExtraTrees,0.1,0.967,0.261,0.975,0.618,0.992,0.134
DecisionTree,0.15,0.893,0.46,0.898,0.679,0.994,0.067
ExtraTrees,0.15,0.953,0.344,0.959,0.652,0.993,0.126
DecisionTree,0.25,0.839,0.539,0.843,0.691,0.994,0.048
ExtraTrees,0.25,0.919,0.389,0.925,0.657,0.993,0.079
DecisionTree,0.3,0.819,0.546,0.822,0.684,0.994,0.041
ExtraTrees,0.3,0.9,0.411,0.905,0.658,0.993,0.063
DecisionTree,0.4,0.774,0.561,0.776,0.669,0.994,0.031
ExtraTrees,0.4,0.851,0.418,0.855,0.636,0.993,0.038
DecisionTree,0.5,0.733,0.549,0.735,0.642,0.993,0.022
ExtraTrees,0.5,0.81,0.472,0.814,0.643,0.993,0.031
