Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.15,0.899,0.496,0.904,0.7,0.994,0.078
DecisionTree,0.4,0.771,0.621,0.773,0.697,0.995,0.035
DecisionTree,0.05,0.957,0.419,0.962,0.691,0.993,0.158
DecisionTree,0.25,0.84,0.533,0.843,0.688,0.994,0.048
RandomForest,0.3,0.948,0.421,0.954,0.687,0.993,0.135
ExtraTrees,0.4,0.862,0.5,0.866,0.683,0.994,0.054
DecisionTree,0.1,0.924,0.423,0.929,0.676,0.993,0.09
RandomForest,0.5,0.865,0.479,0.869,0.674,0.994,0.053
ExtraTrees,0.5,0.826,0.511,0.83,0.67,0.994,0.04
ExtraTrees,0.15,0.963,0.363,0.97,0.666,0.993,0.163
DecisionTree,0.3,0.823,0.505,0.826,0.666,0.994,0.039
RandomForest,0.4,0.907,0.418,0.913,0.665,0.993,0.071
DecisionTree,0.5,0.74,0.586,0.741,0.664,0.994,0.026
ExtraTrees,0.25,0.924,0.372,0.93,0.651,0.993,0.078
ExtraTrees,0.3,0.914,0.381,0.919,0.65,0.993,0.072
RandomForest,0.25,0.954,0.326,0.961,0.644,0.992,0.118
GradientBoosting,0.5,0.902,0.361,0.908,0.635,0.992,0.057
ExtraTrees,0.05,0.985,0.268,0.992,0.63,0.992,0.267
ExtraTrees,0.1,0.972,0.275,0.98,0.628,0.992,0.165
RandomForest,0.15,0.978,0.261,0.986,0.624,0.992,0.196
RandomForest,0.1,0.986,0.249,0.994,0.622,0.992,0.269
GradientBoosting,0.4,0.933,0.282,0.94,0.611,0.992,0.067
RandomForest,0.05,0.989,0.216,0.997,0.607,0.992,0.287
GradientBoosting,0.3,0.965,0.216,0.973,0.595,0.991,0.104
AdaBoost,0.5,0.881,0.275,0.887,0.581,0.991,0.029
GradientBoosting,0.25,0.97,0.163,0.979,0.571,0.991,0.096
KNeighbors,0.5,0.814,0.309,0.819,0.564,0.991,0.015
KNeighbors,0.4,0.858,0.258,0.864,0.561,0.991,0.018
KNeighbors,0.3,0.906,0.205,0.913,0.559,0.991,0.027
AdaBoost,0.4,0.914,0.179,0.922,0.551,0.99,0.025
AdaBoost,0.3,0.952,0.137,0.961,0.549,0.99,0.041
KNeighbors,0.25,0.923,0.161,0.932,0.547,0.99,0.024
KNeighbors,0.15,0.957,0.125,0.966,0.545,0.99,0.042
AdaBoost,0.25,0.966,0.111,0.975,0.543,0.99,0.053
SGD,0.5,0.837,0.24,0.844,0.542,0.99,0.019
GradientBoosting,0.15,0.982,0.089,0.992,0.541,0.99,0.087
GradientBoosting,0.1,0.985,0.079,0.995,0.537,0.99,0.096
LinearSVC,0.5,0.958,0.1,0.967,0.534,0.99,0.038
GradientBoosting,0.05,0.988,0.061,0.998,0.53,0.99,0.093
GaussianNB,0.25,0.641,0.414,0.644,0.529,0.993,0.014
SGD,0.4,0.899,0.149,0.907,0.528,0.99,0.03
GaussianNB,0.3,0.806,0.24,0.812,0.526,0.989,0.033
KNeighbors,0.1,0.972,0.068,0.982,0.525,0.99,0.037
KNeighbors,0.05,0.983,0.051,0.993,0.522,0.99,0.05
LinearSVC,0.4,0.97,0.06,0.98,0.52,0.99,0.027
GaussianNB,0.4,0.903,0.128,0.912,0.52,0.99,0.032
SGD,0.3,0.981,0.047,0.991,0.519,0.99,0.039
GaussianNB,0.5,0.98,0.047,0.99,0.519,0.99,0.043
LinearSVC,0.3,0.982,0.044,0.992,0.518,0.99,0.04
SVC_Linear,0.4,0.986,0.037,0.997,0.517,0.99,0.05
SGD,0.25,0.986,0.035,0.996,0.516,0.99,0.044
SVC_Linear,0.3,0.985,0.037,0.996,0.516,0.99,0.044
AdaBoost,0.15,0.979,0.04,0.99,0.515,0.99,0.03
LinearSVC,0.25,0.985,0.035,0.995,0.515,0.99,0.04
SVC_Linear,0.25,0.987,0.032,0.997,0.514,0.99,0.043
SVC_Linear,0.5,0.982,0.035,0.992,0.514,0.99,0.032
SVC,0.5,0.957,0.056,0.967,0.512,0.99,0.013
SVC,0.4,0.972,0.039,0.983,0.511,0.989,0.024
LinearSVC,0.1,0.988,0.021,0.999,0.51,0.989,0.034
LinearSVC,0.15,0.987,0.023,0.997,0.51,0.989,0.031
SVC_Linear,0.1,0.989,0.016,0.999,0.508,0.989,0.027
SGD,0.1,0.989,0.016,0.999,0.508,0.989,0.027
SVC_Linear,0.15,0.988,0.018,0.998,0.508,0.989,0.027
SGD,0.15,0.988,0.018,0.998,0.508,0.989,0.027
SVC_Linear,0.05,0.989,0.012,1,0.506,0.989,0.022
LinearSVC,0.05,0.989,0.012,1,0.506,0.989,0.022
SGD,0.05,0.989,0.012,1,0.506,0.989,0.022
AdaBoost,0.05,0.988,0.011,0.999,0.505,0.989,0.016
AdaBoost,0.1,0.986,0.014,0.996,0.505,0.989,0.016
SVC,0.3,0.982,0.014,0.993,0.503,0.989,0.012
GaussianNB,0.15,0.024,0.989,0.014,0.502,0.992,0
SVC,0.25,0.988,0.005,0.999,0.502,0.989,0.007
SVC,0.1,0.989,0.004,0.999,0.501,0.989,0.005
GaussianNB,0.1,0.016,0.996,0.005,0.501,0.996,0
SVC,0.15,0.989,0.004,0.999,0.501,0.989,0.005
SVC,0.05,0.989,0,1,0.5,0.989,0
GaussianNB,0.05,0.112,0.891,0.104,0.498,0.988,0
