Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RandomForest,0.05,0.67,0.579,0.671,0.625,0.993,0.016
RandomForest,0.1,0.489,0.702,0.486,0.594,0.993,0.008
RandomForest,0.15,0.433,0.742,0.43,0.586,0.993,0.006
GradientBoosting,0.15,0.522,0.651,0.52,0.586,0.993,0.008
GradientBoosting,0.1,0.55,0.614,0.549,0.582,0.992,0.008
RandomForest,0.25,0.336,0.832,0.331,0.581,0.995,0.005
GradientBoosting,0.25,0.437,0.726,0.434,0.58,0.993,0.006
GradientBoosting,0.05,0.671,0.481,0.673,0.577,0.992,0.01
SGD,0.25,0.462,0.689,0.459,0.574,0.993,0.006
LinearSVC,0.25,0.424,0.725,0.421,0.573,0.993,0.005
GradientBoosting,0.3,0.424,0.723,0.421,0.572,0.993,0.005
GradientBoosting,0.4,0.336,0.804,0.331,0.567,0.994,0.004
SVC_Linear,0.25,0.448,0.686,0.445,0.566,0.992,0.005
LinearSVC,0.4,0.424,0.711,0.421,0.566,0.993,0.005
AdaBoost,0.05,0.753,0.372,0.757,0.565,0.991,0.011
SVC_Linear,0.1,0.436,0.696,0.433,0.565,0.993,0.005
LinearSVC,0.1,0.399,0.733,0.396,0.565,0.993,0.004
SVC_Linear,0.4,0.448,0.684,0.445,0.565,0.992,0.005
SGD,0.1,0.373,0.76,0.368,0.564,0.994,0.005
AdaBoost,0.25,0.468,0.66,0.466,0.563,0.992,0.005
RandomForest,0.3,0.304,0.828,0.298,0.563,0.994,0.004
AdaBoost,0.1,0.594,0.53,0.595,0.562,0.991,0.007
RandomForest,0.4,0.248,0.879,0.241,0.56,0.995,0.003
AdaBoost,0.15,0.551,0.567,0.55,0.559,0.992,0.006
LinearSVC,0.3,0.44,0.681,0.437,0.559,0.992,0.005
AdaBoost,0.4,0.364,0.758,0.36,0.559,0.993,0.004
SVC,0.1,0.442,0.675,0.44,0.558,0.992,0.004
SGD,0.4,0.387,0.733,0.384,0.558,0.993,0.004
SVC_Linear,0.3,0.51,0.604,0.509,0.556,0.992,0.005
SGD,0.3,0.457,0.656,0.455,0.556,0.992,0.005
SGD,0.05,0.478,0.633,0.476,0.555,0.992,0.005
SVC,0.25,0.507,0.604,0.506,0.555,0.992,0.005
LinearSVC,0.15,0.413,0.698,0.41,0.554,0.992,0.004
SVC_Linear,0.05,0.462,0.64,0.46,0.55,0.992,0.004
SGD,0.15,0.45,0.653,0.448,0.55,0.992,0.004
AdaBoost,0.3,0.447,0.654,0.444,0.549,0.992,0.004
SVC,0.4,0.518,0.581,0.517,0.549,0.991,0.004
LinearSVC,0.5,0.452,0.647,0.45,0.549,0.992,0.004
GradientBoosting,0.5,0.288,0.816,0.282,0.549,0.993,0.003
GaussianNB,0.4,0.723,0.368,0.727,0.548,0.991,0.007
LinearSVC,0.05,0.423,0.674,0.42,0.547,0.992,0.003
RandomForest,0.5,0.197,0.905,0.189,0.547,0.995,0.002
SGD,0.5,0.419,0.677,0.416,0.547,0.992,0.004
SVC,0.3,0.507,0.586,0.506,0.546,0.991,0.004
SVC_Linear,0.5,0.495,0.598,0.494,0.546,0.991,0.004
GaussianNB,0.25,0.768,0.318,0.773,0.545,0.991,0.009
GaussianNB,0.1,0.777,0.307,0.782,0.544,0.99,0.009
KNeighbors,0.3,0.422,0.663,0.42,0.541,0.991,0.003
GaussianNB,0.3,0.75,0.326,0.754,0.54,0.99,0.007
SVC,0.05,0.502,0.574,0.502,0.538,0.991,0.003
SVC,0.5,0.486,0.591,0.485,0.538,0.991,0.003
AdaBoost,0.5,0.349,0.728,0.345,0.537,0.992,0.002
KNeighbors,0.05,0.714,0.354,0.718,0.536,0.99,0.006
SVC_Linear,0.15,0.444,0.628,0.442,0.535,0.991,0.003
GaussianNB,0.05,0.801,0.26,0.807,0.533,0.99,0.007
GaussianNB,0.15,0.822,0.235,0.828,0.532,0.99,0.007
GaussianNB,0.5,0.717,0.344,0.721,0.532,0.99,0.005
KNeighbors,0.25,0.448,0.612,0.447,0.529,0.991,0.002
KNeighbors,0.4,0.366,0.695,0.363,0.529,0.991,0.002
KNeighbors,0.15,0.535,0.521,0.535,0.528,0.99,0.003
SVC,0.15,0.497,0.556,0.496,0.526,0.99,0.002
KNeighbors,0.1,0.564,0.47,0.566,0.518,0.99,0.002
KNeighbors,0.5,0.332,0.709,0.328,0.518,0.99,0.001
