Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.25,0.856,0.554,0.859,0.707,0.994,0.058
DecisionTree,0.15,0.9,0.505,0.905,0.705,0.994,0.08
DecisionTree,0.1,0.93,0.472,0.935,0.704,0.994,0.111
DecisionTree,0.3,0.826,0.581,0.828,0.704,0.995,0.048
DecisionTree,0.5,0.742,0.653,0.743,0.698,0.995,0.032
DecisionTree,0.05,0.962,0.407,0.969,0.688,0.993,0.176
DecisionTree,0.4,0.781,0.586,0.783,0.685,0.994,0.035
RandomForest,0.4,0.908,0.449,0.913,0.681,0.993,0.078
RandomForest,0.5,0.857,0.482,0.861,0.672,0.994,0.049
ExtraTrees,0.5,0.816,0.514,0.819,0.667,0.994,0.037
ExtraTrees,0.25,0.923,0.391,0.929,0.66,0.993,0.083
ExtraTrees,0.4,0.858,0.449,0.863,0.656,0.993,0.045
RandomForest,0.3,0.938,0.363,0.945,0.654,0.993,0.097
ExtraTrees,0.3,0.903,0.398,0.909,0.654,0.993,0.064
GradientBoosting,0.5,0.906,0.386,0.911,0.649,0.993,0.063
ExtraTrees,0.15,0.959,0.316,0.966,0.641,0.992,0.129
RandomForest,0.15,0.976,0.295,0.984,0.639,0.992,0.2
RandomForest,0.25,0.952,0.307,0.959,0.633,0.992,0.104
ExtraTrees,0.1,0.974,0.282,0.981,0.632,0.992,0.178
RandomForest,0.1,0.985,0.244,0.993,0.618,0.992,0.245
GradientBoosting,0.4,0.941,0.288,0.948,0.618,0.992,0.08
ExtraTrees,0.05,0.983,0.233,0.991,0.612,0.992,0.217
LinearSVC,0.5,0.633,0.568,0.633,0.601,0.993,0.012
LinearSVC,0.05,0.642,0.554,0.643,0.599,0.993,0.012
LinearSVC,0.1,0.625,0.567,0.625,0.596,0.993,0.011
LinearSVC,0.25,0.629,0.561,0.63,0.596,0.993,0.011
RandomForest,0.05,0.989,0.191,0.998,0.594,0.991,0.267
SVC_Linear,0.25,0.61,0.577,0.611,0.594,0.993,0.01
LinearSVC,0.15,0.632,0.553,0.633,0.593,0.992,0.011
GradientBoosting,0.3,0.964,0.202,0.972,0.587,0.991,0.094
SVC_Linear,0.05,0.594,0.575,0.594,0.585,0.992,0.009
LinearSVC,0.4,0.626,0.533,0.627,0.58,0.992,0.009
AdaBoost,0.5,0.88,0.27,0.887,0.579,0.991,0.027
LinearSVC,0.3,0.628,0.525,0.629,0.577,0.992,0.009
SVC,0.5,0.582,0.572,0.583,0.577,0.992,0.008
SVC,0.15,0.612,0.535,0.613,0.574,0.992,0.008
GradientBoosting,0.25,0.97,0.17,0.979,0.574,0.991,0.096
SVC_Linear,0.15,0.587,0.56,0.587,0.573,0.992,0.008
GradientBoosting,0.15,0.982,0.154,0.991,0.573,0.991,0.15
SVC_Linear,0.1,0.593,0.547,0.594,0.571,0.992,0.007
SVC_Linear,0.5,0.597,0.544,0.598,0.571,0.992,0.007
KNeighbors,0.5,0.816,0.319,0.822,0.571,0.991,0.016
SVC,0.05,0.624,0.516,0.625,0.57,0.992,0.008
SVC_Linear,0.3,0.586,0.554,0.586,0.57,0.992,0.007
AdaBoost,0.4,0.923,0.209,0.93,0.57,0.991,0.037
SVC,0.1,0.577,0.554,0.577,0.566,0.992,0.007
KNeighbors,0.4,0.866,0.253,0.873,0.563,0.991,0.02
SVC,0.25,0.607,0.505,0.608,0.557,0.991,0.006
SGD,0.05,0.582,0.53,0.583,0.556,0.992,0.011
SVC_Linear,0.4,0.582,0.53,0.583,0.556,0.991,0.006
KNeighbors,0.3,0.898,0.204,0.905,0.554,0.991,0.023
SVC,0.4,0.605,0.502,0.606,0.554,0.991,0.006
KNeighbors,0.25,0.915,0.179,0.923,0.551,0.99,0.025
SGD,0.3,0.585,0.518,0.585,0.551,0.991,0.015
AdaBoost,0.3,0.952,0.137,0.961,0.549,0.99,0.041
SGD,0.4,0.429,0.672,0.427,0.549,0.993,0.004
SGD,0.15,0.527,0.57,0.526,0.548,0.991,0.005
KNeighbors,0.15,0.956,0.128,0.965,0.547,0.99,0.044
SVC,0.3,0.632,0.453,0.634,0.544,0.991,0.005
SGD,0.5,0.435,0.651,0.432,0.542,0.992,0.006
GradientBoosting,0.1,0.985,0.079,0.995,0.537,0.99,0.101
SGD,0.1,0.702,0.363,0.706,0.534,0.99,0.011
KNeighbors,0.1,0.971,0.081,0.981,0.531,0.99,0.043
AdaBoost,0.25,0.959,0.089,0.969,0.529,0.99,0.033
SGD,0.25,0.463,0.595,0.462,0.528,0.99,0.005
GaussianNB,0.3,0.688,0.365,0.691,0.528,0.99,0.03
KNeighbors,0.05,0.984,0.056,0.994,0.525,0.99,0.061
GaussianNB,0.5,0.983,0.056,0.993,0.525,0.99,0.059
GradientBoosting,0.05,0.988,0.046,0.998,0.522,0.99,0.069
GaussianNB,0.4,0.979,0.053,0.989,0.521,0.99,0.041
GaussianNB,0.25,0.883,0.147,0.891,0.519,0.991,0.041
AdaBoost,0.15,0.981,0.042,0.991,0.517,0.99,0.035
GaussianNB,0.15,0.445,0.588,0.444,0.516,0.991,0.016
AdaBoost,0.1,0.986,0.018,0.996,0.507,0.989,0.02
AdaBoost,0.05,0.988,0.009,0.999,0.504,0.989,0.013
GaussianNB,0.1,0.025,0.988,0.015,0.501,0.991,0
GaussianNB,0.05,0.017,0.993,0.006,0.5,0.991,0
