Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.05,0.959,0.284,0.967,0.625,0.992,0.116
ExtraTrees,0.05,0.965,0.193,0.974,0.583,0.991,0.098
DecisionTree,0.1,0.923,0.391,0.928,0.66,0.993,0.082
ExtraTrees,0.1,0.943,0.295,0.95,0.623,0.992,0.096
DecisionTree,0.15,0.924,0.268,0.931,0.6,0.992,0.05
ExtraTrees,0.15,0.942,0.218,0.95,0.584,0.991,0.063
DecisionTree,0.25,0.857,0.374,0.863,0.618,0.992,0.033
ExtraTrees,0.25,0.872,0.305,0.878,0.592,0.991,0.03
DecisionTree,0.3,0.818,0.477,0.822,0.649,0.993,0.033
ExtraTrees,0.3,0.856,0.393,0.861,0.627,0.992,0.038
DecisionTree,0.4,0.783,0.525,0.785,0.655,0.993,0.029
ExtraTrees,0.4,0.789,0.449,0.793,0.621,0.993,0.024
DecisionTree,0.5,0.763,0.47,0.766,0.618,0.993,0.021
ExtraTrees,0.5,0.771,0.435,0.775,0.605,0.992,0.019
