Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.25,0.859,0.46,0.864,0.662,0.993,0.045
RandomForest,0.5,0.798,0.504,0.801,0.652,0.993,0.032
DecisionTree,0.1,0.94,0.351,0.947,0.649,0.993,0.082
DecisionTree,0.15,0.907,0.386,0.912,0.649,0.993,0.061
ExtraTrees,0.25,0.878,0.389,0.884,0.637,0.993,0.049
DecisionTree,0.5,0.749,0.518,0.751,0.634,0.993,0.022
RandomForest,0.4,0.854,0.405,0.859,0.632,0.993,0.039
ExtraTrees,0.15,0.932,0.318,0.939,0.628,0.992,0.079
ExtraTrees,0.5,0.768,0.482,0.771,0.627,0.993,0.023
ExtraTrees,0.1,0.955,0.277,0.962,0.62,0.992,0.097
DecisionTree,0.3,0.858,0.365,0.864,0.614,0.992,0.033
RandomForest,0.1,0.962,0.253,0.969,0.611,0.992,0.117
RandomForest,0.15,0.953,0.261,0.96,0.611,0.992,0.093
ExtraTrees,0.3,0.873,0.332,0.878,0.605,0.992,0.033
DecisionTree,0.4,0.843,0.36,0.848,0.604,0.992,0.027
DecisionTree,0.05,0.966,0.23,0.974,0.602,0.992,0.102
RandomForest,0.3,0.883,0.311,0.889,0.6,0.992,0.033
ExtraTrees,0.4,0.856,0.323,0.861,0.592,0.992,0.026
RandomForest,0.25,0.902,0.261,0.909,0.585,0.991,0.036
ExtraTrees,0.05,0.968,0.181,0.977,0.579,0.991,0.086
SGD,0.5,0.919,0.149,0.928,0.538,0.99,0.027
RandomForest,0.05,0.981,0.081,0.991,0.536,0.99,0.066
SGD,0.4,0.915,0.125,0.924,0.524,0.99,0.022
LinearSVC,0.5,0.966,0.063,0.976,0.52,0.99,0.027
SGD,0.3,0.936,0.093,0.945,0.519,0.99,0.023
LinearSVC,0.4,0.979,0.049,0.989,0.519,0.99,0.036
SGD,0.25,0.984,0.039,0.994,0.517,0.99,0.038
SGD,0.15,0.988,0.026,0.998,0.512,0.99,0.038
SVC_Linear,0.25,0.986,0.028,0.997,0.512,0.99,0.036
SVC_Linear,0.15,0.988,0.025,0.998,0.511,0.989,0.035
LinearSVC,0.25,0.983,0.03,0.993,0.511,0.989,0.026
SVC_Linear,0.3,0.988,0.025,0.998,0.511,0.989,0.036
SVC_Linear,0.5,0.977,0.035,0.987,0.511,0.989,0.022
LinearSVC,0.15,0.987,0.023,0.997,0.51,0.989,0.029
SVC_Linear,0.4,0.984,0.026,0.995,0.51,0.989,0.026
LinearSVC,0.3,0.982,0.025,0.992,0.508,0.989,0.019
SVC,0.5,0.972,0.032,0.982,0.507,0.989,0.011
SVC_Linear,0.1,0.988,0.012,0.999,0.506,0.989,0.02
LinearSVC,0.1,0.988,0.012,0.999,0.506,0.989,0.019
SGD,0.1,0.988,0.012,0.999,0.506,0.989,0.02
SVC_Linear,0.05,0.989,0.011,1,0.505,0.989,0.019
SGD,0.05,0.989,0.011,1,0.505,0.989,0.019
LinearSVC,0.05,0.989,0.009,1,0.504,0.989,0.016
SVC,0.25,0.988,0.011,0.998,0.504,0.989,0.014
SVC,0.1,0.989,0.002,0.999,0.501,0.989,0.002
SVC,0.15,0.989,0.002,1,0.501,0.989,0.003
SVC,0.4,0.986,0.005,0.996,0.501,0.989,0.003
SVC,0.05,0.989,0,1,0.5,0.989,0
SVC,0.3,0.988,0.002,0.999,0.5,0.989,0.001
