Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RandomForest,0.5,0.792,0.484,0.795,0.64,0.993,0.028
RandomForest,0.4,0.822,0.447,0.826,0.637,0.993,0.034
RandomForest,0.15,0.939,0.282,0.946,0.614,0.992,0.083
RandomForest,0.25,0.908,0.314,0.915,0.614,0.992,0.061
LinearSVC,0.1,0.625,0.6,0.625,0.613,0.993,0.013
RandomForest,0.3,0.897,0.323,0.903,0.613,0.992,0.05
LinearSVC,0.4,0.62,0.605,0.62,0.613,0.993,0.013
GradientBoosting,0.4,0.939,0.272,0.946,0.609,0.992,0.069
GradientBoosting,0.5,0.907,0.296,0.914,0.605,0.992,0.047
RandomForest,0.1,0.956,0.242,0.964,0.603,0.992,0.119
LinearSVC,0.25,0.633,0.568,0.634,0.601,0.993,0.012
LinearSVC,0.15,0.64,0.558,0.641,0.6,0.993,0.012
LinearSVC,0.05,0.626,0.563,0.626,0.595,0.992,0.011
SVC_Linear,0.15,0.583,0.593,0.583,0.588,0.992,0.009
LinearSVC,0.5,0.619,0.554,0.62,0.587,0.992,0.01
GradientBoosting,0.3,0.959,0.2,0.967,0.584,0.991,0.083
SVC_Linear,0.25,0.589,0.572,0.59,0.581,0.992,0.008
SVC,0.4,0.605,0.551,0.605,0.578,0.992,0.009
RandomForest,0.05,0.968,0.177,0.976,0.577,0.991,0.106
SVC_Linear,0.1,0.592,0.561,0.592,0.577,0.992,0.008
SVC,0.15,0.592,0.56,0.593,0.576,0.992,0.008
LinearSVC,0.3,0.622,0.528,0.623,0.576,0.992,0.008
SVC_Linear,0.4,0.612,0.539,0.613,0.576,0.992,0.008
KNeighbors,0.4,0.859,0.284,0.865,0.575,0.991,0.022
SVC,0.1,0.655,0.484,0.657,0.571,0.992,0.009
KNeighbors,0.5,0.802,0.335,0.807,0.571,0.991,0.015
SVC,0.25,0.6,0.537,0.601,0.569,0.992,0.007
SVC,0.05,0.635,0.496,0.636,0.566,0.991,0.008
SVC_Linear,0.05,0.592,0.537,0.593,0.565,0.992,0.007
SGD,0.15,0.583,0.546,0.583,0.564,0.992,0.009
AdaBoost,0.4,0.936,0.184,0.944,0.564,0.991,0.04
SVC,0.5,0.562,0.563,0.562,0.563,0.992,0.006
SVC_Linear,0.3,0.597,0.526,0.598,0.562,0.991,0.007
GradientBoosting,0.25,0.968,0.146,0.977,0.561,0.991,0.075
AdaBoost,0.5,0.893,0.223,0.9,0.561,0.991,0.024
SVC_Linear,0.5,0.581,0.537,0.582,0.559,0.991,0.006
KNeighbors,0.25,0.926,0.182,0.934,0.558,0.991,0.032
SGD,0.4,0.597,0.514,0.598,0.556,0.991,0.007
SGD,0.5,0.733,0.372,0.737,0.555,0.991,0.016
KNeighbors,0.3,0.9,0.195,0.907,0.551,0.99,0.021
SGD,0.1,0.504,0.593,0.503,0.548,0.993,0.01
KNeighbors,0.15,0.961,0.126,0.97,0.548,0.99,0.051
GradientBoosting,0.15,0.982,0.104,0.992,0.548,0.99,0.102
SVC,0.3,0.587,0.502,0.588,0.545,0.991,0.005
AdaBoost,0.3,0.952,0.13,0.961,0.545,0.99,0.045
KNeighbors,0.1,0.974,0.1,0.983,0.542,0.99,0.063
SGD,0.05,0.56,0.516,0.561,0.538,0.991,0.006
AdaBoost,0.25,0.966,0.1,0.975,0.538,0.99,0.045
SGD,0.3,0.478,0.591,0.477,0.534,0.992,0.004
GradientBoosting,0.1,0.986,0.07,0.996,0.533,0.99,0.095
SGD,0.25,0.709,0.349,0.713,0.531,0.991,0.01
KNeighbors,0.05,0.985,0.054,0.995,0.525,0.99,0.064
GradientBoosting,0.05,0.988,0.049,0.998,0.524,0.99,0.076
GaussianNB,0.4,0.982,0.051,0.992,0.521,0.99,0.047
GaussianNB,0.15,0.594,0.442,0.595,0.519,0.994,0.021
AdaBoost,0.15,0.982,0.04,0.992,0.516,0.99,0.037
GaussianNB,0.5,0.982,0.039,0.992,0.516,0.99,0.036
GaussianNB,0.25,0.591,0.435,0.593,0.514,0.991,0.022
GaussianNB,0.3,0.884,0.135,0.892,0.514,0.991,0.027
AdaBoost,0.1,0.986,0.023,0.996,0.509,0.989,0.028
AdaBoost,0.05,0.988,0.016,0.999,0.507,0.989,0.026
GaussianNB,0.1,0.016,0.995,0.005,0.5,0.993,0
GaussianNB,0.05,0.017,0.984,0.006,0.495,0.98,0
