Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,3,0.5,0.571,0.518,0.572,0.545,0.986,0.007
Birch,4,0.05,0.521,0.564,0.52,0.542,0.987,0.006
Birch,5,0.1,0.419,0.669,0.415,0.542,0.987,0.005
Birch,2,0.1,0.557,0.51,0.558,0.534,0.986,0.006
Birch,5,0.05,0.448,0.62,0.445,0.533,0.986,0.004
Birch,5,0.4,0.52,0.546,0.52,0.533,0.986,0.005
KMeans,6,0.05,0.538,0.525,0.538,0.532,0.985,0.006
MiniBatchKMeans,3,0.4,0.534,0.523,0.534,0.529,0.985,0.005
MiniBatchKMeans,4,0.25,0.537,0.52,0.537,0.529,0.985,0.005
Birch,5,0.25,0.461,0.6,0.459,0.529,0.986,0.004
Birch,6,0.4,0.368,0.692,0.363,0.527,0.986,0.003
Birch,2,0.25,0.557,0.494,0.558,0.526,0.985,0.005
Birch,2,0.5,0.516,0.535,0.516,0.525,0.985,0.005
Birch,5,0.5,0.433,0.615,0.43,0.523,0.986,0.003
Birch,6,0.1,0.366,0.686,0.361,0.523,0.985,0.003
Birch,4,0.15,0.534,0.508,0.535,0.521,0.985,0.004
Birch,5,0.3,0.495,0.548,0.494,0.521,0.985,0.004
Birch,3,0.1,0.535,0.505,0.536,0.52,0.985,0.004
MiniBatchKMeans,6,0.15,0.519,0.519,0.519,0.519,0.985,0.004
Birch,6,0.05,0.265,0.78,0.256,0.518,0.986,0.002
Birch,4,0.25,0.502,0.533,0.502,0.517,0.985,0.003
KMeans,6,0.25,0.501,0.533,0.5,0.517,0.985,0.003
Birch,6,0.3,0.356,0.683,0.35,0.517,0.985,0.002
MiniBatchKMeans,6,0.4,0.527,0.507,0.528,0.517,0.985,0.003
KMeans,2,0.15,0.538,0.494,0.539,0.516,0.984,0.003
MiniBatchKMeans,3,0.15,0.517,0.515,0.517,0.516,0.985,0.003
Birch,3,0.4,0.521,0.511,0.521,0.516,0.984,0.003
Birch,3,0.05,0.516,0.514,0.516,0.515,0.984,0.003
MiniBatchKMeans,5,0.4,0.502,0.529,0.501,0.515,0.984,0.003
KMeans,2,0.1,0.514,0.514,0.514,0.514,0.984,0.003
MiniBatchKMeans,2,0.15,0.501,0.527,0.501,0.514,0.984,0.003
MiniBatchKMeans,2,0.25,0.521,0.506,0.521,0.514,0.984,0.003
Birch,3,0.25,0.516,0.507,0.516,0.512,0.984,0.003
KMeans,2,0.25,0.501,0.523,0.5,0.511,0.984,0.003
MiniBatchKMeans,4,0.05,0.52,0.502,0.52,0.511,0.984,0.003
Birch,4,0.5,0.497,0.523,0.497,0.51,0.984,0.002
MiniBatchKMeans,5,0.15,0.502,0.513,0.502,0.508,0.984,0.002
Birch,6,0.15,0.357,0.663,0.352,0.508,0.984,0.001
KMeans,5,0.05,0.501,0.512,0.501,0.507,0.984,0.002
Birch,5,0.15,0.385,0.632,0.381,0.507,0.985,0.001
KMeans,5,0.3,0.514,0.499,0.514,0.506,0.984,0.002
KMeans,3,0.25,0.501,0.51,0.501,0.505,0.984,0.002
MiniBatchKMeans,2,0.1,0.504,0.505,0.504,0.504,0.984,0.002
KMeans,2,0.5,0.521,0.487,0.522,0.504,0.984,0.002
MiniBatchKMeans,4,0.1,0.515,0.492,0.516,0.504,0.984,0.002
Birch,6,0.25,0.395,0.614,0.392,0.503,0.984,0.001
Birch,2,0.4,0.499,0.506,0.499,0.502,0.984,0.001
KMeans,3,0.15,0.486,0.515,0.486,0.501,0.983,0.001
Birch,4,0.4,0.507,0.494,0.507,0.501,0.983,0.001
MiniBatchKMeans,5,0.3,0.5,0.501,0.5,0.501,0.983,0.001
MiniBatchKMeans,6,0.25,0.502,0.499,0.502,0.5,0.983,0.001
Birch,3,0.15,0.517,0.48,0.518,0.499,0.983,0.001
KMeans,3,0.4,0.5,0.499,0.5,0.499,0.983,0.001
KMeans,5,0.5,0.484,0.514,0.484,0.499,0.983,0.001
Birch,2,0.05,0.501,0.495,0.501,0.498,0.983,0.001
MiniBatchKMeans,3,0.1,0.5,0.495,0.5,0.498,0.983,0.001
KMeans,3,0.3,0.482,0.515,0.481,0.498,0.983,0.001
MiniBatchKMeans,5,0.05,0.485,0.512,0.484,0.498,0.983,0.001
KMeans,5,0.25,0.5,0.495,0.5,0.498,0.983,0.001
KMeans,5,0.4,0.499,0.498,0.499,0.498,0.983,0.001
MiniBatchKMeans,3,0.25,0.502,0.49,0.503,0.497,0.983,0.001
KMeans,6,0.15,0.5,0.494,0.5,0.497,0.983,0.001
MiniBatchKMeans,2,0.05,0.5,0.493,0.5,0.496,0.983,0
MiniBatchKMeans,4,0.4,0.482,0.508,0.481,0.495,0.983,0
Birch,3,0.3,0.483,0.506,0.483,0.494,0.983,0
Birch,4,0.1,0.484,0.502,0.483,0.493,0.983,0
Birch,2,0.15,0.497,0.487,0.497,0.492,0.983,0
MiniBatchKMeans,6,0.1,0.466,0.519,0.465,0.492,0.983,0
KMeans,4,0.3,0.481,0.501,0.481,0.491,0.983,0
Birch,6,0.5,0.354,0.632,0.35,0.491,0.983,-0.001
KMeans,2,0.4,0.462,0.518,0.462,0.49,0.983,-0.001
MiniBatchKMeans,3,0.5,0.463,0.518,0.463,0.49,0.983,0
KMeans,5,0.15,0.482,0.498,0.482,0.49,0.983,-0.001
MiniBatchKMeans,5,0.25,0.483,0.498,0.483,0.49,0.983,0
KMeans,6,0.1,0.482,0.498,0.482,0.49,0.983,0
