Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,6,0.5,0.568,0.52,0.569,0.545,0.986,0.007
Birch,2,0.25,0.552,0.521,0.552,0.537,0.986,0.006
Birch,4,0.5,0.55,0.517,0.55,0.533,0.985,0.006
Birch,8,0.05,0.393,0.679,0.388,0.533,0.987,0.004
Birch,7,0.5,0.417,0.649,0.414,0.531,0.986,0.004
Birch,2,0.05,0.536,0.52,0.536,0.528,0.985,0.005
Birch,5,0.5,0.476,0.579,0.475,0.527,0.985,0.004
KMeans,2,0.05,0.537,0.515,0.537,0.526,0.985,0.004
Birch,7,0.4,0.426,0.63,0.422,0.526,0.985,0.004
KMeans,2,0.5,0.451,0.599,0.448,0.524,0.985,0.004
Birch,8,0.3,0.468,0.577,0.467,0.522,0.985,0.003
Birch,2,0.1,0.518,0.524,0.517,0.521,0.985,0.004
KMeans,5,0.4,0.517,0.526,0.517,0.521,0.985,0.004
Birch,5,0.4,0.534,0.508,0.534,0.521,0.985,0.004
Birch,4,0.4,0.511,0.529,0.511,0.52,0.985,0.004
MiniBatchKMeans,8,0.1,0.535,0.504,0.536,0.52,0.985,0.004
KMeans,3,0.3,0.518,0.52,0.518,0.519,0.985,0.004
MiniBatchKMeans,5,0.15,0.515,0.52,0.515,0.518,0.985,0.003
Birch,6,0.15,0.49,0.548,0.489,0.518,0.985,0.003
MiniBatchKMeans,3,0.1,0.518,0.515,0.518,0.517,0.985,0.003
Birch,4,0.05,0.516,0.518,0.516,0.517,0.985,0.003
KMeans,7,0.05,0.515,0.519,0.515,0.517,0.984,0.003
MiniBatchKMeans,5,0.25,0.517,0.514,0.517,0.516,0.985,0.003
Birch,8,0.15,0.397,0.638,0.393,0.516,0.985,0.002
MiniBatchKMeans,2,0.15,0.518,0.512,0.518,0.515,0.985,0.003
Birch,3,0.25,0.478,0.552,0.477,0.515,0.886,0.003
Birch,4,0.15,0.516,0.514,0.517,0.515,0.984,0.003
Birch,5,0.3,0.478,0.554,0.477,0.515,0.984,0.003
Birch,6,0.25,0.513,0.517,0.513,0.515,0.984,0.003
Birch,8,0.5,0.4,0.633,0.396,0.515,0.985,0.002
Birch,2,0.3,0.42,0.611,0.417,0.514,0.788,0.003
KMeans,2,0.3,0.517,0.508,0.518,0.513,0.984,0.003
Birch,4,0.3,0.501,0.526,0.501,0.513,0.985,0.002
KMeans,6,0.5,0.5,0.527,0.499,0.513,0.984,0.003
MiniBatchKMeans,3,0.5,0.476,0.549,0.475,0.512,0.984,0.002
Birch,6,0.1,0.49,0.535,0.489,0.512,0.984,0.003
MiniBatchKMeans,4,0.5,0.518,0.505,0.518,0.511,0.984,0.003
KMeans,3,0.1,0.518,0.499,0.518,0.509,0.984,0.002
KMeans,5,0.1,0.534,0.482,0.535,0.509,0.984,0.002
MiniBatchKMeans,6,0.15,0.517,0.501,0.517,0.509,0.984,0.002
Birch,7,0.05,0.4,0.623,0.396,0.509,0.985,0.002
KMeans,7,0.15,0.521,0.495,0.522,0.509,0.984,0.002
Birch,8,0.1,0.415,0.604,0.411,0.508,0.985,0.001
Birch,2,0.4,0.403,0.614,0.4,0.507,0.787,0.002
KMeans,3,0.15,0.519,0.495,0.519,0.507,0.984,0.002
MiniBatchKMeans,7,0.5,0.492,0.523,0.492,0.507,0.984,0.002
KMeans,2,0.15,0.501,0.511,0.501,0.506,0.984,0.001
MiniBatchKMeans,2,0.3,0.517,0.494,0.518,0.506,0.984,0.002
MiniBatchKMeans,7,0.05,0.483,0.53,0.483,0.506,0.984,0.002
MiniBatchKMeans,8,0.05,0.501,0.512,0.501,0.506,0.984,0.002
MiniBatchKMeans,2,0.1,0.515,0.495,0.515,0.505,0.984,0.002
MiniBatchKMeans,2,0.4,0.528,0.481,0.529,0.505,0.984,0.003
KMeans,4,0.15,0.5,0.511,0.5,0.505,0.984,0.002
Birch,7,0.3,0.471,0.54,0.47,0.505,0.984,0.002
KMeans,3,0.05,0.48,0.529,0.479,0.504,0.984,0.002
MiniBatchKMeans,4,0.4,0.511,0.496,0.512,0.504,0.984,0.001
MiniBatchKMeans,4,0.05,0.514,0.49,0.515,0.503,0.984,0.001
KMeans,6,0.25,0.514,0.492,0.514,0.503,0.984,0.001
Birch,6,0.3,0.492,0.513,0.492,0.503,0.984,0.001
Birch,7,0.15,0.424,0.585,0.421,0.503,0.984,0.001
Birch,7,0.25,0.492,0.514,0.492,0.503,0.984,0.001
KMeans,8,0.15,0.517,0.488,0.518,0.503,0.984,0.001
KMeans,4,0.3,0.501,0.502,0.501,0.502,0.984,0.001
Birch,8,0.25,0.326,0.685,0.32,0.502,0.984,0
