Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RF8_ET1_BCDT15,2,0.1,0.885,0.448,0.892,0.67,0.99,0.088
DT7_RF8_BCDT15,3,0.05,0.899,0.433,0.906,0.67,0.99,0.097
DT7_ET1_BCDT15,2,0.05,0.855,0.468,0.861,0.664,0.99,0.068
RF8_ET1_BCDT15,2,0.05,0.913,0.405,0.921,0.663,0.99,0.107
DT7_RF8_BCDT15,2,0.05,0.89,0.426,0.898,0.662,0.99,0.088
DT7_BCDT14_RF8_ET1_BCDT15,2,0.05,0.912,0.401,0.921,0.661,0.99,0.106
DT7_ET1_BCDT15,3,0.05,0.865,0.45,0.871,0.661,0.99,0.07
DT7_RF8_ET1,2,0.05,0.908,0.404,0.916,0.66,0.99,0.1
DT7_RF8_ET1,2,0.1,0.87,0.443,0.877,0.66,0.99,0.077
DT7_BCDT14_RF8_ET1_BCDT15,2,0.1,0.88,0.43,0.887,0.659,0.99,0.079
DT7_BCDT14_BCDT15,3,0.05,0.882,0.426,0.89,0.658,0.99,0.078
DT7_RF8_BCDT15,3,0.1,0.833,0.477,0.839,0.658,0.99,0.061
RF8_ET1_BCDT15,3,0.05,0.927,0.377,0.936,0.657,0.989,0.12
DT7_BCDT14_RF8_ET1_BCDT15,3,0.5,0.735,0.576,0.738,0.657,0.991,0.036
DT7_BCDT14_BCDT15,2,0.05,0.873,0.432,0.88,0.656,0.99,0.074
DT7_RF8_BCDT15,2,0.1,0.834,0.471,0.84,0.656,0.99,0.057
RF8_ET1_BCDT15,3,0.1,0.883,0.42,0.891,0.655,0.99,0.08
DT7_BCDT14_RF8_ET1_BCDT15,3,0.05,0.923,0.376,0.932,0.654,0.989,0.113
BCDT14_ET1_BCDT15,2,0.05,0.871,0.426,0.879,0.652,0.989,0.071
DT7_BCDT14_RF8_ET1_BCDT15,3,0.1,0.883,0.414,0.89,0.652,0.989,0.078
DT7_RF8_ET1,3,0.05,0.917,0.375,0.926,0.651,0.989,0.106
DT7_RF8_ET1,3,0.1,0.873,0.421,0.881,0.651,0.989,0.071
DT7_BCDT14_RF8_ET1_BCDT15,3,0.25,0.824,0.471,0.83,0.651,0.99,0.051
BCDT14_ET1_BCDT15,3,0.5,0.727,0.574,0.729,0.651,0.991,0.034
BCDT14_RF8_BCDT15,3,0.05,0.937,0.352,0.947,0.65,0.989,0.131
DT7_RF8_BCDT15,4,0.05,0.897,0.395,0.905,0.65,0.989,0.086
DT7_BCDT14_RF8_ET1_BCDT15,4,0.25,0.813,0.481,0.819,0.65,0.99,0.049
DT7_BCDT14_RF8_ET1_BCDT15,6,0.3,0.786,0.511,0.79,0.65,0.99,0.043
DT7_BCDT14_BCDT15,3,0.1,0.818,0.474,0.824,0.649,0.99,0.052
DT7_BCDT14_ET1,3,0.5,0.724,0.571,0.727,0.649,0.99,0.033
DT7_BCDT14_RF8,6,0.3,0.799,0.494,0.804,0.649,0.99,0.045
DT7_BCDT14_RF8,2,0.05,0.924,0.363,0.933,0.648,0.989,0.112
BCDT14_RF8_BCDT15,2,0.05,0.93,0.357,0.939,0.648,0.989,0.12
DT7_BCDT14_RF8,3,0.05,0.933,0.352,0.943,0.648,0.989,0.124
DT7_ET1_BCDT15,3,0.1,0.788,0.502,0.793,0.648,0.99,0.044
BCDT14_RF8_BCDT15,3,0.1,0.906,0.381,0.914,0.648,0.989,0.092
DT7_RF8_BCDT15,4,0.25,0.745,0.548,0.748,0.648,0.99,0.036
