Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RF8_ET1_BCDT15,4,0.05,0.816,0.477,0.822,0.65,0.99,0.053
DT7_RF8_ET1,4,0.05,0.813,0.475,0.818,0.647,0.99,0.049
DT7_BCDT14_RF8_ET1_BCDT15,4,0.05,0.81,0.476,0.816,0.646,0.99,0.05
RF8_ET1_BCDT15,5,0.1,0.815,0.468,0.82,0.644,0.989,0.059
DT7_RF8_BCDT15,5,0.1,0.779,0.5,0.784,0.642,0.99,0.046
DT7_ET1_BCDT15,5,0.1,0.752,0.529,0.755,0.642,0.99,0.039
DT7_RF8_ET1,6,0.25,0.78,0.5,0.784,0.642,0.99,0.041
BCDT14_ET1_BCDT15,4,0.05,0.801,0.471,0.807,0.639,0.989,0.044
DT7_RF8_BCDT15,4,0.05,0.778,0.494,0.783,0.638,0.99,0.04
DT7_BCDT14_RF8_ET1_BCDT15,5,0.05,0.856,0.413,0.863,0.638,0.989,0.067
DT7_RF8_BCDT15,5,0.05,0.834,0.436,0.841,0.638,0.989,0.058
DT7_BCDT14_RF8_ET1_BCDT15,5,0.1,0.818,0.452,0.824,0.638,0.989,0.058
DT7_RF8_BCDT15,7,0.1,0.823,0.448,0.829,0.638,0.989,0.048
BCDT14_RF8_BCDT15,4,0.05,0.834,0.433,0.841,0.637,0.989,0.054
RF8_ET1_BCDT15,5,0.05,0.86,0.406,0.868,0.637,0.989,0.068
DT7_BCDT14_BCDT15,7,0.1,0.81,0.458,0.816,0.637,0.989,0.044
DT7_BCDT14_RF8,4,0.05,0.835,0.43,0.842,0.636,0.989,0.054
BCDT14_RF8_BCDT15,5,0.1,0.84,0.425,0.847,0.636,0.989,0.065
DT7_BCDT14_RF8_ET1_BCDT15,6,0.1,0.842,0.423,0.849,0.636,0.989,0.054
BCDT14_RF8_BCDT15,6,0.1,0.864,0.4,0.872,0.636,0.989,0.062
RF8_ET1_BCDT15,6,0.25,0.776,0.49,0.781,0.636,0.989,0.039
DT7_BCDT14_RF8_ET1_BCDT15,7,0.1,0.871,0.394,0.878,0.636,0.989,0.064
DT7_BCDT14_BCDT15,4,0.05,0.778,0.488,0.783,0.635,0.99,0.039
DT7_ET1_BCDT15,4,0.05,0.767,0.499,0.771,0.635,0.99,0.036
DT7_RF8_ET1,5,0.1,0.813,0.451,0.819,0.635,0.989,0.054
DT7_BCDT14_BCDT15,6,0.1,0.782,0.483,0.787,0.635,0.989,0.039
DT7_BCDT14_ET1,4,0.05,0.799,0.463,0.804,0.634,0.989,0.041
DT7_RF8_ET1,5,0.05,0.858,0.402,0.866,0.634,0.989,0.066
DT7_ET1_BCDT15,5,0.05,0.81,0.451,0.816,0.634,0.989,0.047
DT7_BCDT14_BCDT15,5,0.1,0.773,0.49,0.777,0.634,0.989,0.041
DT7_RF8_BCDT15,6,0.05,0.846,0.414,0.853,0.634,0.989,0.056
DT7_BCDT14_RF8_ET1_BCDT15,6,0.25,0.778,0.486,0.782,0.634,0.989,0.038
RF8_ET1_BCDT15,4,0.25,0.736,0.526,0.739,0.633,0.99,0.032
DT7_BCDT14_BCDT15,5,0.05,0.821,0.439,0.827,0.633,0.989,0.051
BCDT14_RF8_ET1,4,0.05,0.838,0.42,0.845,0.632,0.989,0.052
DT7_BCDT14_RF8_ET1_BCDT15,6,0.05,0.877,0.379,0.885,0.632,0.989,0.066
DT7_BCDT14_RF8,6,0.1,0.858,0.398,0.865,0.632,0.989,0.058
BCDT14_ET1_BCDT15,6,0.1,0.824,0.433,0.831,0.632,0.989,0.046
DT7_RF8_ET1,4,0.25,0.735,0.524,0.739,0.631,0.99,0.032
BCDT14_RF8_BCDT15,5,0.05,0.873,0.38,0.881,0.631,0.989,0.074
BCDT14_ET1_BCDT15,5,0.3,0.752,0.507,0.756,0.631,0.989,0.033
DT7_ET1_BCDT15,6,0.05,0.811,0.445,0.817,0.631,0.989,0.044
DT7_BCDT14_BCDT15,7,0.15,0.766,0.492,0.77,0.631,0.989,0.036
DT7_BCDT14_ET1,5,0.25,0.766,0.489,0.771,0.63,0.989,0.034
DT7_BCDT14_ET1,5,0.3,0.755,0.5,0.76,0.63,0.989,0.033
RF8_ET1_BCDT15,5,0.3,0.752,0.504,0.756,0.63,0.989,0.032
BCDT14_ET1_BCDT15,6,0.05,0.843,0.41,0.85,0.63,0.989,0.051
DT7_ET1_BCDT15,7,0.1,0.794,0.461,0.8,0.63,0.989,0.039
BCDT14_ET1_BCDT15,5,0.05,0.827,0.424,0.833,0.629,0.989,0.05
BCDT14_ET1_BCDT15,5,0.1,0.798,0.454,0.803,0.629,0.989,0.047
DT7_BCDT14_RF8,7,0.1,0.879,0.37,0.888,0.629,0.989,0.066
DT7_BCDT14_RF8_ET1_BCDT15,7,0.15,0.83,0.42,0.837,0.629,0.989,0.047
DT7_RF8_BCDT15,7,0.15,0.771,0.481,0.776,0.629,0.989,0.036
RF8_ET1_BCDT15,4,0.3,0.707,0.546,0.709,0.628,0.99,0.028
DT7_BCDT14_ET1,5,0.05,0.823,0.426,0.83,0.628,0.989,0.048
DT7_RF8_BCDT15,6,0.1,0.791,0.46,0.796,0.628,0.989,0.038
RF8_ET1_BCDT15,6,0.1,0.847,0.402,0.854,0.628,0.989,0.052
DT7_RF8_BCDT15,6,0.15,0.779,0.471,0.784,0.628,0.989,0.037
BCDT14_RF8_BCDT15,7,0.1,0.886,0.362,0.895,0.628,0.989,0.069
DT7_BCDT14_RF8_ET1_BCDT15,4,0.25,0.733,0.517,0.736,0.627,0.989,0.03
DT7_BCDT14_ET1,4,0.3,0.719,0.531,0.722,0.627,0.989,0.03
BCDT14_ET1_BCDT15,5,0.25,0.76,0.49,0.764,0.627,0.989,0.033
DT7_BCDT14_RF8_ET1_BCDT15,5,0.3,0.759,0.492,0.763,0.627,0.989,0.033
DT7_BCDT14_BCDT15,6,0.05,0.829,0.419,0.835,0.627,0.989,0.048
BCDT14_RF8_BCDT15,6,0.15,0.849,0.398,0.856,0.627,0.989,0.053
RF8_ET1_BCDT15,6,0.15,0.833,0.414,0.84,0.627,0.989,0.048
BCDT14_ET1_BCDT15,7,0.1,0.848,0.399,0.855,0.627,0.989,0.051
DT7_ET1_BCDT15,7,0.15,0.745,0.505,0.749,0.627,0.989,0.031
BCDT14_ET1_BCDT15,7,0.15,0.815,0.432,0.821,0.627,0.989,0.042
DT7_RF8_BCDT15,4,0.1,0.747,0.501,0.751,0.626,0.989,0.032
DT7_RF8_ET1,4,0.3,0.708,0.54,0.711,0.626,0.99,0.028
DT7_ET1_BCDT15,6,0.1,0.767,0.481,0.771,0.626,0.989,0.034
DT7_BCDT14_RF8_ET1_BCDT15,6,0.15,0.833,0.413,0.84,0.626,0.989,0.049
DT7_BCDT14_BCDT15,6,0.15,0.773,0.474,0.777,0.626,0.989,0.035
DT7_BCDT14_BCDT15,7,0.05,0.832,0.413,0.839,0.626,0.989,0.052
RF8_ET1_BCDT15,4,0.15,0.767,0.477,0.772,0.625,0.989,0.036
DT7_BCDT14_RF8,5,0.05,0.871,0.371,0.879,0.625,0.988,0.067
DT7_BCDT14_RF8,6,0.15,0.843,0.4,0.85,0.625,0.989,0.051
DT7_BCDT14_RF8,6,0.25,0.786,0.458,0.791,0.625,0.989,0.037
DT7_RF8_ET1,7,0.1,0.865,0.377,0.872,0.625,0.989,0.056
RF8_ET1_BCDT15,7,0.1,0.873,0.369,0.881,0.625,0.988,0.06
RF8_ET1_BCDT15,3,0.05,0.777,0.467,0.782,0.624,0.989,0.049
DT7_BCDT14_RF8_ET1_BCDT15,4,0.15,0.769,0.475,0.774,0.624,0.989,0.037
BCDT14_ET1_BCDT15,4,0.15,0.756,0.487,0.76,0.624,0.989,0.034
BCDT14_ET1_BCDT15,4,0.25,0.735,0.51,0.739,0.624,0.989,0.03
DT7_BCDT14_RF8,5,0.1,0.836,0.404,0.843,0.624,0.989,0.057
RF8_ET1_BCDT15,5,0.25,0.76,0.483,0.764,0.624,0.989,0.033
DT7_BCDT14_BCDT15,5,0.3,0.695,0.551,0.697,0.624,0.99,0.025
DT7_RF8_ET1,5,0.3,0.757,0.486,0.762,0.624,0.989,0.032
DT7_RF8_BCDT15,5,0.3,0.696,0.55,0.698,0.624,0.99,0.025
DT7_BCDT14_ET1,6,0.1,0.818,0.424,0.825,0.624,0.989,0.042
DT7_BCDT14_ET1,6,0.25,0.767,0.476,0.772,0.624,0.989,0.034
BCDT14_ET1_BCDT15,6,0.25,0.768,0.476,0.773,0.624,0.989,0.034
DT7_ET1_BCDT15,7,0.05,0.823,0.419,0.83,0.624,0.989,0.047
DT7_BCDT14_ET1,4,0.25,0.733,0.508,0.737,0.623,0.989,0.029
DT7_ET1_BCDT15,4,0.25,0.674,0.569,0.676,0.623,0.99,0.024
DT7_BCDT14_RF8_ET1_BCDT15,4,0.3,0.713,0.529,0.716,0.623,0.989,0.028
BCDT14_RF8_ET1,4,0.3,0.728,0.514,0.732,0.623,0.989,0.03
RF8_ET1_BCDT15,4,0.5,0.687,0.556,0.689,0.623,0.99,0.025
