Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_BCDT14_RF8_ET1_BCDT15,3,0.1,0.895,0.458,0.902,0.68,0.99,0.097
DT7_RF8_BCDT15,3,0.1,0.878,0.471,0.885,0.678,0.99,0.085
BCDT14_RF8_BCDT15,3,0.1,0.886,0.458,0.893,0.676,0.99,0.089
DT7_BCDT14_RF8,3,0.1,0.888,0.449,0.895,0.672,0.99,0.089
RF8_ET1_BCDT15,3,0.1,0.896,0.44,0.903,0.672,0.99,0.094
DT7_RF8_BCDT15,4,0.25,0.784,0.557,0.787,0.672,0.991,0.048
DT7_BCDT14_BCDT15,3,0.1,0.86,0.476,0.867,0.671,0.99,0.072
DT7_RF8_BCDT15,3,0.05,0.915,0.415,0.923,0.669,0.99,0.113
DT7_RF8_ET1,3,0.1,0.898,0.433,0.905,0.669,0.99,0.094
DT7_BCDT14_RF8_ET1_BCDT15,3,0.15,0.866,0.465,0.872,0.669,0.99,0.073
DT7_BCDT14_BCDT15,4,0.25,0.764,0.57,0.767,0.669,0.991,0.043
DT7_ET1_BCDT15,3,0.05,0.894,0.435,0.902,0.668,0.99,0.091
DT7_ET1_BCDT15,3,0.1,0.849,0.481,0.855,0.668,0.99,0.065
RF8_ET1_BCDT15,4,0.25,0.826,0.504,0.832,0.668,0.99,0.058
RF8_ET1_BCDT15,2,0.1,0.89,0.433,0.898,0.666,0.99,0.089
BCDT14_ET1_BCDT15,3,0.1,0.87,0.455,0.877,0.666,0.99,0.075
DT7_BCDT14_RF8_ET1_BCDT15,4,0.25,0.815,0.51,0.82,0.665,0.99,0.054
BCDT14_RF8_BCDT15,2,0.1,0.864,0.458,0.871,0.664,0.99,0.072
DT7_RF8_BCDT15,3,0.15,0.835,0.487,0.841,0.664,0.99,0.059
DT7_RF8_ET1,4,0.25,0.824,0.5,0.829,0.664,0.99,0.056
DT7_BCDT14_RF8_ET1_BCDT15,3,0.05,0.927,0.389,0.936,0.663,0.989,0.123
DT7_ET1_BCDT15,3,0.15,0.822,0.499,0.827,0.663,0.99,0.054
DT7_ET1_BCDT15,4,0.25,0.777,0.545,0.781,0.663,0.991,0.044
DT7_BCDT14_RF8_ET1_BCDT15,2,0.1,0.876,0.44,0.884,0.662,0.99,0.077
DT7_RF8_ET1,2,0.1,0.89,0.426,0.898,0.662,0.99,0.087
DT7_RF8_BCDT15,2,0.1,0.845,0.473,0.851,0.662,0.99,0.062
BCDT14_RF8_BCDT15,3,0.15,0.848,0.47,0.855,0.662,0.99,0.063
RF8_ET1_BCDT15,3,0.15,0.868,0.449,0.875,0.662,0.99,0.071
BCDT14_ET1_BCDT15,4,0.25,0.809,0.511,0.814,0.662,0.99,0.051
BCDT14_ET1_BCDT15,2,0.1,0.866,0.45,0.872,0.661,0.99,0.071
DT7_BCDT14_BCDT15,3,0.05,0.885,0.43,0.893,0.661,0.99,0.085
BCDT14_RF8_BCDT15,4,0.25,0.803,0.514,0.808,0.661,0.99,0.049
DT7_BCDT14_RF8_ET1_BCDT15,2,0.15,0.853,0.461,0.86,0.66,0.99,0.064
DT7_RF8_ET1,2,0.15,0.856,0.457,0.863,0.66,0.99,0.066
DT7_BCDT14_RF8,3,0.15,0.854,0.458,0.861,0.66,0.99,0.065
