Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RF8_ET1_BCDT15,4,0.05,0.847,0.476,0.853,0.665,0.99,0.073
DT7_BCDT14_RF8_ET1_BCDT15,4,0.05,0.845,0.477,0.851,0.664,0.99,0.07
DT7_RF8_ET1,4,0.05,0.854,0.468,0.86,0.664,0.99,0.075
DT7_BCDT14_RF8_ET1_BCDT15,5,0.1,0.865,0.45,0.872,0.661,0.99,0.072
RF8_ET1_BCDT15,5,0.1,0.872,0.44,0.879,0.66,0.99,0.074
BCDT14_RF8_BCDT15,4,0.05,0.847,0.465,0.853,0.659,0.99,0.071
DT7_RF8_BCDT15,4,0.05,0.833,0.476,0.839,0.658,0.99,0.064
DT7_BCDT14_RF8_ET1_BCDT15,5,0.05,0.889,0.415,0.897,0.656,0.99,0.086
DT7_RF8_ET1,5,0.1,0.876,0.429,0.883,0.656,0.99,0.075
DT7_RF8_BCDT15,5,0.1,0.835,0.471,0.841,0.656,0.99,0.059
BCDT14_RF8_BCDT15,5,0.1,0.859,0.446,0.865,0.656,0.99,0.066
BCDT14_RF8_BCDT15,5,0.05,0.887,0.415,0.894,0.655,0.99,0.082
RF8_ET1_BCDT15,5,0.05,0.896,0.405,0.904,0.655,0.989,0.09
DT7_ET1_BCDT15,5,0.1,0.813,0.492,0.818,0.655,0.99,0.051
BCDT14_ET1_BCDT15,5,0.1,0.842,0.46,0.849,0.654,0.99,0.059
DT7_RF8_ET1,5,0.05,0.896,0.4,0.904,0.652,0.989,0.087
DT7_BCDT14_ET1,5,0.1,0.843,0.454,0.849,0.652,0.99,0.058
DT7_RF8_ET1,5,0.15,0.837,0.462,0.843,0.652,0.99,0.058
DT7_BCDT14_RF8,4,0.05,0.851,0.444,0.858,0.651,0.99,0.069
DT7_RF8_BCDT15,5,0.05,0.871,0.423,0.879,0.651,0.989,0.071
DT7_ET1_BCDT15,5,0.05,0.856,0.439,0.863,0.651,0.99,0.063
BCDT14_ET1_BCDT15,5,0.05,0.877,0.417,0.885,0.651,0.989,0.072
DT7_BCDT14_RF8,5,0.1,0.863,0.431,0.871,0.651,0.989,0.068
DT7_BCDT14_ET1,4,0.05,0.813,0.481,0.819,0.65,0.99,0.051
BCDT14_RF8_ET1,4,0.05,0.867,0.426,0.874,0.65,0.989,0.074
BCDT14_ET1_BCDT15,4,0.05,0.811,0.48,0.816,0.648,0.99,0.049
DT7_BCDT14_RF8_ET1_BCDT15,5,0.15,0.83,0.46,0.836,0.648,0.99,0.054
DT7_BCDT14_BCDT15,4,0.05,0.803,0.486,0.808,0.647,0.99,0.048
DT7_ET1_BCDT15,4,0.05,0.8,0.489,0.805,0.647,0.99,0.047
DT7_BCDT14_ET1,5,0.05,0.869,0.418,0.876,0.647,0.989,0.066
DT7_BCDT14_BCDT15,5,0.1,0.805,0.483,0.811,0.647,0.99,0.048
RF8_ET1_BCDT15,5,0.15,0.841,0.448,0.847,0.647,0.989,0.057
DT7_BCDT14_RF8,5,0.05,0.886,0.399,0.894,0.646,0.989,0.079
DT7_RF8_ET1,4,0.1,0.816,0.468,0.822,0.645,0.99,0.05
RF8_ET1_BCDT15,4,0.1,0.817,0.464,0.823,0.644,0.99,0.05
BCDT14_RF8_ET1,5,0.05,0.892,0.388,0.9,0.644,0.989,0.083
DT7_ET1_BCDT15,5,0.15,0.797,0.485,0.803,0.644,0.99,0.044
