Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
ExtraTrees,2,0.1,0.968,0.393,0.977,0.685,0.99,0.264
ExtraTrees,3,0.15,0.961,0.399,0.97,0.685,0.99,0.235
DecisionTree,3,0.1,0.914,0.442,0.922,0.682,0.99,0.118
DecisionTree,3,0.15,0.887,0.47,0.893,0.682,0.99,0.092
ExtraTrees,3,0.5,0.831,0.519,0.836,0.678,0.991,0.062
DecisionTree,3,0.05,0.953,0.388,0.962,0.675,0.99,0.19
BaggingClassifierDT,3,0.15,0.942,0.399,0.951,0.675,0.99,0.16
RandomForest,3,0.3,0.932,0.41,0.94,0.675,0.99,0.139
DecisionTree,2,0.1,0.919,0.421,0.927,0.674,0.99,0.12
ExtraTrees,2,0.15,0.956,0.382,0.965,0.674,0.99,0.2
RandomForest,3,0.15,0.972,0.367,0.982,0.674,0.99,0.28
DecisionTree,2,0.05,0.953,0.383,0.962,0.673,0.99,0.189
ExtraTrees,3,0.3,0.917,0.421,0.925,0.673,0.99,0.119
DecisionTree,2,0.15,0.881,0.452,0.888,0.67,0.99,0.084
ExtraTrees,3,0.05,0.981,0.349,0.991,0.67,0.989,0.357
BaggingClassifierDT,2,0.1,0.957,0.371,0.966,0.669,0.99,0.197
RandomForest,3,0.4,0.891,0.439,0.899,0.669,0.99,0.089
BaggingClassifierDT,3,0.25,0.896,0.433,0.903,0.668,0.99,0.093
BaggingClassifierDT,3,0.3,0.87,0.456,0.877,0.667,0.99,0.075
BaggingClassifierDT,2,0.15,0.934,0.389,0.943,0.666,0.99,0.138
ExtraTrees,3,0.1,0.972,0.349,0.983,0.666,0.989,0.274
RandomForest,3,0.5,0.848,0.477,0.854,0.666,0.99,0.065
RandomForest,3,0.25,0.944,0.375,0.953,0.664,0.989,0.157
DecisionTree,4,0.15,0.882,0.439,0.889,0.664,0.99,0.081
ExtraTrees,2,0.05,0.978,0.338,0.989,0.663,0.989,0.323
ExtraTrees,2,0.3,0.907,0.412,0.915,0.663,0.99,0.1
ExtraTrees,3,0.25,0.929,0.388,0.937,0.663,0.989,0.127
ExtraTrees,3,0.4,0.875,0.445,0.882,0.663,0.99,0.077
RandomForest,2,0.15,0.965,0.345,0.975,0.66,0.989,0.227
RandomForest,2,0.3,0.916,0.395,0.924,0.66,0.989,0.107
RandomForest,2,0.1,0.974,0.333,0.984,0.659,0.989,0.277
BaggingClassifierDT,3,0.05,0.978,0.329,0.989,0.659,0.989,0.314
BaggingClassifierDT,4,0.4,0.815,0.496,0.821,0.659,0.99,0.051
BaggingClassifierDT,5,0.25,0.901,0.408,0.909,0.659,0.99,0.092
BaggingClassifierDT,3,0.1,0.962,0.344,0.972,0.658,0.989,0.21
BaggingClassifierDT,4,0.3,0.869,0.439,0.876,0.658,0.99,0.071
BaggingClassifierDT,4,0.5,0.752,0.562,0.755,0.658,0.991,0.039
DecisionTree,4,0.1,0.914,0.392,0.922,0.657,0.989,0.103
BaggingClassifierDT,5,0.4,0.815,0.493,0.82,0.657,0.99,0.051
DecisionTree,3,0.3,0.801,0.505,0.806,0.656,0.99,0.047
BaggingClassifierDT,4,0.25,0.894,0.407,0.902,0.655,0.989,0.085
ExtraTrees,2,0.25,0.922,0.379,0.93,0.654,0.989,0.113
DecisionTree,3,0.25,0.832,0.47,0.838,0.654,0.99,0.055
DecisionTree,4,0.05,0.95,0.348,0.96,0.654,0.989,0.164
DecisionTree,4,0.25,0.826,0.474,0.832,0.653,0.99,0.053
DecisionTree,5,0.15,0.883,0.414,0.891,0.653,0.989,0.076
BaggingClassifierDT,6,0.25,0.897,0.4,0.905,0.653,0.989,0.085
BaggingClassifierDT,2,0.05,0.975,0.318,0.986,0.652,0.989,0.281
BaggingClassifierDT,2,0.3,0.859,0.438,0.866,0.652,0.99,0.064
BaggingClassifierDT,4,0.15,0.944,0.351,0.953,0.652,0.989,0.147
RandomForest,5,0.25,0.95,0.344,0.96,0.652,0.989,0.162
BaggingClassifierDT,6,0.5,0.761,0.54,0.764,0.652,0.99,0.039
RandomForest,2,0.4,0.875,0.419,0.883,0.651,0.989,0.072
RandomForest,3,0.05,0.983,0.305,0.994,0.65,0.989,0.365
RandomForest,3,0.1,0.979,0.311,0.99,0.65,0.989,0.312
BaggingClassifierDT,3,0.4,0.808,0.487,0.814,0.65,0.99,0.047
BaggingClassifierDT,3,0.5,0.761,0.535,0.765,0.65,0.99,0.038
RandomForest,4,0.3,0.932,0.36,0.941,0.65,0.989,0.123
RandomForest,2,0.05,0.982,0.305,0.993,0.649,0.989,0.344
RandomForest,2,0.25,0.94,0.348,0.95,0.649,0.989,0.139
DecisionTree,2,0.25,0.829,0.463,0.835,0.649,0.99,0.052
BaggingClassifierDT,2,0.4,0.81,0.483,0.815,0.649,0.99,0.047
BaggingClassifierDT,4,0.1,0.964,0.323,0.975,0.649,0.989,0.209
RandomForest,5,0.4,0.89,0.399,0.898,0.649,0.989,0.079
ExtraTrees,2,0.5,0.81,0.481,0.816,0.648,0.99,0.048
BaggingClassifierDT,5,0.15,0.949,0.337,0.958,0.648,0.989,0.153
RandomForest,6,0.5,0.846,0.444,0.852,0.648,0.99,0.057
BaggingClassifierDT,2,0.25,0.889,0.396,0.897,0.647,0.989,0.077
DecisionTree,3,0.4,0.76,0.53,0.763,0.647,0.99,0.037
RandomForest,4,0.4,0.895,0.39,0.903,0.647,0.989,0.081
DecisionTree,5,0.25,0.822,0.467,0.828,0.647,0.99,0.05
ExtraTrees,5,0.25,0.919,0.365,0.928,0.647,0.989,0.104
DecisionTree,6,0.15,0.878,0.407,0.886,0.647,0.989,0.071
DecisionTree,3,0.5,0.722,0.568,0.725,0.646,0.99,0.032
ExtraTrees,4,0.3,0.903,0.38,0.912,0.646,0.989,0.088
RandomForest,2,0.5,0.821,0.463,0.826,0.645,0.99,0.049
DecisionTree,2,0.3,0.812,0.47,0.818,0.644,0.99,0.046
DecisionTree,2,0.4,0.756,0.529,0.76,0.644,0.99,0.036
ExtraTrees,4,0.15,0.957,0.318,0.968,0.643,0.989,0.176
DecisionTree,6,0.3,0.8,0.479,0.805,0.642,0.99,0.043
BaggingClassifierDT,6,0.3,0.874,0.402,0.881,0.642,0.989,0.066
ExtraTrees,2,0.4,0.856,0.419,0.863,0.641,0.989,0.059
RandomForest,4,0.15,0.972,0.3,0.983,0.641,0.989,0.241
BaggingClassifierDT,5,0.5,0.759,0.52,0.763,0.641,0.99,0.035
DecisionTree,4,0.3,0.799,0.476,0.804,0.64,0.99,0.042
BaggingClassifierDT,6,0.4,0.815,0.458,0.821,0.64,0.989,0.045
ExtraTrees,4,0.1,0.97,0.295,0.981,0.638,0.988,0.226
DecisionTree,5,0.1,0.914,0.352,0.923,0.638,0.989,0.092
BaggingClassifierDT,6,0.15,0.946,0.319,0.956,0.637,0.989,0.138
RandomForest,6,0.4,0.89,0.375,0.899,0.637,0.989,0.073
ExtraTrees,6,0.5,0.801,0.468,0.806,0.637,0.989,0.042
RandomForest,4,0.25,0.95,0.311,0.96,0.636,0.988,0.147
DecisionTree,5,0.05,0.948,0.313,0.958,0.636,0.988,0.141
BaggingClassifierDT,5,0.3,0.871,0.392,0.879,0.635,0.989,0.062
DecisionTree,6,0.05,0.946,0.312,0.956,0.634,0.988,0.134
DecisionTree,4,0.4,0.759,0.502,0.763,0.633,0.989,0.034
DecisionTree,2,0.5,0.718,0.54,0.721,0.631,0.99,0.028
ExtraTrees,4,0.05,0.981,0.27,0.992,0.631,0.988,0.298
BaggingClassifierDT,4,0.05,0.979,0.271,0.99,0.631,0.988,0.282
RandomForest,4,0.1,0.981,0.27,0.993,0.631,0.988,0.302
ExtraTrees,5,0.4,0.851,0.405,0.858,0.631,0.989,0.054
DecisionTree,6,0.4,0.751,0.507,0.755,0.631,0.989,0.032
BaggingClassifierDT,5,0.1,0.967,0.281,0.978,0.63,0.988,0.199
DecisionTree,5,0.3,0.793,0.461,0.799,0.63,0.989,0.038
DecisionTree,6,0.5,0.717,0.539,0.72,0.63,0.99,0.028
DecisionTree,5,0.5,0.713,0.542,0.716,0.629,0.99,0.028
ExtraTrees,4,0.25,0.92,0.325,0.93,0.628,0.988,0.093
DecisionTree,5,0.4,0.749,0.504,0.753,0.628,0.989,0.031
DecisionTree,6,0.1,0.911,0.336,0.921,0.628,0.988,0.083
ExtraTrees,4,0.4,0.857,0.389,0.865,0.627,0.989,0.054
DecisionTree,4,0.5,0.717,0.535,0.72,0.627,0.99,0.028
DecisionTree,6,0.25,0.82,0.429,0.826,0.627,0.989,0.043
RandomForest,4,0.5,0.836,0.407,0.843,0.625,0.989,0.046
BaggingClassifierDT,2,0.5,0.747,0.498,0.751,0.624,0.989,0.03
RandomForest,5,0.5,0.839,0.398,0.846,0.622,0.989,0.045
