Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,2,0.05,0.956,0.404,0.965,0.684,0.99,0.208
ExtraTrees,3,0.15,0.959,0.387,0.969,0.678,0.99,0.217
ExtraTrees,2,0.05,0.977,0.363,0.987,0.675,0.99,0.329
ExtraTrees,2,0.1,0.968,0.37,0.978,0.674,0.99,0.255
BaggingClassifierDT,3,0.1,0.965,0.374,0.975,0.674,0.99,0.239
RandomForest,3,0.15,0.971,0.367,0.981,0.674,0.99,0.277
RandomForest,2,0.25,0.938,0.4,0.946,0.673,0.99,0.153
DecisionTree,3,0.15,0.892,0.444,0.9,0.672,0.99,0.091
DecisionTree,2,0.1,0.924,0.41,0.932,0.671,0.99,0.123
ExtraTrees,2,0.25,0.922,0.411,0.93,0.671,0.99,0.124
DecisionTree,3,0.1,0.922,0.412,0.93,0.671,0.99,0.122
RandomForest,2,0.05,0.982,0.344,0.993,0.668,0.989,0.372
BaggingClassifierDT,2,0.1,0.962,0.363,0.972,0.668,0.989,0.218
ExtraTrees,3,0.1,0.97,0.356,0.98,0.668,0.989,0.259
RandomForest,3,0.25,0.95,0.377,0.96,0.668,0.99,0.175
BaggingClassifierDT,4,0.4,0.821,0.51,0.826,0.668,0.99,0.056
DecisionTree,3,0.3,0.812,0.514,0.817,0.666,0.99,0.053
BaggingClassifierDT,5,0.5,0.765,0.563,0.768,0.666,0.991,0.043
RandomForest,2,0.1,0.977,0.343,0.987,0.665,0.989,0.308
RandomForest,3,0.1,0.98,0.34,0.99,0.665,0.989,0.337
BaggingClassifierDT,3,0.15,0.945,0.375,0.954,0.665,0.989,0.16
RandomForest,3,0.5,0.853,0.471,0.859,0.665,0.99,0.066
BaggingClassifierDT,2,0.4,0.807,0.517,0.811,0.664,0.99,0.051
DecisionTree,3,0.25,0.841,0.481,0.847,0.664,0.99,0.062
ExtraTrees,3,0.25,0.928,0.392,0.937,0.664,0.99,0.128
BaggingClassifierDT,3,0.25,0.902,0.418,0.91,0.664,0.99,0.096
RandomForest,3,0.4,0.895,0.426,0.902,0.664,0.99,0.089
BaggingClassifierDT,4,0.25,0.908,0.411,0.916,0.664,0.99,0.101
RandomForest,2,0.4,0.88,0.439,0.887,0.663,0.99,0.079
BaggingClassifierDT,2,0.05,0.977,0.337,0.987,0.662,0.989,0.303
ExtraTrees,2,0.15,0.955,0.355,0.965,0.66,0.989,0.185
BaggingClassifierDT,2,0.25,0.894,0.419,0.902,0.66,0.99,0.088
ExtraTrees,2,0.4,0.862,0.452,0.868,0.66,0.99,0.069
RandomForest,2,0.5,0.838,0.477,0.843,0.66,0.99,0.059
RandomForest,3,0.3,0.935,0.376,0.944,0.66,0.989,0.133
BaggingClassifierDT,3,0.3,0.879,0.435,0.886,0.66,0.99,0.077
DecisionTree,4,0.15,0.894,0.419,0.902,0.66,0.99,0.087
DecisionTree,2,0.25,0.84,0.473,0.846,0.659,0.99,0.059
DecisionTree,2,0.15,0.894,0.414,0.901,0.658,0.99,0.085
ExtraTrees,3,0.5,0.833,0.477,0.839,0.658,0.99,0.057
BaggingClassifierDT,4,0.3,0.876,0.433,0.884,0.658,0.99,0.075
BaggingClassifierDT,5,0.3,0.883,0.426,0.89,0.658,0.99,0.078
DecisionTree,3,0.05,0.954,0.35,0.964,0.657,0.989,0.178
ExtraTrees,3,0.05,0.979,0.325,0.99,0.657,0.989,0.32
ExtraTrees,3,0.3,0.907,0.396,0.915,0.656,0.989,0.096
BaggingClassifierDT,3,0.4,0.823,0.483,0.828,0.656,0.99,0.053
RandomForest,4,0.4,0.889,0.415,0.896,0.656,0.99,0.081
RandomForest,5,0.5,0.851,0.455,0.858,0.656,0.99,0.062
BaggingClassifierDT,3,0.5,0.77,0.536,0.773,0.655,0.99,0.04
BaggingClassifierDT,4,0.15,0.947,0.354,0.957,0.655,0.989,0.157
BaggingClassifierDT,5,0.25,0.905,0.396,0.913,0.655,0.989,0.093
ExtraTrees,2,0.3,0.904,0.396,0.912,0.654,0.989,0.093
BaggingClassifierDT,5,0.4,0.826,0.476,0.832,0.654,0.99,0.053
RandomForest,2,0.15,0.967,0.33,0.977,0.653,0.989,0.226
BaggingClassifierDT,2,0.15,0.941,0.355,0.95,0.653,0.989,0.14
DecisionTree,4,0.1,0.923,0.375,0.932,0.653,0.989,0.111
ExtraTrees,3,0.4,0.862,0.436,0.869,0.652,0.99,0.067
RandomForest,4,0.3,0.935,0.358,0.945,0.652,0.989,0.128
RandomForest,2,0.3,0.919,0.375,0.927,0.651,0.989,0.106
ExtraTrees,2,0.5,0.83,0.465,0.836,0.651,0.99,0.053
DecisionTree,3,0.5,0.726,0.574,0.728,0.651,0.991,0.034
DecisionTree,5,0.25,0.83,0.465,0.836,0.651,0.99,0.053
BaggingClassifierDT,6,0.5,0.769,0.529,0.773,0.651,0.99,0.039
BaggingClassifierDT,2,0.5,0.761,0.535,0.765,0.65,0.99,0.038
ExtraTrees,4,0.3,0.912,0.38,0.921,0.65,0.989,0.1
DecisionTree,4,0.4,0.761,0.536,0.764,0.65,0.99,0.038
BaggingClassifierDT,6,0.25,0.908,0.385,0.916,0.65,0.989,0.093
DecisionTree,2,0.5,0.737,0.558,0.74,0.649,0.99,0.035
DecisionTree,3,0.4,0.766,0.529,0.769,0.649,0.99,0.039
RandomForest,3,0.05,0.984,0.301,0.995,0.648,0.989,0.358
BaggingClassifierDT,3,0.05,0.979,0.306,0.99,0.648,0.989,0.312
BaggingClassifierDT,4,0.5,0.765,0.524,0.769,0.647,0.99,0.038
DecisionTree,5,0.3,0.807,0.48,0.813,0.646,0.99,0.046
DecisionTree,6,0.05,0.955,0.326,0.965,0.646,0.989,0.171
ExtraTrees,4,0.15,0.957,0.324,0.967,0.645,0.989,0.175
DecisionTree,6,0.25,0.833,0.45,0.839,0.645,0.989,0.052
DecisionTree,2,0.3,0.816,0.467,0.822,0.644,0.99,0.047
