Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,4,0.3,0.801,0.514,0.805,0.66,0.99,0.048
ExtraTrees,4,0.3,0.84,0.471,0.846,0.659,0.99,0.065
ExtraTrees,5,0.3,0.857,0.451,0.863,0.657,0.99,0.074
RandomForest,4,0.3,0.852,0.455,0.858,0.656,0.99,0.071
DecisionTree,3,0.25,0.837,0.465,0.843,0.654,0.99,0.057
ExtraTrees,3,0.25,0.846,0.451,0.852,0.652,0.99,0.059
BaggingClassifierDT,4,0.3,0.823,0.473,0.829,0.651,0.99,0.053
RandomForest,5,0.3,0.874,0.42,0.881,0.651,0.989,0.08
BaggingClassifierDT,6,0.3,0.849,0.444,0.856,0.65,0.99,0.06
RandomForest,3,0.25,0.85,0.439,0.857,0.648,0.989,0.059
BaggingClassifierDT,5,0.3,0.841,0.449,0.847,0.648,0.99,0.056
ExtraTrees,5,0.25,0.891,0.39,0.899,0.645,0.989,0.079
DecisionTree,5,0.3,0.796,0.489,0.801,0.645,0.99,0.043
RandomForest,6,0.3,0.894,0.388,0.902,0.645,0.989,0.092
BaggingClassifierDT,3,0.25,0.848,0.433,0.855,0.644,0.989,0.058
BaggingClassifierDT,6,0.15,0.929,0.348,0.939,0.643,0.989,0.117
DecisionTree,5,0.15,0.884,0.392,0.892,0.642,0.989,0.072
ExtraTrees,6,0.3,0.874,0.401,0.882,0.642,0.989,0.074
DecisionTree,6,0.5,0.712,0.57,0.714,0.642,0.99,0.03
DecisionTree,5,0.05,0.953,0.319,0.963,0.641,0.989,0.157
DecisionTree,5,0.1,0.913,0.36,0.922,0.641,0.989,0.093
DecisionTree,6,0.15,0.881,0.394,0.889,0.641,0.989,0.07
ExtraTrees,3,0.15,0.91,0.361,0.919,0.64,0.989,0.084
RandomForest,5,0.25,0.9,0.369,0.909,0.639,0.989,0.083
ExtraTrees,6,0.15,0.927,0.34,0.937,0.639,0.989,0.126
RandomForest,6,0.4,0.845,0.426,0.852,0.639,0.989,0.058
ExtraTrees,6,0.4,0.824,0.448,0.831,0.639,0.989,0.052
ExtraTrees,5,0.15,0.915,0.35,0.924,0.637,0.989,0.105
BaggingClassifierDT,6,0.5,0.734,0.536,0.738,0.637,0.99,0.031
DecisionTree,3,0.15,0.903,0.361,0.912,0.636,0.989,0.076
ExtraTrees,5,0.05,0.969,0.292,0.98,0.636,0.988,0.235
BaggingClassifierDT,5,0.15,0.919,0.343,0.929,0.636,0.989,0.099
DecisionTree,5,0.25,0.844,0.419,0.851,0.635,0.989,0.049
ExtraTrees,5,0.5,0.772,0.493,0.776,0.635,0.989,0.038
RandomForest,6,0.15,0.943,0.317,0.953,0.635,0.988,0.158
BaggingClassifierDT,6,0.4,0.797,0.463,0.803,0.633,0.989,0.04
RandomForest,4,0.4,0.826,0.431,0.833,0.632,0.989,0.051
RandomForest,6,0.5,0.786,0.474,0.791,0.632,0.989,0.039
RandomForest,5,0.5,0.783,0.474,0.788,0.631,0.989,0.039
BaggingClassifierDT,6,0.25,0.868,0.386,0.876,0.631,0.989,0.059
DecisionTree,6,0.4,0.759,0.499,0.763,0.631,0.989,0.033
ExtraTrees,4,0.4,0.818,0.435,0.825,0.63,0.989,0.047
BaggingClassifierDT,5,0.25,0.879,0.373,0.887,0.63,0.989,0.059
RandomForest,5,0.15,0.926,0.323,0.936,0.629,0.988,0.117
ExtraTrees,4,0.15,0.933,0.313,0.943,0.628,0.988,0.114
DecisionTree,6,0.3,0.798,0.452,0.803,0.628,0.989,0.039
ExtraTrees,6,0.5,0.766,0.485,0.771,0.628,0.989,0.034
BaggingClassifierDT,3,0.15,0.912,0.332,0.922,0.627,0.988,0.079
BaggingClassifierDT,5,0.5,0.74,0.511,0.744,0.627,0.989,0.03
ExtraTrees,5,0.1,0.935,0.307,0.946,0.626,0.988,0.125
DecisionTree,4,0.15,0.907,0.333,0.916,0.625,0.988,0.075
DecisionTree,6,0.05,0.949,0.289,0.96,0.625,0.988,0.135
ExtraTrees,4,0.25,0.875,0.365,0.883,0.624,0.989,0.058
RandomForest,3,0.15,0.916,0.32,0.926,0.623,0.988,0.08
DecisionTree,4,0.25,0.855,0.383,0.863,0.623,0.989,0.05
BaggingClassifierDT,4,0.4,0.793,0.448,0.798,0.623,0.989,0.037
BaggingClassifierDT,5,0.05,0.971,0.263,0.982,0.623,0.988,0.212
RandomForest,4,0.25,0.881,0.355,0.889,0.622,0.988,0.063
BaggingClassifierDT,5,0.1,0.944,0.289,0.955,0.622,0.988,0.127
DecisionTree,5,0.5,0.706,0.535,0.709,0.622,0.989,0.026
DecisionTree,6,0.25,0.82,0.417,0.826,0.621,0.989,0.041
DecisionTree,4,0.1,0.94,0.289,0.95,0.62,0.988,0.11
RandomForest,4,0.15,0.944,0.286,0.955,0.62,0.988,0.132
RandomForest,5,0.05,0.975,0.254,0.987,0.62,0.988,0.248
BaggingClassifierDT,5,0.4,0.812,0.421,0.819,0.62,0.989,0.036
DecisionTree,3,0.05,0.96,0.267,0.971,0.619,0.988,0.134
DecisionTree,3,0.4,0.813,0.418,0.819,0.619,0.989,0.047
ExtraTrees,4,0.1,0.951,0.275,0.962,0.619,0.988,0.137
DecisionTree,5,0.4,0.776,0.457,0.781,0.619,0.989,0.031
ExtraTrees,3,0.4,0.829,0.401,0.836,0.618,0.989,0.051
BaggingClassifierDT,4,0.15,0.933,0.29,0.944,0.617,0.988,0.097
DecisionTree,4,0.4,0.773,0.455,0.779,0.617,0.989,0.033
ExtraTrees,3,0.1,0.945,0.277,0.955,0.616,0.988,0.102
RandomForest,3,0.4,0.836,0.389,0.843,0.616,0.989,0.049
BaggingClassifierDT,3,0.4,0.826,0.4,0.833,0.616,0.989,0.048
BaggingClassifierDT,6,0.05,0.974,0.246,0.986,0.616,0.988,0.228
ExtraTrees,3,0.05,0.964,0.255,0.975,0.615,0.988,0.149
DecisionTree,6,0.1,0.913,0.308,0.922,0.615,0.988,0.076
ExtraTrees,6,0.25,0.87,0.351,0.879,0.615,0.988,0.06
DecisionTree,3,0.1,0.935,0.281,0.946,0.614,0.988,0.085
RandomForest,5,0.4,0.843,0.377,0.851,0.614,0.988,0.044
BaggingClassifierDT,6,0.1,0.95,0.268,0.961,0.614,0.988,0.131
BaggingClassifierDT,4,0.25,0.878,0.34,0.886,0.613,0.988,0.054
RandomForest,6,0.25,0.885,0.331,0.894,0.613,0.988,0.069
RandomForest,3,0.5,0.801,0.418,0.807,0.612,0.989,0.033
ExtraTrees,6,0.05,0.969,0.242,0.981,0.611,0.988,0.21
ExtraTrees,3,0.5,0.791,0.423,0.797,0.61,0.989,0.029
BaggingClassifierDT,4,0.1,0.954,0.256,0.965,0.61,0.988,0.13
BaggingClassifierDT,3,0.1,0.943,0.264,0.954,0.609,0.988,0.093
DecisionTree,3,0.5,0.778,0.435,0.784,0.609,0.989,0.028
RandomForest,5,0.1,0.948,0.26,0.959,0.609,0.988,0.136
RandomForest,4,0.1,0.959,0.245,0.971,0.608,0.988,0.149
RandomForest,3,0.1,0.947,0.256,0.958,0.607,0.988,0.106
ExtraTrees,4,0.5,0.773,0.435,0.779,0.607,0.988,0.029
ExtraTrees,5,0.4,0.826,0.381,0.833,0.607,0.988,0.037
ExtraTrees,6,0.1,0.942,0.262,0.953,0.607,0.988,0.118
RandomForest,4,0.5,0.784,0.423,0.79,0.606,0.988,0.031
RandomForest,3,0.05,0.966,0.232,0.978,0.605,0.987,0.151
BaggingClassifierDT,3,0.05,0.966,0.232,0.977,0.605,0.987,0.141
BaggingClassifierDT,3,0.5,0.786,0.414,0.792,0.603,0.988,0.027
DecisionTree,4,0.5,0.749,0.452,0.753,0.603,0.989,0.024
ExtraTrees,4,0.05,0.97,0.219,0.982,0.601,0.987,0.173
RandomForest,6,0.05,0.977,0.212,0.989,0.601,0.987,0.244
DecisionTree,4,0.05,0.966,0.221,0.978,0.6,0.987,0.155
BaggingClassifierDT,4,0.5,0.764,0.43,0.769,0.6,0.988,0.026
RandomForest,6,0.1,0.957,0.226,0.969,0.598,0.987,0.147
ExtraTrees,3,0.3,0.899,0.281,0.909,0.595,0.988,0.059
DecisionTree,3,0.3,0.886,0.292,0.896,0.594,0.988,0.052
RandomForest,3,0.3,0.902,0.273,0.912,0.592,0.987,0.056
BaggingClassifierDT,4,0.05,0.972,0.194,0.985,0.59,0.987,0.168
RandomForest,4,0.05,0.974,0.189,0.987,0.588,0.987,0.174
BaggingClassifierDT,3,0.3,0.89,0.267,0.901,0.584,0.987,0.049
GradientBoosting,6,0.5,0.895,0.255,0.906,0.58,0.987,0.047
DecisionTree,2,0.5,0.85,0.299,0.859,0.579,0.987,0.031
ExtraTrees,2,0.5,0.854,0.295,0.864,0.579,0.987,0.032
RandomForest,2,0.5,0.863,0.283,0.872,0.578,0.987,0.032
ExtraTrees,2,0.3,0.92,0.215,0.931,0.573,0.987,0.051
GradientBoosting,5,0.5,0.902,0.231,0.913,0.572,0.986,0.045
KNeighbors,6,0.5,0.781,0.357,0.788,0.572,0.987,0.02
DecisionTree,2,0.3,0.917,0.214,0.928,0.571,0.987,0.049
RandomForest,2,0.3,0.921,0.207,0.932,0.57,0.987,0.05
BaggingClassifierDT,2,0.5,0.857,0.271,0.866,0.569,0.987,0.031
BaggingClassifierDT,2,0.3,0.92,0.204,0.931,0.567,0.986,0.048
GradientBoosting,5,0.4,0.943,0.17,0.955,0.563,0.986,0.064
KNeighbors,5,0.3,0.892,0.22,0.903,0.562,0.986,0.035
KNeighbors,5,0.5,0.78,0.333,0.787,0.56,0.986,0.017
GradientBoosting,3,0.4,0.942,0.161,0.954,0.558,0.986,0.062
KNeighbors,6,0.15,0.952,0.151,0.965,0.558,0.986,0.07
KNeighbors,6,0.4,0.843,0.263,0.852,0.558,0.986,0.022
KNeighbors,5,0.25,0.851,0.252,0.861,0.557,0.986,0.035
GradientBoosting,4,0.4,0.943,0.157,0.955,0.556,0.986,0.057
GradientBoosting,4,0.5,0.917,0.183,0.929,0.556,0.986,0.04
KNeighbors,6,0.25,0.912,0.189,0.924,0.556,0.986,0.039
GradientBoosting,6,0.3,0.96,0.138,0.973,0.556,0.986,0.08
KNeighbors,3,0.25,0.902,0.194,0.914,0.554,0.986,0.034
GradientBoosting,6,0.4,0.938,0.155,0.951,0.553,0.986,0.052
ExtraTrees,2,0.05,0.975,0.114,0.989,0.552,0.986,0.077
KNeighbors,2,0.5,0.712,0.386,0.718,0.552,0.986,0.013
GradientBoosting,5,0.3,0.961,0.129,0.975,0.552,0.986,0.076
KNeighbors,6,0.3,0.887,0.206,0.899,0.552,0.986,0.028
DecisionTree,2,0.05,0.974,0.115,0.987,0.551,0.986,0.07
KNeighbors,4,0.3,0.877,0.213,0.887,0.55,0.986,0.025
KNeighbors,4,0.5,0.666,0.43,0.67,0.55,0.986,0.015
KNeighbors,5,0.4,0.784,0.308,0.792,0.55,0.986,0.02
KNeighbors,4,0.4,0.795,0.294,0.804,0.549,0.986,0.02
AdaBoost,6,0.5,0.903,0.183,0.915,0.549,0.986,0.031
KNeighbors,3,0.15,0.89,0.194,0.902,0.548,0.985,0.057
RandomForest,2,0.05,0.976,0.104,0.99,0.547,0.986,0.075
BaggingClassifierDT,2,0.05,0.976,0.105,0.99,0.547,0.986,0.074
GradientBoosting,3,0.5,0.919,0.161,0.931,0.546,0.986,0.034
KNeighbors,4,0.15,0.901,0.18,0.913,0.546,0.986,0.049
GaussianNB,6,0.5,0.682,0.405,0.686,0.546,0.986,0.009
KNeighbors,4,0.05,0.974,0.101,0.988,0.545,0.985,0.1
GradientBoosting,5,0.25,0.971,0.105,0.985,0.545,0.985,0.082
GradientBoosting,4,0.3,0.965,0.11,0.979,0.544,0.985,0.073
GradientBoosting,2,0.5,0.938,0.131,0.951,0.541,0.985,0.039
KNeighbors,4,0.1,0.961,0.107,0.975,0.541,0.985,0.062
KNeighbors,5,0.15,0.951,0.118,0.965,0.541,0.985,0.05
GradientBoosting,6,0.25,0.97,0.098,0.984,0.541,0.985,0.077
KNeighbors,4,0.25,0.845,0.225,0.855,0.54,0.985,0.026
KNeighbors,5,0.05,0.978,0.087,0.992,0.54,0.985,0.101
KNeighbors,6,0.1,0.97,0.095,0.984,0.54,0.985,0.075
DecisionTree,2,0.4,0.941,0.124,0.954,0.539,0.985,0.032
KNeighbors,3,0.5,0.671,0.404,0.675,0.539,0.985,0.012
ExtraTrees,2,0.4,0.942,0.12,0.955,0.538,0.985,0.031
GaussianNB,3,0.4,0.877,0.187,0.888,0.538,0.985,0.027
GaussianNB,5,0.5,0.748,0.321,0.754,0.538,0.986,0.01
RandomForest,2,0.4,0.943,0.118,0.957,0.537,0.985,0.032
KNeighbors,3,0.1,0.898,0.165,0.909,0.537,0.985,0.067
DecisionTree,2,0.1,0.97,0.088,0.984,0.536,0.985,0.031
ExtraTrees,2,0.1,0.971,0.086,0.985,0.536,0.985,0.033
GaussianNB,4,0.4,0.824,0.238,0.834,0.536,0.985,0.021
KNeighbors,5,0.1,0.967,0.089,0.982,0.536,0.985,0.063
AdaBoost,5,0.5,0.911,0.149,0.924,0.536,0.985,0.026
ExtraTrees,2,0.15,0.972,0.083,0.986,0.535,0.985,0.043
KNeighbors,2,0.3,0.878,0.18,0.889,0.535,0.985,0.018
DecisionTree,2,0.15,0.97,0.083,0.985,0.534,0.985,0.04
AdaBoost,4,0.5,0.932,0.123,0.945,0.534,0.985,0.03
GaussianNB,4,0.5,0.801,0.257,0.81,0.534,0.985,0.013
KNeighbors,6,0.05,0.98,0.074,0.995,0.534,0.985,0.098
BaggingClassifierDT,2,0.4,0.943,0.108,0.957,0.533,0.985,0.028
GradientBoosting,3,0.3,0.968,0.083,0.983,0.533,0.985,0.059
GaussianNB,5,0.4,0.811,0.245,0.82,0.533,0.985,0.014
GradientBoosting,6,0.15,0.979,0.071,0.994,0.533,0.985,0.091
GaussianNB,6,0.4,0.792,0.264,0.801,0.533,0.985,0.011
RandomForest,2,0.1,0.972,0.077,0.987,0.532,0.985,0.032
BaggingClassifierDT,2,0.1,0.971,0.079,0.985,0.532,0.985,0.031
RandomForest,2,0.15,0.973,0.077,0.987,0.532,0.985,0.039
BaggingClassifierDT,2,0.15,0.971,0.077,0.986,0.532,0.985,0.034
GradientBoosting,2,0.3,0.966,0.085,0.98,0.532,0.985,0.054
KNeighbors,3,0.4,0.659,0.4,0.664,0.532,0.984,0.016
GradientBoosting,4,0.25,0.97,0.08,0.985,0.532,0.985,0.064
GradientBoosting,3,0.25,0.971,0.076,0.985,0.531,0.985,0.063
GaussianNB,3,0.5,0.823,0.225,0.833,0.529,0.985,0.02
GradientBoosting,4,0.15,0.978,0.065,0.993,0.529,0.985,0.075
AdaBoost,5,0.4,0.953,0.09,0.967,0.529,0.985,0.035
GradientBoosting,5,0.15,0.979,0.061,0.994,0.527,0.985,0.077
GaussianNB,5,0.3,0.866,0.177,0.877,0.527,0.985,0.015
AdaBoost,2,0.5,0.953,0.085,0.967,0.526,0.985,0.033
GaussianNB,6,0.3,0.867,0.174,0.879,0.526,0.985,0.013
KNeighbors,2,0.25,0.804,0.237,0.813,0.525,0.985,0.015
GaussianNB,2,0.4,0.914,0.123,0.927,0.525,0.985,0.024
AdaBoost,6,0.4,0.942,0.095,0.955,0.525,0.985,0.028
DecisionTree,2,0.25,0.969,0.063,0.984,0.524,0.985,0.046
KNeighbors,2,0.4,0.777,0.263,0.785,0.524,0.984,0.012
GaussianNB,3,0.3,0.882,0.154,0.894,0.524,0.985,0.017
AdaBoost,3,0.4,0.959,0.075,0.973,0.524,0.985,0.04
AdaBoost,3,0.5,0.937,0.098,0.951,0.524,0.985,0.025
AdaBoost,4,0.4,0.955,0.079,0.969,0.524,0.985,0.031
ExtraTrees,2,0.25,0.97,0.062,0.985,0.523,0.985,0.046
GaussianNB,4,0.3,0.902,0.131,0.914,0.523,0.985,0.017
SGD,6,0.5,0.81,0.226,0.819,0.523,0.985,0.011
RandomForest,2,0.25,0.971,0.058,0.986,0.522,0.985,0.046
BaggingClassifierDT,2,0.25,0.971,0.057,0.986,0.522,0.985,0.045
GradientBoosting,2,0.4,0.964,0.067,0.978,0.522,0.985,0.034
GradientBoosting,3,0.15,0.979,0.049,0.994,0.522,0.985,0.059
KNeighbors,3,0.3,0.583,0.458,0.585,0.522,0.984,0.016
GradientBoosting,5,0.1,0.982,0.046,0.997,0.522,0.985,0.07
GradientBoosting,6,0.1,0.982,0.048,0.997,0.522,0.985,0.071
GaussianNB,2,0.5,0.889,0.137,0.902,0.519,0.985,0.015
AdaBoost,6,0.3,0.965,0.058,0.98,0.519,0.985,0.033
GradientBoosting,4,0.1,0.981,0.04,0.996,0.518,0.985,0.057
GradientBoosting,6,0.05,0.983,0.035,0.999,0.517,0.985,0.058
AdaBoost,2,0.4,0.969,0.048,0.984,0.516,0.984,0.029
KNeighbors,3,0.05,0.938,0.081,0.952,0.516,0.984,0.065
GaussianNB,6,0.25,0.887,0.132,0.899,0.516,0.985,0.009
GradientBoosting,5,0.05,0.983,0.032,0.999,0.515,0.984,0.053
GradientBoosting,2,0.25,0.974,0.039,0.99,0.514,0.984,0.034
AdaBoost,2,0.3,0.972,0.04,0.987,0.514,0.984,0.029
GaussianNB,2,0.3,0.963,0.051,0.978,0.514,0.984,0.019
AdaBoost,4,0.3,0.972,0.04,0.988,0.514,0.984,0.029
KNeighbors,2,0.05,0.982,0.029,0.997,0.513,0.984,0.036
KNeighbors,2,0.15,0.893,0.12,0.905,0.513,0.984,0.029
SGD,2,0.5,0.833,0.18,0.844,0.512,0.886,0.009
GradientBoosting,3,0.05,0.983,0.026,0.999,0.512,0.984,0.043
GaussianNB,4,0.15,0.962,0.046,0.977,0.512,0.984,0.02
GaussianNB,4,0.25,0.915,0.095,0.929,0.512,0.984,0.011
GaussianNB,5,0.25,0.916,0.094,0.93,0.512,0.984,0.017
