Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
ExtraTrees,5,0.15,0.928,0.407,0.936,0.672,0.99,0.153
RandomForest,5,0.15,0.941,0.394,0.95,0.672,0.99,0.186
ExtraTrees,4,0.1,0.867,0.462,0.873,0.668,0.99,0.122
DecisionTree,5,0.15,0.886,0.442,0.893,0.668,0.99,0.086
DecisionTree,4,0.1,0.852,0.476,0.858,0.667,0.99,0.092
DecisionTree,4,0.05,0.881,0.437,0.889,0.663,0.99,0.131
DecisionTree,5,0.1,0.912,0.404,0.921,0.662,0.99,0.109
ExtraTrees,5,0.1,0.944,0.369,0.953,0.661,0.989,0.194
RandomForest,4,0.1,0.902,0.41,0.91,0.66,0.99,0.146
DecisionTree,5,0.05,0.943,0.368,0.952,0.66,0.989,0.169
ExtraTrees,4,0.05,0.886,0.425,0.894,0.659,0.99,0.147
RandomForest,4,0.25,0.827,0.483,0.833,0.658,0.99,0.067
ExtraTrees,5,0.25,0.864,0.445,0.871,0.658,0.99,0.103
BaggingClassifierDT,5,0.15,0.925,0.383,0.934,0.658,0.989,0.122
DecisionTree,6,0.05,0.948,0.356,0.958,0.657,0.989,0.167
ExtraTrees,5,0.05,0.957,0.348,0.967,0.657,0.989,0.246
RandomForest,5,0.4,0.813,0.494,0.818,0.656,0.99,0.062
RandomForest,4,0.05,0.921,0.382,0.93,0.656,0.989,0.167
BaggingClassifierDT,4,0.25,0.826,0.479,0.831,0.655,0.99,0.06
DecisionTree,4,0.25,0.787,0.517,0.791,0.654,0.99,0.049
ExtraTrees,4,0.25,0.81,0.494,0.815,0.654,0.99,0.061
RandomForest,5,0.1,0.956,0.342,0.966,0.654,0.989,0.231
RandomForest,5,0.25,0.879,0.419,0.886,0.653,0.989,0.114
RandomForest,5,0.05,0.966,0.33,0.976,0.653,0.989,0.277
BaggingClassifierDT,5,0.5,0.738,0.561,0.741,0.651,0.99,0.035
ExtraTrees,5,0.4,0.798,0.498,0.802,0.65,0.99,0.055
BaggingClassifierDT,4,0.05,0.919,0.371,0.928,0.65,0.989,0.152
BaggingClassifierDT,6,0.3,0.861,0.43,0.868,0.649,0.989,0.065
BaggingClassifierDT,5,0.1,0.947,0.34,0.957,0.649,0.989,0.161
DecisionTree,5,0.5,0.712,0.582,0.715,0.648,0.991,0.032
ExtraTrees,5,0.5,0.763,0.529,0.767,0.648,0.99,0.04
RandomForest,5,0.5,0.775,0.517,0.779,0.648,0.99,0.042
BaggingClassifierDT,5,0.3,0.841,0.448,0.848,0.648,0.99,0.056
BaggingClassifierDT,6,0.25,0.891,0.398,0.899,0.648,0.989,0.082
BaggingClassifierDT,4,0.1,0.897,0.389,0.905,0.647,0.989,0.118
DecisionTree,7,0.05,0.927,0.357,0.936,0.647,0.989,0.132
DecisionTree,3,0.05,0.852,0.433,0.859,0.646,0.989,0.11
ExtraTrees,6,0.3,0.869,0.417,0.876,0.646,0.989,0.073
RandomForest,6,0.3,0.893,0.39,0.901,0.646,0.989,0.092
BaggingClassifierDT,5,0.05,0.966,0.313,0.976,0.645,0.989,0.239
DecisionTree,4,0.15,0.812,0.469,0.817,0.643,0.989,0.061
ExtraTrees,4,0.15,0.828,0.451,0.834,0.643,0.989,0.083
ExtraTrees,3,0.05,0.853,0.427,0.859,0.643,0.989,0.109
DecisionTree,5,0.25,0.801,0.477,0.807,0.642,0.989,0.05
DecisionTree,6,0.25,0.823,0.455,0.829,0.642,0.989,0.049
BaggingClassifierDT,5,0.25,0.85,0.427,0.857,0.642,0.989,0.072
RandomForest,3,0.05,0.885,0.39,0.893,0.642,0.989,0.114
DecisionTree,6,0.15,0.89,0.387,0.898,0.642,0.989,0.076
BaggingClassifierDT,6,0.15,0.936,0.338,0.946,0.642,0.989,0.127
ExtraTrees,4,0.3,0.767,0.506,0.771,0.639,0.99,0.045
BaggingClassifierDT,5,0.4,0.776,0.498,0.78,0.639,0.99,0.041
DecisionTree,5,0.3,0.795,0.477,0.8,0.639,0.989,0.041
ExtraTrees,6,0.25,0.887,0.382,0.895,0.639,0.989,0.084
BaggingClassifierDT,6,0.4,0.779,0.492,0.784,0.638,0.99,0.04
DecisionTree,6,0.3,0.801,0.469,0.807,0.638,0.989,0.042
DecisionTree,5,0.4,0.734,0.533,0.738,0.636,0.99,0.034
RandomForest,6,0.25,0.918,0.345,0.927,0.636,0.989,0.117
BaggingClassifierDT,7,0.15,0.937,0.325,0.947,0.636,0.989,0.125
BaggingClassifierDT,4,0.3,0.788,0.476,0.794,0.635,0.989,0.044
RandomForest,4,0.3,0.793,0.471,0.799,0.635,0.989,0.048
BaggingClassifierDT,4,0.15,0.849,0.414,0.856,0.635,0.989,0.08
DecisionTree,4,0.3,0.745,0.519,0.749,0.634,0.99,0.036
RandomForest,4,0.15,0.848,0.413,0.855,0.634,0.989,0.096
BaggingClassifierDT,3,0.05,0.878,0.382,0.886,0.634,0.989,0.119
BaggingClassifierDT,6,0.1,0.958,0.299,0.968,0.634,0.988,0.18
