N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.802,0.357,0.809,0.583,0.987,0.026,,,,
1,0.784,0.417,0.79,0.603,0.988,0.029,,MeanAccuracy,0.77285,
2,0.801,0.429,0.808,0.618,0.989,0.036,,StdAccuracy,0.025409922105629,
3,0.748,0.345,0.754,0.55,0.986,0.012,,n,100,
4,0.772,0.429,0.777,0.603,0.988,0.028,,Error estándar,0.002540992210563,
5,0.732,0.524,0.735,0.629,0.99,0.029,,Valor crítico,1.96,(95%)
6,0.762,0.405,0.768,0.586,0.988,0.022,,Margen de error,0.004980344732703,
7,0.793,0.321,0.8,0.561,0.986,0.018,,,,
8,0.753,0.548,0.756,0.652,0.99,0.037,,,,
9,0.788,0.405,0.794,0.599,0.988,0.029,,MeanSpecificity,0.42573,
10,0.762,0.417,0.768,0.592,0.988,0.024,,StdSpecificity,0.059968317392679,
11,0.739,0.536,0.742,0.639,0.99,0.032,,n,100,
12,0.788,0.381,0.795,0.588,0.987,0.025,,Error estándar,0.005996831739268,
13,0.781,0.405,0.787,0.596,0.988,0.027,,Valor crítico,1.96,(95%)
14,0.722,0.417,0.727,0.572,0.987,0.016,,Margen de error,0.011753790208965,
15,0.795,0.369,0.802,0.586,0.987,0.026,,,,
16,0.803,0.417,0.809,0.613,0.988,0.035,,,,
17,0.772,0.452,0.777,0.615,0.989,0.031,,MeanROC_AUC,0.60206,
18,0.767,0.417,0.772,0.594,0.988,0.025,,StdROC_AUC,0.026108870739906,
19,0.755,0.44,0.76,0.6,0.988,0.025,,n,100,
20,0.752,0.405,0.757,0.581,0.987,0.02,,Error estándar,0.002610887073991,
21,0.79,0.512,0.795,0.653,0.99,0.044,,Valor crítico,1.96,(95%)
22,0.786,0.381,0.792,0.587,0.987,0.025,,Margen de error,0.005117338665022,
23,0.821,0.333,0.829,0.581,0.987,0.028,,,,
24,0.751,0.452,0.756,0.604,0.988,0.026,,,,
25,0.776,0.381,0.782,0.581,0.987,0.022,,,,
26,0.8,0.429,0.806,0.617,0.989,0.036,,,,
27,0.807,0.369,0.814,0.592,0.988,0.029,,,,
28,0.81,0.321,0.818,0.57,0.987,0.023,,,,
29,0.749,0.405,0.754,0.58,0.987,0.02,,,,
30,0.78,0.5,0.785,0.642,0.99,0.039,,,,
31,0.758,0.429,0.764,0.596,0.988,0.024,,,,
32,0.8,0.393,0.807,0.6,0.988,0.03,,,,
33,0.78,0.393,0.786,0.589,0.988,0.025,,,,
34,0.739,0.5,0.743,0.622,0.989,0.029,,,,
35,0.792,0.488,0.797,0.643,0.99,0.042,,,,
36,0.753,0.452,0.758,0.605,0.988,0.026,,,,
37,0.805,0.31,0.813,0.561,0.986,0.019,,,,
38,0.77,0.333,0.777,0.555,0.986,0.015,,,,
39,0.811,0.321,0.819,0.57,0.987,0.023,,,,
40,0.756,0.488,0.761,0.624,0.989,0.031,,,,
41,0.775,0.429,0.78,0.604,0.988,0.028,,,,
42,0.794,0.381,0.801,0.591,0.988,0.027,,,,
43,0.766,0.536,0.77,0.653,0.99,0.04,,,,
44,0.75,0.488,0.754,0.621,0.989,0.03,,,,
45,0.76,0.429,0.765,0.597,0.988,0.025,,,,
46,0.767,0.357,0.774,0.565,0.987,0.017,,,,
47,0.776,0.429,0.782,0.605,0.988,0.029,,,,
48,0.743,0.476,0.748,0.612,0.989,0.027,,,,
49,0.775,0.369,0.781,0.575,0.987,0.021,,,,
50,0.753,0.476,0.758,0.617,0.989,0.029,,,,
51,0.778,0.44,0.784,0.612,0.989,0.031,,,,
52,0.762,0.429,0.768,0.598,0.988,0.025,,,,
53,0.703,0.512,0.706,0.609,0.989,0.023,,,,
54,0.78,0.405,0.786,0.595,0.988,0.027,,,,
55,0.719,0.452,0.723,0.588,0.988,0.019,,,,
56,0.762,0.476,0.767,0.621,0.989,0.031,,,,
57,0.805,0.345,0.812,0.579,0.987,0.025,,,,
58,0.786,0.488,0.791,0.64,0.99,0.04,,,,
59,0.804,0.345,0.811,0.578,0.987,0.024,,,,
60,0.749,0.452,0.754,0.603,0.988,0.025,,,,
61,0.781,0.417,0.787,0.602,0.988,0.028,,,,
62,0.777,0.452,0.782,0.617,0.989,0.032,,,,
63,0.775,0.298,0.783,0.54,0.986,0.011,,,,
64,0.767,0.488,0.771,0.63,0.989,0.034,,,,
65,0.773,0.393,0.779,0.586,0.987,0.023,,,,
66,0.846,0.381,0.853,0.617,0.988,0.046,,,,
67,0.799,0.405,0.806,0.605,0.988,0.032,,,,
