N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.712,0.417,0.716,0.566,0.987,0.014,,,,
1,0.72,0.44,0.724,0.582,0.988,0.018,,MeanAccuracy,0.7151,
2,0.697,0.548,0.7,0.624,0.99,0.025,,StdAccuracy,0.027575607725201,
3,0.7,0.488,0.703,0.596,0.988,0.02,,n,100,
4,0.763,0.464,0.768,0.616,0.989,0.03,,Error estándar,0.00275756077252,
5,0.723,0.488,0.727,0.607,0.989,0.024,,Valor crítico,1.96,(95%)
6,0.677,0.655,0.678,0.666,0.992,0.031,,Margen de error,0.005404819114139,
7,0.69,0.595,0.691,0.643,0.991,0.028,,,,
8,0.75,0.44,0.755,0.598,0.988,0.024,,,,
9,0.753,0.44,0.759,0.599,0.988,0.025,,MeanSpecificity,0.49788,
10,0.731,0.452,0.735,0.594,0.988,0.021,,StdSpecificity,0.072273789205082,
11,0.717,0.488,0.721,0.604,0.989,0.023,,n,100,
12,0.678,0.548,0.68,0.614,0.989,0.022,,Error estándar,0.007227378920508,
13,0.679,0.476,0.682,0.579,0.988,0.015,,Valor crítico,1.96,(95%)
14,0.712,0.417,0.717,0.567,0.987,0.014,,Margen de error,0.014165662684196,
15,0.701,0.548,0.704,0.626,0.99,0.026,,,,
16,0.719,0.452,0.723,0.588,0.988,0.019,,,,
17,0.677,0.536,0.68,0.608,0.989,0.021,,MeanROC_AUC,0.60827,
18,0.747,0.345,0.753,0.549,0.986,0.012,,StdROC_AUC,0.030112870163685,
19,0.707,0.464,0.711,0.588,0.988,0.018,,n,100,
20,0.691,0.524,0.694,0.609,0.989,0.022,,Error estándar,0.003011287016369,
21,0.7,0.5,0.704,0.602,0.989,0.021,,Valor crítico,1.96,(95%)
22,0.72,0.571,0.723,0.647,0.99,0.032,,Margen de error,0.005902122552082,
23,0.731,0.488,0.735,0.611,0.989,0.025,,,,
24,0.695,0.619,0.696,0.658,0.991,0.032,,,,
25,0.713,0.44,0.718,0.579,0.987,0.017,,,,
26,0.753,0.393,0.759,0.576,0.987,0.019,,,,
27,0.715,0.5,0.719,0.609,0.989,0.024,,,,
28,0.708,0.429,0.712,0.57,0.987,0.015,,,,
29,0.72,0.405,0.725,0.565,0.987,0.014,,,,
30,0.708,0.429,0.713,0.571,0.987,0.015,,,,
31,0.71,0.536,0.713,0.624,0.99,0.026,,,,
32,0.699,0.679,0.699,0.689,0.993,0.038,,,,
33,0.697,0.56,0.7,0.63,0.99,0.026,,,,
34,0.756,0.5,0.76,0.63,0.989,0.033,,,,
35,0.683,0.619,0.684,0.652,0.991,0.029,,,,
36,0.732,0.524,0.735,0.63,0.99,0.03,,,,
37,0.754,0.548,0.758,0.653,0.99,0.038,,,,
38,0.671,0.536,0.674,0.605,0.989,0.02,,,,
39,0.72,0.452,0.724,0.588,0.988,0.02,,,,
40,0.713,0.536,0.716,0.626,0.99,0.027,,,,
41,0.669,0.452,0.673,0.563,0.987,0.012,,,,
42,0.724,0.405,0.729,0.567,0.987,0.015,,,,
43,0.692,0.548,0.694,0.621,0.99,0.024,,,,
44,0.723,0.595,0.725,0.66,0.991,0.035,,,,
45,0.748,0.488,0.752,0.62,0.989,0.029,,,,
46,0.729,0.464,0.733,0.599,0.988,0.022,,,,
47,0.711,0.5,0.714,0.607,0.989,0.023,,,,
48,0.75,0.536,0.754,0.645,0.99,0.035,,,,
49,0.716,0.536,0.719,0.627,0.99,0.028,,,,
50,0.722,0.464,0.726,0.595,0.988,0.021,,,,
51,0.698,0.429,0.703,0.566,0.987,0.014,,,,
52,0.761,0.429,0.766,0.598,0.988,0.025,,,,
53,0.732,0.452,0.736,0.594,0.988,0.022,,,,
54,0.715,0.393,0.721,0.557,0.986,0.012,,,,
55,0.72,0.5,0.724,0.612,0.989,0.025,,,,
56,0.702,0.56,0.705,0.632,0.99,0.027,,,,
57,0.709,0.524,0.712,0.618,0.989,0.025,,,,
58,0.743,0.512,0.747,0.629,0.989,0.031,,,,
59,0.7,0.571,0.702,0.637,0.99,0.028,,,,
60,0.699,0.488,0.703,0.595,0.988,0.02,,,,
61,0.667,0.583,0.669,0.626,0.99,0.023,,,,
62,0.732,0.417,0.737,0.577,0.987,0.018,,,,
63,0.7,0.476,0.704,0.59,0.988,0.019,,,,
64,0.722,0.512,0.725,0.619,0.989,0.026,,,,
65,0.706,0.536,0.709,0.622,0.989,0.025,,,,
66,0.721,0.595,0.723,0.659,0.991,0.035,,,,
67,0.676,0.536,0.679,0.607,0.989,0.02,,,,
68,0.689,0.548,0.692,0.62,0.989,0.024,,,,
69,0.679,0.548,0.681,0.614,0.989,0.022,,,,
70,0.706,0.44,0.71,0.575,0.987,0.016,,,,
71,0.82,0.298,0.828,0.563,0.986,0.022,,,,
72,0.683,0.571,0.685,0.628,0.99,0.025,,,,
73,0.725,0.583,0.728,0.655,0.991,0.034,,,,
74,0.757,0.321,0.764,0.543,0.986,0.011,,,,
75,0.756,0.429,0.761,0.595,0.988,0.024,,,,
76,0.801,0.298,0.81,0.554,0.986,0.017,,,,
77,0.688,0.512,0.69,0.601,0.989,0.02,,,,
78,0.697,0.464,0.7,0.582,0.988,0.017,,,,
79,0.723,0.464,0.727,0.596,0.988,0.021,,,,
80,0.691,0.595,0.693,0.644,0.991,0.029,,,,
81,0.714,0.56,0.717,0.638,0.99,0.03,,,,
82,0.721,0.512,0.724,0.618,0.989,0.026,,,,
83,0.709,0.369,0.715,0.542,0.986,0.009,,,,
84,0.731,0.548,0.734,0.641,0.99,0.032,,,,
85,0.729,0.607,0.731,0.669,0.991,0.038,,,,
86,0.699,0.571,0.701,0.636,0.99,0.028,,,,
87,0.719,0.524,0.722,0.623,0.989,0.027,,,,
88,0.777,0.488,0.782,0.635,0.989,0.037,,,,
89,0.714,0.488,0.717,0.603,0.989,0.022,,,,
90,0.677,0.524,0.68,0.602,0.989,0.019,,,,
91,0.708,0.524,0.711,0.617,0.989,0.025,,,,
92,0.737,0.417,0.742,0.579,0.987,0.019,,,,
93,0.725,0.476,0.729,0.603,0.988,0.023,,,,
94,0.677,0.488,0.68,0.584,0.988,0.016,,,,
95,0.67,0.619,0.671,0.645,0.991,0.027,,,,
96,0.706,0.56,0.709,0.634,0.99,0.028,,,,
97,0.723,0.464,0.728,0.596,0.988,0.021,,,,
98,0.697,0.5,0.7,0.6,0.989,0.02,,,,
99,0.733,0.488,0.737,0.612,0.989,0.026,,,,
