N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.915,0.274,0.925,0.6,0.987,0.069,,,,
1,0.901,0.333,0.91,0.622,0.988,0.072,,MeanAccuracy,0.90632,
2,0.902,0.274,0.912,0.593,0.987,0.057,,StdAccuracy,0.012314793600144,
3,0.921,0.226,0.932,0.579,0.987,0.059,,n,100,
4,0.917,0.31,0.927,0.618,0.988,0.082,,Error estándar,0.001231479360014,
5,0.893,0.286,0.903,0.594,0.987,0.053,,Valor crítico,1.96,(95%)
6,0.901,0.274,0.911,0.593,0.987,0.056,,Margen de error,0.002413699545628,
7,0.897,0.262,0.908,0.585,0.987,0.049,,,,
8,0.875,0.5,0.881,0.691,0.991,0.088,,,,
9,0.922,0.274,0.933,0.603,0.987,0.077,,MeanSpecificity,0.2952,
10,0.909,0.214,0.92,0.567,0.986,0.045,,StdSpecificity,0.053539374729863,
11,0.919,0.274,0.93,0.602,0.987,0.074,,n,100,
12,0.919,0.226,0.93,0.578,0.987,0.057,,Error estándar,0.005353937472986,
13,0.916,0.369,0.925,0.647,0.989,0.099,,Valor crítico,1.96,(95%)
14,0.888,0.357,0.897,0.627,0.988,0.067,,Margen de error,0.010493717447053,
15,0.902,0.298,0.912,0.605,0.988,0.063,,,,
16,0.913,0.286,0.923,0.604,0.988,0.07,,,,
17,0.897,0.19,0.908,0.549,0.986,0.029,,MeanROC_AUC,0.60579,
18,0.871,0.262,0.881,0.572,0.987,0.034,,StdROC_AUC,0.02479462918383,
19,0.903,0.381,0.911,0.646,0.989,0.087,,n,100,
20,0.904,0.262,0.914,0.588,0.987,0.055,,Error estándar,0.002479462918383,
21,0.889,0.262,0.899,0.581,0.987,0.044,,Valor crítico,1.96,(95%)
22,0.913,0.238,0.924,0.581,0.987,0.055,,Margen de error,0.004859747320031,
23,0.9,0.369,0.909,0.639,0.989,0.081,,,,
24,0.909,0.25,0.919,0.585,0.987,0.055,,,,
25,0.889,0.226,0.9,0.563,0.986,0.034,,,,
26,0.897,0.298,0.907,0.602,0.988,0.059,,,,
27,0.898,0.31,0.907,0.608,0.988,0.063,,,,
28,0.913,0.321,0.922,0.622,0.988,0.081,,,,
29,0.895,0.31,0.905,0.607,0.988,0.06,,,,
30,0.928,0.286,0.939,0.612,0.988,0.09,,,,
31,0.906,0.345,0.915,0.63,0.988,0.08,,,,
32,0.906,0.321,0.916,0.618,0.988,0.074,,,,
33,0.894,0.262,0.905,0.583,0.987,0.047,,,,
34,0.893,0.286,0.903,0.594,0.987,0.053,,,,
35,0.893,0.357,0.902,0.629,0.989,0.071,,,,
36,0.905,0.238,0.916,0.577,0.987,0.048,,,,
37,0.91,0.333,0.919,0.626,0.988,0.081,,,,
38,0.917,0.333,0.927,0.63,0.988,0.09,,,,
39,0.914,0.25,0.925,0.588,0.987,0.06,,,,
40,0.898,0.274,0.908,0.591,0.987,0.053,,,,
41,0.917,0.298,0.927,0.612,0.988,0.078,,,,
42,0.893,0.333,0.902,0.618,0.988,0.065,,,,
43,0.901,0.333,0.91,0.622,0.988,0.072,,,,
44,0.912,0.345,0.921,0.633,0.989,0.087,,,,
45,0.902,0.274,0.913,0.593,0.987,0.057,,,,
46,0.899,0.393,0.907,0.65,0.989,0.085,,,,
47,0.881,0.321,0.89,0.606,0.988,0.053,,,,
48,0.908,0.262,0.918,0.59,0.987,0.058,,,,
49,0.888,0.321,0.897,0.609,0.988,0.058,,,,
50,0.917,0.262,0.928,0.595,0.987,0.067,,,,
51,0.907,0.226,0.918,0.572,0.986,0.047,,,,
52,0.91,0.31,0.92,0.615,0.988,0.074,,,,
53,0.918,0.345,0.927,0.636,0.989,0.094,,,,
54,0.919,0.25,0.93,0.59,0.987,0.065,,,,
55,0.916,0.298,0.926,0.612,0.988,0.077,,,,
56,0.915,0.321,0.925,0.623,0.988,0.084,,,,
57,0.91,0.238,0.921,0.58,0.987,0.053,,,,
58,0.909,0.333,0.918,0.626,0.988,0.08,,,,
59,0.915,0.238,0.926,0.582,0.987,0.057,,,,
60,0.916,0.262,0.927,0.594,0.987,0.066,,,,
61,0.896,0.321,0.905,0.613,0.988,0.064,,,,
62,0.888,0.31,0.898,0.604,0.988,0.055,,,,
63,0.903,0.262,0.914,0.588,0.987,0.054,,,,
64,0.91,0.333,0.919,0.626,0.988,0.081,,,,
65,0.909,0.262,0.919,0.591,0.987,0.059,,,,
66,0.917,0.31,0.927,0.618,0.988,0.083,,,,
67,0.901,0.381,0.909,0.645,0.989,0.084,,,,
68,0.927,0.262,0.938,0.6,0.987,0.079,,,,
