N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.795,0.439,0.799,0.619,0.992,0.024,,,,
1,0.822,0.509,0.825,0.667,0.994,0.038,,MeanAccuracy,0.81076,
2,0.814,0.614,0.816,0.715,0.995,0.047,,StdAccuracy,0.016037909634817,
3,0.818,0.579,0.821,0.7,0.994,0.045,,n,100,
4,0.824,0.386,0.829,0.607,0.992,0.025,,Error estándar,0.001603790963482,
5,0.803,0.509,0.806,0.658,0.993,0.033,,Valor crítico,1.96,(95%)
6,0.818,0.474,0.822,0.648,0.993,0.033,,Margen de error,0.003143430288424,
7,0.815,0.509,0.818,0.664,0.994,0.036,,,,
8,0.823,0.456,0.827,0.641,0.993,0.033,,,,
9,0.834,0.596,0.836,0.716,0.995,0.052,,MeanSpecificity,0.50299,
10,0.84,0.421,0.845,0.633,0.993,0.034,,StdSpecificity,0.077297600809528,
11,0.785,0.491,0.789,0.64,0.993,0.027,,n,100,
12,0.799,0.509,0.802,0.655,0.993,0.032,,Error estándar,0.007729760080953,
13,0.803,0.474,0.806,0.64,0.993,0.029,,Valor crítico,1.96,(95%)
14,0.815,0.561,0.818,0.69,0.994,0.042,,Margen de error,0.015150329758668,
15,0.821,0.596,0.823,0.71,0.995,0.047,,,,
16,0.826,0.509,0.83,0.669,0.994,0.04,,,,
17,0.811,0.386,0.815,0.601,0.992,0.022,,MeanROC_AUC,0.65857,
18,0.816,0.544,0.819,0.682,0.994,0.04,,StdROC_AUC,0.037012216110551,
19,0.821,0.368,0.826,0.597,0.992,0.023,,n,100,
20,0.836,0.526,0.839,0.683,0.994,0.045,,Error estándar,0.003701221611055,
21,0.809,0.561,0.812,0.687,0.994,0.04,,Valor crítico,1.96,(95%)
22,0.801,0.579,0.803,0.691,0.994,0.039,,Margen de error,0.007254394357668,
23,0.813,0.526,0.816,0.671,0.994,0.037,,,,
24,0.831,0.439,0.836,0.637,0.993,0.033,,,,
25,0.814,0.456,0.818,0.637,0.993,0.03,,,,
26,0.805,0.614,0.807,0.71,0.995,0.044,,,,
27,0.815,0.439,0.819,0.629,0.993,0.029,,,,
28,0.795,0.649,0.796,0.723,0.995,0.044,,,,
29,0.805,0.526,0.808,0.667,0.994,0.035,,,,
30,0.825,0.456,0.829,0.643,0.993,0.033,,,,
31,0.806,0.491,0.809,0.65,0.993,0.032,,,,
32,0.804,0.333,0.809,0.571,0.991,0.015,,,,
33,0.81,0.509,0.813,0.661,0.993,0.035,,,,
34,0.782,0.509,0.785,0.647,0.993,0.028,,,,
35,0.808,0.544,0.811,0.677,0.994,0.038,,,,
36,0.817,0.509,0.82,0.664,0.994,0.037,,,,
37,0.843,0.368,0.848,0.608,0.992,0.028,,,,
38,0.808,0.632,0.81,0.721,0.995,0.047,,,,
39,0.794,0.719,0.795,0.757,0.996,0.05,,,,
40,0.769,0.456,0.772,0.614,0.992,0.021,,,,
41,0.779,0.596,0.781,0.689,0.994,0.035,,,,
42,0.812,0.456,0.816,0.636,0.993,0.03,,,,
43,0.815,0.561,0.818,0.69,0.994,0.042,,,,
44,0.784,0.509,0.787,0.648,0.993,0.028,,,,
45,0.81,0.509,0.813,0.661,0.993,0.035,,,,
46,0.829,0.509,0.833,0.671,0.994,0.041,,,,
47,0.808,0.561,0.811,0.686,0.994,0.04,,,,
48,0.797,0.526,0.8,0.663,0.994,0.033,,,,
49,0.804,0.509,0.807,0.658,0.993,0.033,,,,
50,0.796,0.491,0.799,0.645,0.993,0.029,,,,
51,0.805,0.491,0.808,0.65,0.993,0.032,,,,
52,0.806,0.614,0.808,0.711,0.995,0.044,,,,
53,0.798,0.561,0.8,0.681,0.994,0.037,,,,
54,0.81,0.368,0.815,0.592,0.992,0.02,,,,
55,0.783,0.596,0.785,0.691,0.994,0.036,,,,
56,0.839,0.474,0.843,0.659,0.993,0.04,,,,
57,0.832,0.404,0.837,0.62,0.992,0.03,,,,
58,0.818,0.386,0.822,0.604,0.992,0.024,,,,
59,0.818,0.474,0.821,0.647,0.993,0.033,,,,
60,0.802,0.404,0.807,0.605,0.992,0.022,,,,
61,0.812,0.544,0.815,0.68,0.994,0.039,,,,
62,0.795,0.596,0.797,0.697,0.995,0.039,,,,
63,0.846,0.474,0.85,0.662,0.993,0.043,,,,
64,0.811,0.579,0.813,0.696,0.994,0.042,,,,
65,0.796,0.544,0.799,0.672,0.994,0.035,,,,
66,0.827,0.474,0.831,0.652,0.993,0.036,,,,
67,0.795,0.439,0.799,0.619,0.992,0.024,,,,
68,0.831,0.456,0.835,0.646,0.993,0.035,,,,
69,0.829,0.579,0.832,0.705,0.995,0.049,,,,
70,0.839,0.421,0.844,0.632,0.993,0.034,,,,
71,0.799,0.439,0.803,0.621,0.992,0.025,,,,
72,0.81,0.281,0.815,0.548,0.991,0.011,,,,
73,0.799,0.544,0.802,0.673,0.994,0.035,,,,
74,0.845,0.561,0.848,0.705,0.994,0.053,,,,
75,0.839,0.596,0.842,0.719,0.995,0.055,,,,
76,0.808,0.439,0.812,0.625,0.993,0.027,,,,
77,0.809,0.526,0.812,0.669,0.994,0.036,,,,
78,0.832,0.544,0.836,0.69,0.994,0.046,,,,
79,0.813,0.474,0.817,0.645,0.993,0.032,,,,
80,0.825,0.491,0.829,0.66,0.993,0.037,,,,
81,0.81,0.474,0.814,0.644,0.993,0.031,,,,
82,0.807,0.544,0.809,0.677,0.994,0.037,,,,
83,0.818,0.456,0.822,0.639,0.993,0.031,,,,
84,0.806,0.439,0.81,0.624,0.993,0.027,,,,
85,0.785,0.491,0.788,0.64,0.993,0.027,,,,
86,0.802,0.561,0.804,0.683,0.994,0.038,,,,
87,0.822,0.509,0.826,0.667,0.994,0.038,,,,
88,0.825,0.351,0.83,0.591,0.992,0.022,,,,
89,0.78,0.667,0.781,0.724,0.995,0.042,,,,
90,0.787,0.474,0.79,0.632,0.993,0.026,,,,
91,0.815,0.456,0.819,0.638,0.993,0.031,,,,
92,0.816,0.474,0.819,0.647,0.993,0.033,,,,
93,0.783,0.561,0.785,0.673,0.994,0.033,,,,
94,0.814,0.404,0.818,0.611,0.992,0.025,,,,
95,0.805,0.474,0.809,0.641,0.993,0.03,,,,
96,0.785,0.526,0.788,0.657,0.994,0.03,,,,
97,0.799,0.632,0.801,0.716,0.995,0.044,,,,
98,0.818,0.439,0.822,0.63,0.993,0.03,,,,
99,0.801,0.596,0.803,0.7,0.995,0.041,,,,
