N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.574,0.667,0.572,0.62,0.991,0.017,,,,
1,0.706,0.643,0.707,0.675,0.992,0.036,,MeanAccuracy,0.66255,
2,0.679,0.548,0.681,0.615,0.989,0.022,,StdAccuracy,0.058618502095147,
3,0.76,0.405,0.766,0.585,0.988,0.022,,n,100,
4,0.699,0.536,0.702,0.619,0.989,0.024,,Error estándar,0.005861850209515,
5,0.648,0.536,0.65,0.593,0.989,0.016,,Valor crítico,1.96,(95%)
6,0.643,0.512,0.646,0.579,0.988,0.014,,Margen de error,0.011489226410649,
7,0.663,0.607,0.664,0.636,0.99,0.025,,,,
8,0.719,0.631,0.72,0.675,0.992,0.038,,,,
9,0.667,0.536,0.669,0.603,0.989,0.019,,MeanSpecificity,0.53822,
10,0.719,0.512,0.723,0.617,0.989,0.026,,StdSpecificity,0.076742199945827,
11,0.631,0.56,0.632,0.596,0.989,0.016,,n,100,
12,0.679,0.607,0.68,0.644,0.991,0.027,,Error estándar,0.007674219994583,
13,0.602,0.607,0.602,0.605,0.989,0.016,,Valor crítico,1.96,(95%)
14,0.642,0.524,0.644,0.584,0.988,0.015,,Margen de error,0.015041471189382,
15,0.716,0.5,0.72,0.61,0.989,0.024,,,,
16,0.703,0.488,0.706,0.597,0.988,0.02,,,,
17,0.724,0.464,0.729,0.596,0.988,0.022,,MeanROC_AUC,0.60138,
18,0.738,0.274,0.745,0.509,0.984,0.002,,StdROC_AUC,0.030556052153908,
19,0.545,0.619,0.544,0.581,0.989,0.011,,n,100,
20,0.661,0.619,0.662,0.64,0.991,0.025,,Error estándar,0.003055605215391,
21,0.657,0.56,0.658,0.609,0.989,0.02,,Valor crítico,1.96,(95%)
22,0.663,0.607,0.664,0.636,0.99,0.025,,Margen de error,0.005988986222166,
23,0.722,0.417,0.727,0.572,0.987,0.016,,,,
24,0.681,0.583,0.683,0.633,0.99,0.026,,,,
25,0.669,0.524,0.671,0.597,0.989,0.018,,,,
26,0.633,0.583,0.634,0.609,0.989,0.018,,,,
27,0.59,0.643,0.589,0.616,0.99,0.018,,,,
28,0.64,0.583,0.641,0.612,0.99,0.019,,,,
29,0.579,0.536,0.58,0.558,0.987,0.009,,,,
30,0.712,0.488,0.716,0.602,0.988,0.022,,,,
31,0.684,0.512,0.687,0.599,0.989,0.019,,,,
32,0.718,0.5,0.721,0.611,0.989,0.024,,,,
33,0.618,0.571,0.619,0.595,0.989,0.015,,,,
34,0.771,0.524,0.775,0.649,0.99,0.039,,,,
35,0.633,0.655,0.632,0.644,0.991,0.024,,,,
36,0.745,0.321,0.752,0.537,0.986,0.009,,,,
37,0.752,0.357,0.759,0.558,0.986,0.014,,,,
38,0.69,0.56,0.692,0.626,0.99,0.025,,,,
39,0.695,0.548,0.698,0.623,0.99,0.025,,,,
40,0.738,0.464,0.743,0.603,0.988,0.024,,,,
41,0.626,0.643,0.625,0.634,0.991,0.022,,,,
42,0.688,0.476,0.691,0.584,0.988,0.017,,,,
43,0.647,0.583,0.649,0.616,0.99,0.02,,,,
44,0.648,0.476,0.65,0.563,0.987,0.011,,,,
45,0.56,0.5,0.561,0.53,0.986,0.004,,,,
46,0.714,0.607,0.716,0.661,0.991,0.034,,,,
47,0.651,0.619,0.652,0.635,0.991,0.024,,,,
48,0.756,0.476,0.761,0.619,0.989,0.03,,,,
49,0.608,0.595,0.608,0.602,0.989,0.016,,,,
50,0.667,0.583,0.669,0.626,0.99,0.023,,,,
51,0.616,0.583,0.617,0.6,0.989,0.016,,,,
52,0.572,0.452,0.574,0.513,0.985,0.002,,,,
53,0.67,0.512,0.672,0.592,0.988,0.017,,,,
54,0.678,0.548,0.68,0.614,0.989,0.022,,,,
55,0.638,0.536,0.639,0.588,0.988,0.015,,,,
56,0.653,0.583,0.654,0.619,0.99,0.021,,,,
57,0.513,0.619,0.511,0.565,0.988,0.008,,,,
58,0.652,0.476,0.655,0.565,0.987,0.012,,,,
59,0.639,0.536,0.641,0.588,0.988,0.015,,,,
60,0.579,0.702,0.576,0.639,0.992,0.02,,,,
61,0.611,0.548,0.612,0.58,0.988,0.013,,,,
62,0.709,0.452,0.713,0.583,0.988,0.018,,,,
63,0.666,0.583,0.668,0.625,0.99,0.023,,,,
64,0.616,0.571,0.616,0.594,0.989,0.015,,,,
65,0.671,0.536,0.673,0.604,0.989,0.02,,,,
66,0.67,0.5,0.673,0.586,0.988,0.016,,,,
67,0.557,0.619,0.556,0.587,0.989,0.012,,,,
68,0.723,0.488,0.727,0.608,0.989,0.024,,,,
69,0.77,0.452,0.775,0.614,0.989,0.03,,,,
70,0.703,0.488,0.706,0.597,0.988,0.02,,,,
71,0.609,0.548,0.61,0.579,0.988,0.013,,,,
72,0.716,0.5,0.719,0.61,0.989,0.024,,,,
73,0.745,0.488,0.749,0.618,0.989,0.028,,,,
74,0.643,0.464,0.646,0.555,0.987,0.01,,,,
75,0.604,0.619,0.604,0.612,0.99,0.017,,,,
76,0.66,0.56,0.662,0.611,0.989,0.02,,,,
77,0.701,0.488,0.704,0.596,0.988,0.02,,,,
78,0.649,0.44,0.652,0.546,0.986,0.008,,,,
79,0.689,0.56,0.691,0.625,0.99,0.025,,,,
80,0.587,0.571,0.587,0.579,0.988,0.012,,,,
81,0.709,0.488,0.713,0.6,0.988,0.021,,,,
82,0.589,0.643,0.588,0.615,0.99,0.017,,,,
83,0.702,0.512,0.705,0.609,0.989,0.022,,,,
84,0.682,0.44,0.686,0.563,0.987,0.012,,,,
85,0.66,0.536,0.662,0.599,0.989,0.018,,,,
86,0.768,0.5,0.772,0.636,0.99,0.036,,,,
87,0.61,0.631,0.609,0.62,0.99,0.019,,,,
88,0.56,0.726,0.558,0.642,0.992,0.02,,,,
89,0.667,0.524,0.67,0.597,0.989,0.018,,,,
90,0.639,0.56,0.641,0.6,0.989,0.017,,,,
91,0.554,0.643,0.553,0.598,0.99,0.014,,,,
92,0.823,0.429,0.829,0.629,0.989,0.044,,,,
93,0.631,0.607,0.631,0.619,0.99,0.02,,,,
94,0.684,0.5,0.687,0.594,0.988,0.018,,,,
95,0.653,0.548,0.655,0.601,0.989,0.018,,,,
96,0.682,0.5,0.685,0.592,0.988,0.018,,,,
97,0.588,0.619,0.588,0.603,0.99,0.016,,,,
98,0.705,0.417,0.71,0.563,0.987,0.013,,,,
99,0.567,0.488,0.568,0.528,0.986,0.004,,,,
