N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.696,0.5,0.7,0.6,0.989,0.02,,,,
1,0.636,0.631,0.636,0.633,0.991,0.023,,MeanAccuracy,0.67192,
2,0.734,0.536,0.737,0.636,0.99,0.031,,StdAccuracy,0.049714473635843,
3,0.739,0.607,0.741,0.674,0.991,0.04,,n,100,
4,0.682,0.524,0.684,0.604,0.989,0.02,,Error estándar,0.004971447363584,
5,0.627,0.548,0.628,0.588,0.988,0.015,,Valor crítico,1.96,(95%)
6,0.671,0.56,0.673,0.616,0.989,0.022,,Margen de error,0.009744036832625,
7,0.662,0.5,0.665,0.582,0.988,0.015,,,,
8,0.708,0.571,0.711,0.641,0.99,0.03,,,,
9,0.66,0.631,0.66,0.646,0.991,0.026,,MeanSpecificity,0.56564,
10,0.682,0.595,0.684,0.639,0.99,0.027,,StdSpecificity,0.06929085528598,
11,0.758,0.44,0.763,0.602,0.988,0.026,,n,100,
12,0.687,0.5,0.69,0.595,0.988,0.019,,Error estándar,0.006929085528598,
13,0.617,0.524,0.619,0.571,0.988,0.012,,Valor crítico,1.96,(95%)
14,0.673,0.679,0.673,0.676,0.992,0.033,,Margen de error,0.013581007636052,
15,0.685,0.583,0.687,0.635,0.99,0.026,,,,
16,0.643,0.524,0.645,0.585,0.988,0.015,,,,
17,0.71,0.536,0.713,0.624,0.99,0.026,,MeanROC_AUC,0.61957,
18,0.611,0.583,0.611,0.597,0.989,0.015,,StdROC_AUC,0.028235036262192,
19,0.593,0.643,0.592,0.617,0.99,0.018,,n,100,
20,0.692,0.655,0.693,0.674,0.992,0.034,,Error estándar,0.002823503626219,
21,0.701,0.536,0.704,0.62,0.989,0.025,,Valor crítico,1.96,(95%)
22,0.722,0.607,0.723,0.665,0.991,0.036,,Margen de error,0.00553406710739,
23,0.668,0.631,0.669,0.65,0.991,0.028,,,,
24,0.706,0.476,0.709,0.593,0.988,0.019,,,,
25,0.659,0.476,0.662,0.569,0.987,0.013,,,,
26,0.658,0.512,0.66,0.586,0.988,0.016,,,,
27,0.661,0.571,0.662,0.617,0.99,0.021,,,,
28,0.639,0.56,0.64,0.6,0.989,0.017,,,,
29,0.664,0.524,0.666,0.595,0.989,0.018,,,,
30,0.69,0.512,0.693,0.602,0.989,0.02,,,,
31,0.669,0.643,0.67,0.656,0.991,0.029,,,,
32,0.685,0.56,0.687,0.623,0.99,0.024,,,,
33,0.751,0.417,0.756,0.586,0.988,0.021,,,,
34,0.707,0.595,0.709,0.652,0.991,0.032,,,,
35,0.666,0.607,0.667,0.637,0.991,0.025,,,,
36,0.657,0.631,0.658,0.644,0.991,0.026,,,,
37,0.649,0.619,0.649,0.634,0.991,0.024,,,,
38,0.64,0.56,0.641,0.6,0.989,0.017,,,,
39,0.643,0.536,0.645,0.59,0.988,0.016,,,,
40,0.661,0.619,0.662,0.64,0.991,0.025,,,,
41,0.702,0.536,0.705,0.62,0.989,0.025,,,,
42,0.551,0.714,0.549,0.631,0.992,0.018,,,,
43,0.662,0.583,0.664,0.623,0.99,0.023,,,,
44,0.709,0.512,0.712,0.612,0.989,0.024,,,,
45,0.631,0.631,0.631,0.631,0.991,0.022,,,,
46,0.728,0.583,0.731,0.657,0.991,0.035,,,,
47,0.717,0.607,0.719,0.663,0.991,0.035,,,,
48,0.654,0.643,0.654,0.649,0.991,0.026,,,,
49,0.695,0.5,0.698,0.599,0.988,0.02,,,,
50,0.654,0.655,0.654,0.654,0.991,0.027,,,,
51,0.79,0.464,0.795,0.63,0.989,0.037,,,,
52,0.595,0.655,0.594,0.624,0.991,0.019,,,,
53,0.7,0.583,0.702,0.642,0.99,0.029,,,,
54,0.639,0.607,0.639,0.623,0.99,0.021,,,,
55,0.63,0.595,0.631,0.613,0.99,0.019,,,,
56,0.733,0.548,0.736,0.642,0.99,0.032,,,,
57,0.741,0.524,0.745,0.634,0.99,0.032,,,,
58,0.749,0.44,0.754,0.597,0.988,0.024,,,,
59,0.741,0.56,0.744,0.652,0.99,0.036,,,,
60,0.611,0.512,0.613,0.562,0.987,0.01,,,,
61,0.682,0.655,0.682,0.669,0.992,0.032,,,,
62,0.624,0.643,0.623,0.633,0.991,0.022,,,,
63,0.602,0.595,0.602,0.599,0.989,0.015,,,,
64,0.681,0.667,0.681,0.674,0.992,0.033,,,,
65,0.658,0.429,0.662,0.545,0.986,0.008,,,,
66,0.623,0.607,0.623,0.615,0.99,0.019,,,,
67,0.676,0.536,0.678,0.607,0.989,0.02,,,,
68,0.732,0.619,0.734,0.677,0.992,0.04,,,,
69,0.593,0.667,0.592,0.629,0.991,0.02,,,,
70,0.668,0.512,0.67,0.591,0.988,0.017,,,,
71,0.609,0.631,0.609,0.62,0.99,0.019,,,,
72,0.745,0.429,0.75,0.589,0.988,0.022,,,,
73,0.774,0.393,0.78,0.587,0.988,0.024,,,,
74,0.633,0.595,0.633,0.614,0.99,0.019,,,,
75,0.756,0.5,0.76,0.63,0.989,0.032,,,,
76,0.647,0.619,0.648,0.633,0.991,0.023,,,,
77,0.7,0.512,0.703,0.607,0.989,0.022,,,,
78,0.524,0.69,0.521,0.606,0.99,0.014,,,,
79,0.63,0.56,0.631,0.595,0.989,0.016,,,,
80,0.768,0.512,0.772,0.642,0.99,0.037,,,,
81,0.725,0.5,0.729,0.614,0.989,0.025,,,,
82,0.707,0.452,0.711,0.582,0.988,0.017,,,,
83,0.592,0.571,0.592,0.582,0.988,0.012,,,,
84,0.69,0.524,0.692,0.608,0.989,0.021,,,,
85,0.662,0.548,0.664,0.606,0.989,0.019,,,,
86,0.642,0.69,0.641,0.666,0.992,0.028,,,,
87,0.711,0.5,0.715,0.607,0.989,0.023,,,,
88,0.568,0.655,0.567,0.611,0.99,0.016,,,,
89,0.628,0.667,0.627,0.647,0.991,0.024,,,,
90,0.68,0.536,0.682,0.609,0.989,0.021,,,,
91,0.649,0.583,0.65,0.617,0.99,0.02,,,,
92,0.61,0.631,0.61,0.62,0.99,0.019,,,,
93,0.661,0.619,0.662,0.64,0.991,0.025,,,,
94,0.686,0.548,0.688,0.618,0.989,0.023,,,,
95,0.625,0.5,0.627,0.564,0.987,0.011,,,,
96,0.71,0.524,0.713,0.619,0.989,0.025,,,,
97,0.639,0.643,0.639,0.641,0.991,0.024,,,,
98,0.691,0.452,0.695,0.574,0.987,0.015,,,,
99,0.697,0.536,0.7,0.618,0.989,0.024,,,,
