N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.799,0.31,0.807,0.558,0.986,0.018,,,,
1,0.8,0.476,0.806,0.641,0.99,0.043,,MeanAccuracy,0.80915,
2,0.781,0.381,0.787,0.584,0.987,0.024,,StdAccuracy,0.051400069763738,
3,0.829,0.381,0.836,0.608,0.988,0.038,,n,100,
4,0.78,0.417,0.786,0.601,0.988,0.028,,Error estándar,0.005140006976374,
5,0.786,0.417,0.792,0.604,0.988,0.03,,Valor crítico,1.96,(95%)
6,0.8,0.476,0.805,0.641,0.99,0.042,,Margen de error,0.010074413673693,
7,0.768,0.429,0.773,0.601,0.988,0.027,,,,
8,0.795,0.393,0.802,0.597,0.988,0.029,,,,
9,0.775,0.464,0.78,0.622,0.989,0.033,,MeanSpecificity,0.36492,
10,0.793,0.405,0.8,0.602,0.988,0.03,,StdSpecificity,0.116701092756259,
11,0.768,0.369,0.774,0.572,0.987,0.019,,n,100,
12,0.799,0.44,0.804,0.622,0.989,0.037,,Error estándar,0.011670109275626,
13,0.81,0.345,0.817,0.581,0.987,0.026,,Valor crítico,1.96,(95%)
14,0.944,0.107,0.957,0.532,0.985,0.035,,Margen de error,0.022873414180227,
15,0.829,0.298,0.838,0.568,0.987,0.024,,,,
16,0.763,0.405,0.769,0.587,0.988,0.022,,,,
17,0.762,0.405,0.767,0.586,0.988,0.022,,MeanROC_AUC,0.59063,
18,0.771,0.5,0.776,0.638,0.99,0.037,,StdROC_AUC,0.036449953236034,
19,0.833,0.286,0.842,0.564,0.986,0.023,,n,100,
20,0.768,0.5,0.772,0.636,0.99,0.036,,Error estándar,0.003644995323603,
21,0.789,0.44,0.795,0.618,0.989,0.034,,Valor crítico,1.96,(95%)
22,0.813,0.25,0.822,0.536,0.985,0.012,,Margen de error,0.007144190834263,
23,0.775,0.464,0.78,0.622,0.989,0.033,,,,
24,0.79,0.452,0.795,0.624,0.989,0.036,,,,
25,0.95,0.036,0.965,0.5,0.984,0.001,,,,
26,0.788,0.476,0.793,0.635,0.989,0.039,,,,
27,0.776,0.393,0.782,0.587,0.988,0.024,,,,
28,0.809,0.44,0.815,0.628,0.989,0.041,,,,
29,0.788,0.345,0.795,0.57,0.987,0.02,,,,
30,0.794,0.369,0.801,0.585,0.987,0.025,,,,
31,0.947,0.107,0.961,0.534,0.985,0.039,,,,
32,0.792,0.417,0.798,0.607,0.988,0.031,,,,
33,0.78,0.417,0.786,0.601,0.988,0.028,,,,
34,0.775,0.512,0.779,0.645,0.99,0.039,,,,
35,0.799,0.369,0.806,0.588,0.987,0.027,,,,
36,0.787,0.345,0.795,0.57,0.987,0.02,,,,
37,0.802,0.393,0.809,0.601,0.988,0.031,,,,
38,0.787,0.298,0.795,0.546,0.986,0.013,,,,
39,0.789,0.476,0.794,0.635,0.989,0.039,,,,
40,0.822,0.381,0.829,0.605,0.988,0.036,,,,
41,0.789,0.381,0.796,0.588,0.988,0.026,,,,
42,0.786,0.393,0.792,0.593,0.988,0.027,,,,
43,0.76,0.56,0.764,0.662,0.991,0.041,,,,
44,0.805,0.369,0.813,0.591,0.988,0.029,,,,
45,0.963,0.048,0.978,0.513,0.984,0.021,,,,
46,0.805,0.381,0.812,0.597,0.988,0.03,,,,
47,0.777,0.476,0.782,0.629,0.989,0.035,,,,
48,0.781,0.488,0.786,0.637,0.99,0.038,,,,
49,0.8,0.357,0.807,0.582,0.987,0.025,,,,
50,0.781,0.345,0.788,0.567,0.987,0.019,,,,
51,0.771,0.524,0.775,0.649,0.99,0.039,,,,
52,0.958,0.048,0.973,0.51,0.984,0.015,,,,
53,0.808,0.345,0.815,0.58,0.987,0.026,,,,
54,0.785,0.369,0.792,0.581,0.987,0.023,,,,
55,0.782,0.333,0.789,0.561,0.986,0.017,,,,
56,0.822,0.31,0.831,0.57,0.987,0.024,,,,
57,0.749,0.405,0.755,0.58,0.987,0.02,,,,
58,0.792,0.333,0.799,0.566,0.987,0.02,,,,
59,0.788,0.405,0.795,0.6,0.988,0.029,,,,
60,0.832,0.25,0.842,0.546,0.986,0.017,,,,
61,0.791,0.369,0.798,0.584,0.987,0.025,,,,
62,0.849,0.286,0.858,0.572,0.987,0.029,,,,
63,0.784,0.405,0.79,0.597,0.988,0.028,,,,
64,0.789,0.44,0.795,0.618,0.989,0.034,,,,
65,0.76,0.429,0.766,0.597,0.988,0.025,,,,
66,0.792,0.405,0.799,0.602,0.988,0.03,,,,
67,0.796,0.31,0.804,0.557,0.986,0.017,,,,
68,0.95,0.095,0.964,0.53,0.985,0.037,,,,
69,0.815,0.381,0.822,0.601,0.988,0.033,,,,
70,0.791,0.44,0.796,0.618,0.989,0.034,,,,
71,0.79,0.476,0.796,0.636,0.989,0.039,,,,
72,0.804,0.464,0.81,0.637,0.989,0.042,,,,
73,0.786,0.405,0.792,0.599,0.988,0.028,,,,
74,0.799,0.286,0.807,0.547,0.986,0.014,,,,
75,0.821,0.381,0.828,0.605,0.988,0.036,,,,
76,0.909,0.107,0.922,0.515,0.984,0.01,,,,
77,0.848,0.31,0.856,0.583,0.987,0.033,,,,
78,0.946,0.119,0.96,0.539,0.985,0.044,,,,
79,0.784,0.44,0.79,0.615,0.989,0.032,,,,
80,0.776,0.345,0.783,0.564,0.987,0.018,,,,
81,0.795,0.357,0.802,0.579,0.987,0.024,,,,
82,0.839,0.333,0.847,0.59,0.987,0.034,,,,
83,0.856,0.286,0.865,0.576,0.987,0.032,,,,
84,0.784,0.464,0.789,0.627,0.989,0.036,,,,
85,0.766,0.31,0.773,0.541,0.986,0.011,,,,
86,0.761,0.524,0.765,0.644,0.99,0.037,,,,
87,0.773,0.56,0.776,0.668,0.991,0.044,,,,
88,0.793,0.393,0.799,0.596,0.988,0.028,,,,
89,0.789,0.5,0.793,0.647,0.99,0.042,,,,
90,0.829,0.298,0.837,0.567,0.987,0.024,,,,
91,0.79,0.31,0.798,0.554,0.986,0.016,,,,
92,0.957,0.06,0.971,0.515,0.984,0.022,,,,
93,0.962,0.083,0.977,0.53,0.985,0.048,,,,
94,0.784,0.488,0.789,0.638,0.99,0.039,,,,
95,0.798,0.417,0.805,0.611,0.988,0.033,,,,
96,0.794,0.381,0.801,0.591,0.988,0.027,,,,
97,0.86,0.274,0.87,0.572,0.987,0.031,,,,
98,0.78,0.44,0.785,0.613,0.989,0.031,,,,
99,0.786,0.417,0.792,0.604,0.988,0.03,,,,
