N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.929,0.25,0.94,0.595,0.987,0.078,,,,
1,0.901,0.202,0.912,0.557,0.986,0.035,,MeanAccuracy,0.90605,
2,0.93,0.25,0.941,0.596,0.987,0.08,,StdAccuracy,0.018237144358244,
3,0.9,0.226,0.911,0.568,0.986,0.041,,n,100,
4,0.922,0.226,0.933,0.58,0.987,0.06,,Error estándar,0.001823714435824,
5,0.927,0.167,0.94,0.553,0.986,0.044,,Valor crítico,1.96,(95%)
6,0.921,0.202,0.932,0.567,0.986,0.051,,Margen de error,0.003574480294216,
7,0.908,0.202,0.919,0.561,0.986,0.04,,,,
8,0.875,0.286,0.885,0.585,0.987,0.041,,,,
9,0.893,0.345,0.902,0.624,0.988,0.068,,MeanSpecificity,0.26922,
10,0.922,0.262,0.933,0.597,0.987,0.073,,StdSpecificity,0.049267478567961,
11,0.897,0.214,0.908,0.561,0.986,0.036,,n,100,
12,0.915,0.321,0.924,0.623,0.988,0.083,,Error estándar,0.004926747856796,
13,0.889,0.262,0.899,0.581,0.987,0.044,,Valor crítico,1.96,(95%)
14,0.918,0.202,0.929,0.566,0.986,0.048,,Margen de error,0.00965642579932,
15,0.887,0.286,0.896,0.591,0.987,0.048,,,,
16,0.85,0.226,0.86,0.543,0.986,0.018,,,,
17,0.913,0.274,0.923,0.598,0.987,0.066,,MeanROC_AUC,0.59277,
18,0.881,0.214,0.892,0.553,0.986,0.027,,StdROC_AUC,0.025570206384491,
19,0.864,0.262,0.874,0.568,0.986,0.03,,n,100,
20,0.906,0.393,0.914,0.654,0.989,0.093,,Error estándar,0.002557020638449,
21,0.911,0.202,0.922,0.562,0.986,0.042,,Valor crítico,1.96,(95%)
22,0.9,0.298,0.91,0.604,0.988,0.061,,Margen de error,0.00501176045136,
23,0.895,0.298,0.905,0.601,0.988,0.057,,,,
24,0.923,0.25,0.934,0.592,0.987,0.07,,,,
25,0.921,0.31,0.931,0.62,0.988,0.088,,,,
26,0.915,0.238,0.926,0.582,0.987,0.057,,,,
27,0.886,0.286,0.896,0.591,0.987,0.048,,,,
28,0.874,0.25,0.884,0.567,0.986,0.032,,,,
29,0.899,0.31,0.909,0.609,0.988,0.064,,,,
30,0.899,0.31,0.908,0.609,0.988,0.064,,,,
31,0.917,0.31,0.927,0.618,0.988,0.083,,,,
32,0.914,0.31,0.924,0.617,0.988,0.079,,,,
33,0.918,0.298,0.928,0.613,0.988,0.08,,,,
34,0.921,0.31,0.931,0.62,0.988,0.087,,,,
35,0.928,0.31,0.938,0.624,0.988,0.098,,,,
36,0.917,0.262,0.928,0.595,0.987,0.067,,,,
37,0.922,0.286,0.933,0.609,0.988,0.081,,,,
38,0.93,0.345,0.94,0.642,0.989,0.114,,,,
39,0.901,0.286,0.911,0.599,0.987,0.059,,,,
40,0.895,0.286,0.905,0.595,0.987,0.054,,,,
41,0.89,0.167,0.902,0.534,0.985,0.019,,,,
42,0.921,0.286,0.931,0.608,0.988,0.079,,,,
43,0.915,0.131,0.928,0.529,0.985,0.021,,,,
44,0.934,0.202,0.946,0.574,0.986,0.066,,,,
45,0.909,0.31,0.919,0.614,0.988,0.074,,,,
46,0.917,0.214,0.928,0.571,0.986,0.051,,,,
47,0.912,0.262,0.922,0.592,0.987,0.062,,,,
48,0.886,0.286,0.896,0.591,0.987,0.048,,,,
49,0.889,0.286,0.899,0.592,0.987,0.05,,,,
50,0.911,0.262,0.921,0.592,0.987,0.061,,,,
51,0.892,0.31,0.902,0.606,0.988,0.058,,,,
52,0.93,0.262,0.941,0.602,0.987,0.084,,,,
53,0.877,0.226,0.887,0.557,0.986,0.028,,,,
54,0.898,0.298,0.908,0.603,0.988,0.06,,,,
55,0.903,0.321,0.912,0.617,0.988,0.07,,,,
56,0.926,0.25,0.937,0.594,0.987,0.074,,,,
57,0.917,0.262,0.927,0.595,0.987,0.067,,,,
58,0.906,0.238,0.917,0.577,0.987,0.049,,,,
59,0.912,0.345,0.921,0.633,0.989,0.087,,,,
60,0.927,0.214,0.938,0.576,0.987,0.061,,,,
61,0.899,0.298,0.909,0.603,0.988,0.06,,,,
62,0.916,0.262,0.927,0.594,0.987,0.066,,,,
63,0.925,0.202,0.937,0.57,0.986,0.055,,,,
64,0.883,0.286,0.893,0.589,0.987,0.046,,,,
65,0.904,0.369,0.912,0.641,0.989,0.084,,,,
66,0.929,0.274,0.94,0.607,0.988,0.087,,,,
67,0.917,0.345,0.926,0.636,0.989,0.093,,,,
68,0.917,0.333,0.926,0.63,0.988,0.089,,,,
69,0.889,0.238,0.9,0.569,0.986,0.038,,,,
70,0.938,0.262,0.949,0.605,0.988,0.097,,,,
71,0.924,0.25,0.935,0.592,0.987,0.071,,,,
72,0.871,0.31,0.88,0.595,0.987,0.044,,,,
73,0.921,0.274,0.932,0.603,0.987,0.076,,,,
74,0.915,0.286,0.925,0.605,0.988,0.072,,,,
75,0.913,0.333,0.922,0.628,0.988,0.084,,,,
76,0.886,0.226,0.896,0.561,0.986,0.033,,,,
77,0.88,0.202,0.891,0.547,0.986,0.024,,,,
78,0.908,0.25,0.919,0.585,0.987,0.055,,,,
79,0.949,0.226,0.96,0.593,0.987,0.102,,,,
80,0.886,0.262,0.897,0.579,0.987,0.042,,,,
81,0.884,0.25,0.894,0.572,0.987,0.038,,,,
82,0.893,0.381,0.901,0.641,0.989,0.077,,,,
83,0.916,0.274,0.926,0.6,0.987,0.07,,,,
84,0.885,0.214,0.896,0.555,0.986,0.03,,,,
85,0.933,0.179,0.945,0.562,0.986,0.055,,,,
86,0.928,0.298,0.938,0.618,0.988,0.093,,,,
87,0.9,0.333,0.91,0.621,0.988,0.071,,,,
88,0.873,0.262,0.883,0.573,0.987,0.035,,,,
