N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.626,0.69,0.625,0.658,0.992,0.026,,,,
1,0.65,0.643,0.65,0.646,0.991,0.026,,MeanAccuracy,0.67166,
2,0.648,0.5,0.651,0.575,0.988,0.013,,StdAccuracy,0.04741206000949,
3,0.657,0.512,0.66,0.586,0.988,0.016,,n,100,
4,0.629,0.476,0.631,0.554,0.987,0.009,,Error estándar,0.004741206000949,
5,0.551,0.56,0.551,0.555,0.987,0.008,,Valor crítico,1.96,(95%)
6,0.719,0.548,0.722,0.635,0.99,0.029,,Margen de error,0.00929276376186,
7,0.633,0.548,0.634,0.591,0.989,0.015,,,,
8,0.661,0.524,0.663,0.593,0.988,0.017,,,,
9,0.615,0.44,0.618,0.529,0.985,0.005,,MeanSpecificity,0.526,
10,0.626,0.548,0.627,0.588,0.988,0.015,,StdSpecificity,0.054040015102915,
11,0.656,0.524,0.658,0.591,0.988,0.016,,n,100,
12,0.745,0.417,0.751,0.584,0.988,0.02,,Error estándar,0.005404001510291,
13,0.716,0.571,0.719,0.645,0.99,0.031,,Valor crítico,1.96,(95%)
14,0.624,0.548,0.625,0.586,0.988,0.014,,Margen de error,0.010591842960171,
15,0.775,0.452,0.78,0.616,0.989,0.032,,,,
16,0.718,0.595,0.72,0.658,0.991,0.034,,,,
17,0.643,0.476,0.646,0.561,0.987,0.011,,MeanROC_AUC,0.6,
18,0.654,0.512,0.656,0.584,0.988,0.015,,StdROC_AUC,0.029188000855478,
19,0.655,0.524,0.657,0.591,0.988,0.016,,n,100,
20,0.704,0.512,0.707,0.609,0.989,0.023,,Error estándar,0.002918800085548,
21,0.693,0.512,0.696,0.604,0.989,0.021,,Valor crítico,1.96,(95%)
22,0.617,0.583,0.617,0.6,0.989,0.016,,Margen de error,0.005720848167674,
23,0.719,0.595,0.721,0.658,0.991,0.034,,,,
24,0.697,0.488,0.7,0.594,0.988,0.019,,,,
25,0.476,0.619,0.474,0.546,0.987,0.006,,,,
26,0.621,0.524,0.622,0.573,0.988,0.012,,,,
27,0.657,0.595,0.658,0.627,0.99,0.023,,,,
28,0.738,0.548,0.741,0.644,0.99,0.034,,,,
29,0.727,0.536,0.73,0.633,0.99,0.03,,,,
30,0.726,0.524,0.729,0.626,0.989,0.028,,,,
31,0.626,0.536,0.627,0.581,0.988,0.014,,,,
32,0.699,0.536,0.701,0.618,0.989,0.024,,,,
33,0.67,0.5,0.673,0.587,0.988,0.016,,,,
34,0.684,0.5,0.687,0.593,0.988,0.018,,,,
35,0.752,0.44,0.757,0.599,0.988,0.024,,,,
36,0.627,0.488,0.63,0.559,0.987,0.01,,,,
37,0.64,0.595,0.641,0.618,0.99,0.02,,,,
38,0.704,0.452,0.708,0.58,0.988,0.017,,,,
39,0.67,0.536,0.673,0.604,0.989,0.02,,,,
40,0.712,0.512,0.715,0.614,0.989,0.024,,,,
41,0.671,0.56,0.673,0.616,0.989,0.022,,,,
42,0.646,0.536,0.647,0.592,0.988,0.016,,,,
43,0.651,0.536,0.653,0.594,0.989,0.017,,,,
44,0.681,0.44,0.685,0.563,0.987,0.012,,,,
45,0.648,0.524,0.65,0.587,0.988,0.015,,,,
46,0.643,0.5,0.645,0.573,0.988,0.013,,,,
47,0.725,0.56,0.728,0.644,0.99,0.032,,,,
48,0.718,0.571,0.72,0.646,0.99,0.032,,,,
49,0.716,0.548,0.719,0.633,0.99,0.029,,,,
50,0.686,0.56,0.688,0.624,0.99,0.024,,,,
51,0.627,0.429,0.63,0.529,0.985,0.005,,,,
52,0.74,0.488,0.745,0.616,0.989,0.027,,,,
53,0.618,0.536,0.619,0.578,0.988,0.013,,,,
54,0.738,0.5,0.741,0.621,0.989,0.028,,,,
55,0.665,0.5,0.668,0.584,0.988,0.016,,,,
56,0.654,0.512,0.656,0.584,0.988,0.015,,,,
57,0.721,0.488,0.725,0.606,0.989,0.023,,,,
58,0.764,0.512,0.768,0.64,0.99,0.036,,,,
59,0.732,0.417,0.737,0.577,0.987,0.018,,,,
60,0.658,0.452,0.662,0.557,0.987,0.01,,,,
61,0.652,0.583,0.653,0.618,0.99,0.021,,,,
62,0.668,0.619,0.669,0.644,0.991,0.027,,,,
63,0.641,0.583,0.642,0.612,0.99,0.019,,,,
64,0.657,0.524,0.659,0.591,0.988,0.016,,,,
65,0.689,0.524,0.692,0.608,0.989,0.021,,,,
66,0.608,0.536,0.609,0.572,0.988,0.011,,,,
67,0.703,0.44,0.707,0.574,0.987,0.015,,,,
68,0.679,0.548,0.682,0.615,0.989,0.022,,,,
69,0.618,0.536,0.62,0.578,0.988,0.013,,,,
70,0.638,0.607,0.638,0.623,0.99,0.021,,,,
71,0.672,0.536,0.674,0.605,0.989,0.02,,,,
72,0.653,0.536,0.655,0.596,0.989,0.017,,,,
73,0.733,0.56,0.736,0.648,0.99,0.034,,,,
74,0.645,0.619,0.646,0.632,0.99,0.023,,,,
75,0.725,0.44,0.73,0.585,0.988,0.019,,,,
76,0.744,0.452,0.749,0.601,0.988,0.024,,,,
77,0.658,0.44,0.662,0.551,0.986,0.009,,,,
78,0.663,0.488,0.666,0.577,0.988,0.014,,,,
79,0.598,0.655,0.597,0.626,0.991,0.019,,,,
80,0.711,0.536,0.714,0.625,0.99,0.027,,,,
