N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.618,0.474,0.619,0.546,0.991,0.005,,,,
1,0.624,0.491,0.626,0.559,0.991,0.007,,MeanAccuracy,0.6373,
2,0.626,0.684,0.626,0.655,0.995,0.017,,StdAccuracy,0.021316044130507,
3,0.602,0.579,0.602,0.59,0.992,0.01,,n,100,
4,0.628,0.456,0.629,0.543,0.991,0.005,,Error estándar,0.002131604413051,
5,0.633,0.456,0.635,0.546,0.991,0.005,,Valor crítico,1.96,(95%)
6,0.688,0.544,0.689,0.617,0.993,0.016,,Margen de error,0.004177944649579,
7,0.634,0.439,0.636,0.537,0.99,0.004,,,,
8,0.655,0.579,0.656,0.618,0.993,0.014,,,,
9,0.607,0.509,0.608,0.559,0.991,0.006,,MeanSpecificity,0.54417,
10,0.618,0.614,0.619,0.616,0.993,0.013,,StdSpecificity,0.06902803631844,
11,0.649,0.456,0.651,0.553,0.991,0.006,,n,100,
12,0.626,0.544,0.627,0.585,0.992,0.01,,Error estándar,0.006902803631844,
13,0.622,0.596,0.622,0.609,0.993,0.012,,Valor crítico,1.96,(95%)
14,0.671,0.632,0.672,0.652,0.994,0.019,,Margen de error,0.013529495118414,
15,0.618,0.544,0.619,0.581,0.992,0.009,,,,
16,0.683,0.386,0.686,0.536,0.99,0.005,,,,
17,0.612,0.632,0.611,0.621,0.993,0.013,,MeanROC_AUC,0.59124,
18,0.647,0.509,0.648,0.579,0.992,0.009,,StdROC_AUC,0.031853236678063,
19,0.622,0.544,0.623,0.583,0.992,0.009,,n,100,
20,0.635,0.561,0.635,0.598,0.993,0.011,,Error estándar,0.003185323667806,
21,0.64,0.614,0.64,0.627,0.993,0.015,,Valor crítico,1.96,(95%)
22,0.629,0.649,0.629,0.639,0.994,0.016,,Margen de error,0.0062432343889,
23,0.67,0.526,0.671,0.599,0.992,0.013,,,,
24,0.638,0.561,0.639,0.6,0.993,0.012,,,,
25,0.617,0.579,0.617,0.598,0.993,0.011,,,,
26,0.638,0.544,0.639,0.591,0.992,0.011,,,,
27,0.632,0.614,0.632,0.623,0.993,0.014,,,,
28,0.618,0.544,0.619,0.581,0.992,0.009,,,,
29,0.647,0.526,0.648,0.587,0.992,0.01,,,,
30,0.642,0.456,0.644,0.55,0.991,0.006,,,,
31,0.655,0.596,0.656,0.626,0.993,0.015,,,,
32,0.687,0.386,0.69,0.538,0.99,0.005,,,,
33,0.634,0.561,0.635,0.598,0.993,0.011,,,,
34,0.633,0.561,0.633,0.597,0.993,0.011,,,,
35,0.622,0.614,0.622,0.618,0.993,0.013,,,,
36,0.632,0.579,0.632,0.606,0.993,0.012,,,,
37,0.654,0.491,0.656,0.573,0.992,0.009,,,,
38,0.672,0.474,0.674,0.574,0.992,0.009,,,,
39,0.643,0.544,0.644,0.594,0.992,0.011,,,,
40,0.677,0.579,0.678,0.629,0.993,0.017,,,,
41,0.648,0.439,0.65,0.544,0.991,0.005,,,,
42,0.666,0.579,0.667,0.623,0.993,0.015,,,,
43,0.626,0.649,0.626,0.638,0.994,0.015,,,,
44,0.675,0.561,0.677,0.619,0.993,0.015,,,,
45,0.611,0.579,0.611,0.595,0.993,0.01,,,,
46,0.668,0.404,0.671,0.537,0.99,0.005,,,,
47,0.65,0.474,0.652,0.563,0.991,0.008,,,,
48,0.62,0.614,0.62,0.617,0.993,0.013,,,,
49,0.613,0.579,0.613,0.596,0.993,0.01,,,,
50,0.643,0.561,0.644,0.603,0.993,0.012,,,,
51,0.622,0.667,0.622,0.644,0.994,0.016,,,,
52,0.634,0.491,0.636,0.563,0.991,0.007,,,,
53,0.629,0.474,0.631,0.552,0.991,0.006,,,,
54,0.638,0.579,0.639,0.609,0.993,0.013,,,,
55,0.633,0.491,0.635,0.563,0.991,0.007,,,,
56,0.613,0.579,0.613,0.596,0.993,0.01,,,,
57,0.621,0.614,0.621,0.618,0.993,0.013,,,,
58,0.615,0.491,0.616,0.554,0.991,0.006,,,,
59,0.596,0.561,0.597,0.579,0.992,0.008,,,,
60,0.645,0.667,0.645,0.656,0.994,0.018,,,,
61,0.632,0.614,0.632,0.623,0.993,0.014,,,,
62,0.648,0.404,0.651,0.527,0.99,0.003,,,,
63,0.608,0.649,0.607,0.628,0.994,0.014,,,,
64,0.647,0.561,0.648,0.604,0.993,0.012,,,,
65,0.647,0.456,0.649,0.553,0.991,0.006,,,,
66,0.633,0.561,0.634,0.598,0.993,0.011,,,,
67,0.731,0.404,0.735,0.569,0.991,0.011,,,,
68,0.65,0.456,0.652,0.554,0.991,0.007,,,,
69,0.633,0.614,0.634,0.624,0.993,0.014,,,,
70,0.666,0.544,0.668,0.606,0.993,0.013,,,,
71,0.651,0.491,0.652,0.572,0.992,0.009,,,,
72,0.65,0.526,0.652,0.589,0.992,0.011,,,,
73,0.628,0.632,0.628,0.63,0.994,0.015,,,,
74,0.629,0.561,0.63,0.596,0.992,0.011,,,,
75,0.635,0.614,0.635,0.624,0.993,0.014,,,,
76,0.615,0.526,0.616,0.571,0.992,0.008,,,,
77,0.624,0.509,0.625,0.567,0.992,0.008,,,,
78,0.65,0.421,0.652,0.537,0.99,0.004,,,,
79,0.627,0.561,0.628,0.595,0.992,0.011,,,,
80,0.628,0.596,0.628,0.612,0.993,0.013,,,,
81,0.642,0.632,0.642,0.637,0.994,0.016,,,,
82,0.648,0.491,0.65,0.571,0.992,0.008,,,,
83,0.622,0.544,0.623,0.584,0.992,0.009,,,,
84,0.632,0.509,0.633,0.571,0.992,0.008,,,,
85,0.631,0.456,0.633,0.544,0.991,0.005,,,,
