N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.678,0.509,0.68,0.594,0.992,0.012,,,,
1,0.546,0.614,0.545,0.58,0.992,0.007,,MeanAccuracy,0.63275,
2,0.556,0.579,0.556,0.567,0.992,0.006,,StdAccuracy,0.032358589011703,
3,0.561,0.474,0.562,0.518,0.99,0.002,,n,100,
4,0.661,0.456,0.663,0.56,0.991,0.007,,Error estándar,0.00323585890117,
5,0.644,0.579,0.645,0.612,0.993,0.013,,Valor crítico,1.96,(95%)
6,0.63,0.491,0.631,0.561,0.991,0.007,,Margen de error,0.006342283446294,
7,0.622,0.614,0.622,0.618,0.993,0.013,,,,
8,0.618,0.544,0.618,0.581,0.992,0.009,,,,
9,0.64,0.596,0.64,0.618,0.993,0.014,,MeanSpecificity,0.55505,
10,0.651,0.474,0.653,0.563,0.991,0.008,,StdSpecificity,0.066210465619687,
11,0.628,0.596,0.628,0.612,0.993,0.013,,n,100,
12,0.643,0.456,0.645,0.551,0.991,0.006,,Error estándar,0.006621046561969,
13,0.565,0.614,0.565,0.589,0.993,0.009,,Valor crítico,1.96,(95%)
14,0.618,0.632,0.618,0.625,0.994,0.014,,Margen de error,0.012977251261459,
15,0.643,0.509,0.644,0.577,0.992,0.009,,,,
16,0.584,0.632,0.583,0.607,0.993,0.011,,,,
17,0.674,0.509,0.676,0.592,0.992,0.012,,MeanROC_AUC,0.59434,
18,0.617,0.544,0.618,0.581,0.992,0.009,,StdROC_AUC,0.033129138201586,
19,0.69,0.491,0.693,0.592,0.992,0.012,,n,100,
20,0.687,0.561,0.688,0.625,0.993,0.017,,Error estándar,0.003312913820159,
21,0.627,0.614,0.628,0.621,0.993,0.014,,Valor crítico,1.96,(95%)
22,0.627,0.544,0.628,0.586,0.992,0.01,,Margen de error,0.006493311087511,
23,0.591,0.667,0.59,0.628,0.994,0.013,,,,
24,0.615,0.596,0.616,0.606,0.993,0.012,,,,
25,0.631,0.456,0.633,0.545,0.991,0.005,,,,
26,0.561,0.667,0.559,0.613,0.994,0.011,,,,
