N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.714,0.5,0.718,0.609,0.989,0.023,,,,
1,0.761,0.286,0.769,0.527,0.985,0.007,,MeanAccuracy,0.74037,
2,0.672,0.44,0.676,0.558,0.987,0.011,,StdAccuracy,0.048963737354879,
3,0.591,0.56,0.592,0.576,0.988,0.012,,n,100,
4,0.786,0.44,0.791,0.616,0.989,0.033,,Error estándar,0.004896373735488,
5,0.729,0.512,0.732,0.622,0.989,0.028,,Valor crítico,1.96,(95%)
6,0.775,0.464,0.78,0.622,0.989,0.033,,Margen de error,0.009596892521556,
7,0.766,0.488,0.771,0.63,0.989,0.034,,,,
8,0.59,0.5,0.592,0.546,0.986,0.007,,,,
9,0.706,0.488,0.709,0.599,0.988,0.021,,MeanSpecificity,0.43797,
10,0.735,0.429,0.74,0.584,0.988,0.02,,StdSpecificity,0.07372751566177,
11,0.882,0.202,0.893,0.548,0.986,0.025,,n,100,
12,0.752,0.393,0.758,0.575,0.987,0.019,,Error estándar,0.007372751566177,
13,0.723,0.452,0.727,0.59,0.988,0.02,,Valor crítico,1.96,(95%)
14,0.755,0.583,0.758,0.671,0.991,0.042,,Margen de error,0.014450593069707,
15,0.753,0.476,0.758,0.617,0.989,0.029,,,,
16,0.734,0.345,0.74,0.543,0.986,0.01,,,,
17,0.79,0.321,0.798,0.56,0.986,0.018,,MeanROC_AUC,0.59159,
18,0.753,0.345,0.76,0.553,0.986,0.013,,StdROC_AUC,0.029696476340986,
19,0.785,0.298,0.793,0.545,0.986,0.013,,n,100,
20,0.748,0.393,0.754,0.573,0.987,0.018,,Error estándar,0.002969647634099,
21,0.775,0.369,0.781,0.575,0.987,0.021,,Valor crítico,1.96,(95%)
22,0.717,0.452,0.721,0.587,0.988,0.019,,Margen de error,0.005820509362833,
23,0.731,0.488,0.735,0.611,0.989,0.025,,,,
24,0.749,0.464,0.753,0.609,0.989,0.027,,,,
25,0.776,0.464,0.781,0.623,0.989,0.033,,,,
26,0.724,0.464,0.729,0.596,0.988,0.022,,,,
27,0.768,0.417,0.773,0.595,0.988,0.025,,,,
28,0.727,0.393,0.732,0.562,0.987,0.014,,,,
29,0.765,0.417,0.771,0.594,0.988,0.025,,,,
30,0.773,0.381,0.779,0.58,0.987,0.022,,,,
31,0.728,0.452,0.733,0.593,0.988,0.021,,,,
32,0.742,0.476,0.746,0.611,0.989,0.026,,,,
33,0.766,0.393,0.772,0.583,0.987,0.022,,,,
34,0.737,0.488,0.741,0.614,0.989,0.027,,,,
35,0.744,0.381,0.75,0.566,0.987,0.016,,,,
36,0.801,0.357,0.808,0.583,0.987,0.026,,,,
37,0.619,0.512,0.621,0.566,0.987,0.011,,,,
38,0.75,0.464,0.754,0.609,0.989,0.027,,,,
39,0.74,0.405,0.745,0.575,0.987,0.018,,,,
40,0.749,0.5,0.753,0.627,0.989,0.031,,,,
41,0.756,0.333,0.763,0.548,0.986,0.012,,,,
42,0.704,0.5,0.707,0.604,0.989,0.022,,,,
43,0.756,0.452,0.76,0.606,0.988,0.027,,,,
44,0.746,0.548,0.749,0.648,0.99,0.036,,,,
45,0.653,0.512,0.655,0.584,0.988,0.015,,,,
46,0.718,0.536,0.721,0.628,0.99,0.028,,,,
47,0.735,0.476,0.739,0.608,0.989,0.025,,,,
48,0.777,0.393,0.783,0.588,0.988,0.024,,,,
49,0.653,0.488,0.656,0.572,0.987,0.013,,,,
50,0.749,0.298,0.756,0.527,0.985,0.007,,,,
51,0.73,0.524,0.733,0.628,0.99,0.029,,,,
52,0.593,0.417,0.596,0.506,0.984,0.001,,,,
53,0.751,0.452,0.756,0.604,0.988,0.026,,,,
54,0.76,0.429,0.766,0.597,0.988,0.025,,,,
55,0.747,0.429,0.752,0.59,0.988,0.022,,,,
56,0.73,0.524,0.734,0.629,0.99,0.029,,,,
57,0.864,0.214,0.875,0.545,0.986,0.02,,,,
58,0.745,0.536,0.748,0.642,0.99,0.034,,,,
59,0.711,0.393,0.716,0.555,0.986,0.012,,,,
60,0.704,0.512,0.707,0.609,0.989,0.023,,,,
61,0.74,0.488,0.744,0.616,0.989,0.027,,,,
62,0.743,0.524,0.747,0.635,0.99,0.032,,,,
63,0.765,0.512,0.769,0.64,0.99,0.036,,,,
64,0.721,0.452,0.726,0.589,0.988,0.02,,,,
65,0.712,0.512,0.716,0.614,0.989,0.024,,,,
66,0.757,0.405,0.762,0.584,0.987,0.021,,,,
67,0.712,0.452,0.716,0.584,0.988,0.018,,,,
68,0.721,0.429,0.726,0.577,0.987,0.017,,,,
69,0.758,0.393,0.764,0.578,0.987,0.02,,,,
70,0.7,0.44,0.704,0.572,0.987,0.015,,,,
71,0.782,0.429,0.788,0.608,0.988,0.03,,,,
72,0.583,0.536,0.583,0.559,0.987,0.009,,,,
73,0.733,0.512,0.736,0.624,0.989,0.028,,,,
74,0.744,0.452,0.748,0.6,0.988,0.024,,,,
75,0.745,0.381,0.751,0.566,0.987,0.016,,,,
76,0.772,0.417,0.778,0.597,0.988,0.026,,,,
77,0.697,0.452,0.701,0.577,0.987,0.016,,,,
78,0.727,0.548,0.73,0.639,0.99,0.031,,,,
79,0.792,0.452,0.798,0.625,0.989,0.037,,,,
80,0.757,0.393,0.763,0.578,0.987,0.02,,,,
81,0.771,0.369,0.778,0.573,0.987,0.02,,,,
82,0.731,0.5,0.735,0.618,0.989,0.027,,,,
83,0.788,0.369,0.794,0.582,0.987,0.024,,,,
84,0.737,0.405,0.742,0.573,0.987,0.017,,,,
85,0.739,0.417,0.744,0.58,0.987,0.019,,,,
86,0.774,0.464,0.779,0.621,0.989,0.033,,,,
87,0.725,0.524,0.728,0.626,0.989,0.028,,,,
88,0.767,0.393,0.773,0.583,0.987,0.022,,,,
89,0.767,0.405,0.773,0.589,0.988,0.023,,,,
90,0.775,0.44,0.78,0.61,0.988,0.03,,,,
91,0.733,0.512,0.736,0.624,0.989,0.028,,,,
92,0.761,0.464,0.766,0.615,0.989,0.03,,,,
93,0.702,0.5,0.705,0.603,0.989,0.021,,,,
94,0.763,0.369,0.77,0.569,0.987,0.018,,,,
95,0.741,0.393,0.747,0.57,0.987,0.017,,,,
96,0.762,0.464,0.766,0.615,0.989,0.03,,,,
97,0.797,0.393,0.804,0.598,0.988,0.03,,,,
98,0.703,0.405,0.708,0.556,0.987,0.012,,,,
99,0.877,0.214,0.887,0.551,0.986,0.025,,,,
